,name,sector,year,quarter,Relative Return,매출액 변화율,부채총계 변화율,실업률 변화율,소비자물가지수 변화율,증자주식수 변화율,발행금액 변화율,기타 변화율,특정 증권 등 소유 증감 수 변화율,1인평균급여 변화율,Label,Code
15,Doosan_Corp,기타금융,2020,Q4,0.13661746449832246,-0.01546294435287221,-0.039328602839048266,-0.04166666666666674,0.3780443147289393,-0.6944206521038747,-0.3265937474548297,-0.01546294435287221,-0.01546294435287221,-0.19710580531780586,-0.16438860047007242,000150
15,Hankook_Tire_Worldwide,기타금융,2020,Q4,0.11199464307042542,0.062876207979784,0.2993986507328661,-0.04166666666666674,0.3780443147289393,-1.7493067280386825,-0.015359319285022321,0.0,-0.015359319285022321,-0.9896506490043235,-0.390329700358393,000240
15,Dong-A_Socio_Holdings,기타금융,2020,Q4,0.20904200518073715,0.8121794854393775,-0.018414420819382382,-0.04166666666666674,0.3780443147289393,-0.012705104172511694,-0.7335724039214582,-0.7270975260663177,-0.01537740600911608,-0.5703658728825343,-0.3038862126877278,000640
15,CJ_Corp,기타금융,2020,Q4,-0.15970799481926284,-0.015395967427548785,-0.8055627791399302,-0.04166666666666674,0.3780443147289393,0.6085158936233461,-0.7164558899689213,-0.2838479275326775,-0.015395967427548785,-0.7152899207559129,-0.12989862404368988,001040
15,Dongkuk_Steel,기타금융,2020,Q4,0.09007270693512312,-0.08616154650378816,-0.015258137268562288,-0.04166666666666674,0.3780443147289393,0.8403614884070316,-0.2055875699505505,-0.015604713591966357,-0.01571219162718629,-0.25807693156814926,0.021540430962470825,001230
15,Orion_Corp,기타금융,2020,Q4,-0.17606019607712448,0.011378728109333047,0.053414513491549465,-0.04166666666666674,0.3780443147289393,-1.1970026855103524,-0.09382788563791111,0.0,0.0,-0.7946606317119282,-0.170773852597417,001800
15,SeAH_Steel,기타금융,2020,Q4,0.15028211398390234,0.2427618293532705,0.0965956519927279,-0.04166666666666674,0.3780443147289393,-1.3673935685053578,0.0,-0.8381864026586965,-0.015371211481731484,-0.5737853403751894,-0.1939477822948153,003030
15,LG_Corp,기타금융,2020,Q4,-0.05522015956596034,0.3140178828958754,0.2347972629481262,-0.04166666666666674,0.3780443147289393,-0.014937133021994509,0.0,-0.64541297958795,0.0,-0.8020044131025517,-0.09051517691278846,003550
15,Hansol_Holdings,기타금융,2020,Q4,0.017702473500296398,-0.015372644955748305,0.341004107623733,-0.04166666666666674,0.3780443147289393,-0.15326930333235755,-0.4434330524623913,-0.3209317652220569,-0.015372644955748305,-0.3051292216559027,-0.1604674152076463,004150
15,Hyosung,기타금융,2020,Q4,0.06568196211547991,-0.4406990575778533,0.08173255324420647,-0.04166666666666674,0.3780443147289393,-0.5322949383804552,-0.5322949383804547,0.0,-0.015519575989184409,-0.34019589908053427,-0.22196053620274617,004800
