,p1,p2,p3,p4,Average
CAGR,0.8054411348846271,-0.289740509427344,-0.2855881661827976,0.01801497391880935,0.06203185829832372
Sharpe Ratio,2.186898326292431,-1.384021029842633,-1.3683385053552524,0.21307052411318456,-0.08809767119806743
MDD_model,0.10308036920034556,0.09664616158004317,0.08449912835243464,0.14992297757850842,0.10853715917783295
