0,1,2,3,4,5,6
0,90430,10950,17670,35720.0,5490.0,10130.0
1,90430,34730,10950,17670.0,5380.0,12330.0
2,33780,660,86280,,,
3,51900,28260,36570,5380.0,18880.0,
