접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20231005000056,2023-10-05,00113997,롯데에너지머티리얼즈,김연섭,등기임원,대표이사,-,"2,500","2,500",0.01,0.01,2023,Q4
20231005000300,2023-10-05,00113997,롯데에너지머티리얼즈,정길수,비등기임원,부사장,-,"1,000","1,000",0.00,0.00,2023,Q4
20231218000109,2023-12-18,00113997,롯데에너지머티리얼즈,김훈,비등기임원,상무보,-,32,32,0.00,0.00,2023,Q4
20240611000036,2024-06-11,00113997,롯데에너지머티리얼즈,정길수,비등기임원,부사장,-,"2,000","1,000",0.00,0.00,2024,Q2
20240611000041,2024-06-11,00113997,롯데에너지머티리얼즈,박재철,비등기임원,상무,-,"1,500","1,500",0.00,0.00,2024,Q2
20240611000044,2024-06-11,00113997,롯데에너지머티리얼즈,이찬일,비등기임원,상무,-,"1,200","1,200",0.00,0.00,2024,Q2
20240611000049,2024-06-11,00113997,롯데에너지머티리얼즈,송기덕,비등기임원,상무,-,"1,200","1,200",0.00,0.00,2024,Q2
20240611000018,2024-06-11,00113997,롯데에너지머티리얼즈,오세민,등기임원,사외이사,-,400,400,0.00,0.00,2024,Q2
20240611000015,2024-06-11,00113997,롯데에너지머티리얼즈,박인구,등기임원,전무,-,"1,600","1,600",0.00,0.00,2024,Q2
20240611000012,2024-06-11,00113997,롯데에너지머티리얼즈,김연섭,등기임원,대표이사,-,"4,600","2,100",0.01,0.00,2024,Q2
20240611000054,2024-06-11,00113997,롯데에너지머티리얼즈,유종호,비등기임원,상무,-,"1,222","1,222",0.00,0.00,2024,Q2
20240611000061,2024-06-11,00113997,롯데에너지머티리얼즈,성대현,비등기임원,상무보,-,"4,000","1,090",0.01,0.00,2024,Q2
20240611000066,2024-06-11,00113997,롯데에너지머티리얼즈,추연문,비등기임원,상무보,-,800,800,0.00,0.00,2024,Q2
20240611000070,2024-06-11,00113997,롯데에너지머티리얼즈,윤성한,비등기임원,상무보,-,"1,000","1,000",0.00,0.00,2024,Q2
20240611000073,2024-06-11,00113997,롯데에너지머티리얼즈,임태일,비등기임원,상무보,-,800,800,0.00,0.00,2024,Q2
20240611000076,2024-06-11,00113997,롯데에너지머티리얼즈,이윤형,비등기임원,상무보,-,800,800,0.00,0.00,2024,Q2
20240611000079,2024-06-11,00113997,롯데에너지머티리얼즈,조계연,비등기임원,상무보,-,900,900,0.00,0.00,2024,Q2
20240611000087,2024-06-11,00113997,롯데에너지머티리얼즈,정성윤,비등기임원,상무보,-,800,800,0.00,0.00,2024,Q2
20240611000092,2024-06-11,00113997,롯데에너지머티리얼즈,김훈,비등기임원,상무보,-,832,800,0.00,0.00,2024,Q2
20240611000098,2024-06-11,00113997,롯데에너지머티리얼즈,김세용,비등기임원,상무보,-,800,800,0.00,0.00,2024,Q2
20240611000194,2024-06-11,00113997,롯데에너지머티리얼즈,박정만,비등기임원,상무보,-,"3,226","3,226",0.01,0.01,2024,Q2
20250305000768,2025-03-05,00113997,롯데에너지머티리얼즈,스틱스페셜시츄에이션윈,-,-,10%이상주주,"11,497,183","11,497,183",19.96,19.96,2025,Q1
