접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230626000298,2023-06-26,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"6,234,451","-90,119",15.95,-0.54,2023,Q2
20230704000376,2023-07-04,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"6,178,907","-55,544",15.81,-0.14,2023,Q3
20230711000286,2023-07-11,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"6,175,763","-3,144",15.80,-0.01,2023,Q3
20230718000253,2023-07-18,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"6,139,472","-36,291",15.71,-0.09,2023,Q3
20230725000340,2023-07-25,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,997,545","-141,927",15.34,-0.37,2023,Q3
20230728000728,2023-07-28,00164724,현대엘리베이터,현대홀딩스컴퍼니,-,-,사실상지배주주,"7,527,380","3,196,209",19.26,8.49,2023,Q3
20230728000735,2023-07-28,00164724,현대엘리베이터,현정은,등기임원,회 장,-,0,"-3,196,209",0.00,-7.83,2023,Q3
20230801000282,2023-08-01,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,917,237","-80,308",15.14,-0.20,2023,Q3
20230808000318,2023-08-08,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,823,254","-93,983",14.90,-0.24,2023,Q3
20230811002583,2023-08-11,00164724,현대엘리베이터,현정은,등기임원,회 장,-,"2,245,540","2,245,540",5.74,5.74,2023,Q3
20230816000217,2023-08-16,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,591,473","-231,781",14.30,-0.60,2023,Q3
20230822000267,2023-08-22,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,447,625","-143,848",13.94,-0.36,2023,Q3
20230829000636,2023-08-29,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,167,648","-279,977",13.22,-0.72,2023,Q3
20230905000232,2023-09-05,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,154,570","-13,078",13.19,-0.03,2023,Q3
20230926000475,2023-09-26,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,066,910","-87,660",12.96,-0.23,2023,Q3
20231005000363,2023-10-05,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"5,017,462","-49,448",12.83,-0.13,2023,Q4
20231017000213,2023-10-17,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,862,412","-155,050",12.44,-0.39,2023,Q4
20231024000379,2023-10-24,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,735,047","-127,365",12.11,-0.33,2023,Q4
20231121000245,2023-11-21,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,712,258","-22,789",12.05,-0.06,2023,Q4
20231128000834,2023-11-28,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,690,710","-21,548",12.00,-0.05,2023,Q4
20231201000395,2023-12-01,00164724,현대엘리베이터,배성준,비등기임원,상무보,-,"1,570","1,570",0.00,0.00,2023,Q4
20231205000390,2023-12-05,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,657,008","-33,702",11.91,-0.09,2023,Q4
20231212000271,2023-12-12,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,616,544","-40,464",11.81,-0.10,2023,Q4
20231219000221,2023-12-19,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,544,930","-71,614",11.63,-0.18,2023,Q4
20231226000310,2023-12-26,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,501,309","-43,621",11.51,-0.12,2023,Q4
20231229000288,2023-12-29,00164724,현대엘리베이터,현정은,등기임원,회 장,-,0,"-2,245,540",0.00,-5.74,2023,Q4
20240109000216,2024-01-09,00164724,현대엘리베이터,SchindlerHoldingAG,-,-,10%이상주주,"4,490,006","-11,303",11.49,-0.02,2024,Q1
