접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230403004006,2023-04-03,00266961,NAVER,이정규,비등기임원,책임리더,-,77,52,0.00,0.00,2023,Q2
20230403004023,2023-04-03,00266961,NAVER,이정안,비등기임원,책임리더,-,128,78,0.00,0.00,2023,Q2
20230403004035,2023-04-03,00266961,NAVER,이정태,비등기임원,책임리더,-,384,52,0.00,0.00,2023,Q2
20230403004048,2023-04-03,00266961,NAVER,이종민,비등기임원,책임리더,-,"2,052",52,0.00,0.00,2023,Q2
20230403004085,2023-04-03,00266961,NAVER,이종주,비등기임원,책임리더,-,145,52,0.00,0.00,2023,Q2
20230403004102,2023-04-03,00266961,NAVER,이종현,비등기임원,책임리더,-,112,51,0.00,0.00,2023,Q2
20230403004121,2023-04-03,00266961,NAVER,이종현,비등기임원,책임리더,-,128,78,0.00,0.00,2023,Q2
20230403004162,2023-04-03,00266961,NAVER,이종화,비등기임원,책임리더,-,52,52,0.00,0.00,2023,Q2
20230403004176,2023-04-03,00266961,NAVER,이진규,비등기임원,책임리더,-,"1,278",78,0.00,0.00,2023,Q2
20230403004193,2023-04-03,00266961,NAVER,이진우,비등기임원,책임리더,-,120,72,0.00,0.00,2023,Q2
20230403004205,2023-04-03,00266961,NAVER,이태훈,비등기임원,책임리더,-,52,52,0.00,0.00,2023,Q2
20230403004226,2023-04-03,00266961,NAVER,이호석,비등기임원,책임리더,-,274,72,0.00,0.00,2023,Q2
20230403004244,2023-04-03,00266961,NAVER,임준현,비등기임원,책임리더,-,252,52,0.00,0.00,2023,Q2
20230403004258,2023-04-03,00266961,NAVER,장교희,비등기임원,책임리더,-,52,52,0.00,0.00,2023,Q2
20230403004276,2023-04-03,00266961,NAVER,장준영,비등기임원,책임리더,-,"1,552",52,0.00,0.00,2023,Q2
20230403004309,2023-04-03,00266961,NAVER,장진용,비등기임원,책임리더,-,52,52,0.00,0.00,2023,Q2
20230403004326,2023-04-03,00266961,NAVER,전연국,비등기임원,책임리더,-,52,52,0.00,0.00,2023,Q2
20230403004349,2023-04-03,00266961,NAVER,전정호,비등기임원,책임리더,-,349,52,0.00,0.00,2023,Q2
20230403004366,2023-04-03,00266961,NAVER,정경화,비등기임원,책임리더,-,"2,128",78,0.00,0.00,2023,Q2
20230403004380,2023-04-03,00266961,NAVER,정민,비등기임원,책임리더,-,187,52,0.00,0.00,2023,Q2
20230403004394,2023-04-03,00266961,NAVER,정상혁,비등기임원,책임리더,-,"1,142",52,0.00,0.00,2023,Q2
20230403004402,2023-04-03,00266961,NAVER,정유한,비등기임원,책임리더,-,662,57,0.00,0.00,2023,Q2
20230403004417,2023-04-03,00266961,NAVER,정재부,비등기임원,책임리더,-,308,52,0.00,0.00,2023,Q2
20230403004426,2023-04-03,00266961,NAVER,정효주,비등기임원,책임리더,-,92,52,0.00,0.00,2023,Q2
20230403004434,2023-04-03,00266961,NAVER,조성택,비등기임원,책임리더,-,95,52,0.00,0.00,2023,Q2
20230403004452,2023-04-03,00266961,NAVER,조현상,비등기임원,책임리더,-,52,52,0.00,0.00,2023,Q2
