,name,year,quarter,sector,Relative Return,유동부채 변화율,자본총계 변화율,당기순이익 변화율,실업률 변화율,금리 변화율,국제유가 변화율,Label,Code
22,조선내화,2019,Q2,철강_소재,-0.032241960721161575,-0.005538474544487082,0.005497602655796907,-0.6224278253326356,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.03144183754940612,000480
22,영풍,2019,Q2,철강_소재,-0.08416705786724016,0.05205217905470061,0.012659455320537916,-0.4995999487804258,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.07773391307052892,000670
22,동국제강,2019,Q2,철강_소재,-0.028156933418816796,0.06628566480566422,0.007849865277706147,-4.98975894803924,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.10926373781301162,001230
22,세아베스틸,2019,Q2,철강_소재,-0.07357204114042606,-0.04737849570256181,0.0025738926773719584,-0.7160145888912316,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.022017793378926218,001430
22,고려제강,2019,Q2,철강_소재,-0.008819440247763322,-0.023542571591620653,0.005938566269438672,-0.19159269634432863,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.1426712206449453,002240
22,세아제강,2019,Q2,철강_소재,0.033505950736854154,-0.7540685287733353,-0.002264256329829739,-1.0569807117737473,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.1571294559099436,003030
22,현대제철,2019,Q2,철강_소재,-0.08393815941872329,0.02214750927295639,0.008199300649894603,-0.5273378099631032,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.23592363470412236,004020
22,삼광글라스,2019,Q2,철강_소재,-0.06402734922767124,0.015052358476738803,-8.99829331003632e-05,-1.0990731820953321,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.20192616725131085,005090
22,POSCO,2019,Q2,철강_소재,-0.07847400192473977,-0.2542084721015848,0.00853373846354577,-0.18741996873490996,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.0369371482176359,005490
22,무림P&P,2019,Q2,철강_소재,-0.18701741929168655,-0.03461058623933011,0.02055256026864516,-0.0286165527590021,0.017241379310344973,-0.10064059339177356,0.09107698802174014,0.009717781359828884,009580
22,고려아연,2019,Q2,철강_소재,0.08004593784307486,0.5048127885349123,0.029114350644456666,0.30564750377791094,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.14105694574294525,010130
22,풍산,2019,Q2,철강_소재,-0.12881726061549933,-0.07061408353326093,0.007602204724661554,-0.9920003860515032,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.08783622014338996,103140
22,한국철강,2019,Q2,철강_소재,-0.10686783368424771,-0.2944922130387302,-1.4380419759985053e-05,-1.062570116493483,0.017241379310344973,-0.10064059339177356,0.09107698802174014,-0.12556780148396757,104700
