,name,year,quarter,sector,Relative Return,이익잉여금 변화율,매출액 변화율,부채총계 변화율,유동부채 변화율,유동자산 변화율,Label,Code
35,조선내화,2016,Q1,철강_소재,-0.014107790530663095,-0.0496423098777965,-0.7505136695741328,0.07141846909051286,0.044666657434563994,-0.01837590101933917,-0.08654563593707543,000480
35,영풍,2016,Q1,철강_소재,-0.010530866667812892,0.020470453685395684,-0.7713150850682662,0.03338704880846799,0.17904859894364034,0.14311376519400953,0.06880518513613608,000670
35,동국제강,2016,Q1,철강_소재,0.36240105929683525,0.0023105779564929207,-0.7795554809892334,-0.051156947099395,0.0393114943251609,-0.12480325511614743,-0.005391806288754623,001230
35,세아베스틸,2016,Q1,철강_소재,-0.055986130639948783,-0.011284597339748736,-0.7813232371118957,0.060149457884313584,0.28423258908206517,0.06697292747602912,0.0023905876431774414,001430
35,고려제강,2016,Q1,철강_소재,0.003293634974785421,0.006056874680453017,-0.7867975479125192,0.06963037198024402,0.07817721854919779,-0.007438332505441236,-0.14269111829559356,002240
35,세아제강,2016,Q1,철강_소재,0.11971865978102944,0.009130706533817756,-0.7909842842646517,-0.015615025970653562,-0.025711233547106027,0.019392449855111016,-0.1667984971551173,003030
35,현대제철,2016,Q1,철강_소재,-0.03988730939015063,0.009029430641764424,-0.7787220018500504,-0.015141261799156536,-0.020011395565343038,-0.010555289371308785,-0.11226360628855261,004020
35,삼광글라스,2016,Q1,철강_소재,0.04251725696243771,0.005003487069095147,-0.7715127951350316,0.013100116249494587,0.09070993031095154,0.031089171579335773,-0.1894427391157933,005090
35,POSCO,2016,Q1,철강_소재,-0.03435313400695214,-0.0009798154618235744,-0.7747849332762624,-0.0037011038436205457,-0.019550292344795883,-0.019391617639668124,0.034913861132760265,005490
35,무림P&P,2016,Q1,철강_소재,-0.09006538471920286,-0.03161285481972831,-0.7435331640583767,-0.03384182620972653,0.053939922891594216,-0.05816597554092717,-0.049888667429554875,009580
35,고려아연,2016,Q1,철강_소재,0.013574645662400556,-0.001572715006051939,-0.7148124459043945,0.37532190825569245,0.5416730102862539,0.20931845863291487,-0.003854981588739842,010130
35,풍산,2016,Q1,철강_소재,0.07540470075088261,0.009260713681243926,-0.7887936671611601,0.03546238179601069,0.015432856590685162,0.059880452676875695,0.004758954715684591,103140
35,한국철강,2016,Q1,철강_소재,0.05967102434042673,0.019695805090834018,-0.795442324911996,-0.07734664652398648,-0.11342668422047297,-0.014238255180646586,-0.11608336236179134,104700
