,name,sector,year,quarter,매출액변화율,부채총계변화율,영업이익변화율,유동자산변화율,자본총계변화율,Relative Return,발행금액변화율,자기주식수변화율,1인평균급여변화율,기타변화율,Label,Code
0,Doosan_Corp,기타금융,2024,Q3,-0.06337635632972272,0.011266936457822174,-0.5109359954514094,0.012902987735249338,-0.0007597759747115518,0.3950007047817071,0.002347016846138361,-0.001244353540935439,-2.8235742166593525e-05,0.0007666597655838769,0.3950007047817071,000150
0,Hankook_Tire_Worldwide,기타금융,2024,Q3,-0.04195710126022112,0.1632169400550625,0.21149369319003053,0.1260274054651933,0.0020133181558322777,-0.07387712221035195,0.07592146490464158,-0.32242463419016354,-0.018793026840168814,0.0,-0.07387712221035195,000240
0,Dong-A_Socio_Holdings,기타금융,2024,Q3,-6.852186274755377,0.05862320315979075,4.805455803231825,0.13010479838845324,-0.021171824389732752,-0.13934054440502028,0.011402899291837909,0.010763105594595146,0.00549271843619048,0.013271012456711362,-0.13934054440502028,000640
0,CJ_Corp,기타금융,2024,Q3,0.3776004133233004,0.014810714145760628,0.704023394002781,0.06085528801679385,-0.0010060571335746005,-0.06984132382824709,-0.018970239602582817,-0.011410593945726966,0.012937555895218056,-0.0013860046337692555,-0.06984132382824709,001040
0,Dongkuk_Steel,기타금융,2024,Q3,-0.7741807447281785,0.07563439497147251,11.529929846780561,0.025036303762131285,-0.010662310200651559,0.01620719121309478,-0.0028519304226268805,-0.0046163912521073325,-0.0022261857949785746,-0.0005697173294572089,0.01620719121309478,001230
0,Orion_Corp,기타금융,2024,Q3,-0.04884833417063006,-0.03103512203275849,-0.8849493396922199,-0.33955521166578295,0.0009453792454753307,0.06111834999611367,-0.004232998082502215,0.00022324614653068675,0.0004981349549527669,0.0,0.06111834999611367,001800
0,SeAH_Steel,기타금융,2024,Q3,0.64666403753243,-0.040440504942627964,1.3759256157654205,-3.4348587977732077,0.006203040316058006,-0.1510747786392545,0.0,0.018487264763634492,0.06024537580237266,0.046885514135229345,-0.1510747786392545,003030
0,LG_Corp,기타금융,2024,Q3,-0.5793899877543407,0.00012675460055822096,-1.6321918670527507,-0.08813425885247339,-0.009094625060398931,-0.10507583852266733,0.0,-0.029244141124642464,-0.00416721361839989,0.003726768225147392,-0.10507583852266733,003550
0,Hansol_Holdings,기타금융,2024,Q3,-0.3884674149208589,0.049513485688123304,-0.7481310902264278,-0.07485941292992737,-0.007451231512318968,-0.11948955102753683,-0.004052151413387106,0.027518352341945884,-0.016170375962770933,-0.00924423182624734,-0.11948955102753683,004150
0,Hyosung,기타금융,2024,Q3,-0.16787877141961283,0.6663176664721311,-3.543180483346549,0.8722932868178792,-0.17840303199905816,-0.10773145131384934,-0.06665572520585994,0.03690986358901549,-0.07801804466295414,0.0,-0.10773145131384934,004800
