,Code
0,000050
0,000080
0,000100
0,000120
0,000230
1,000480
0,000660
0,000670
0,001230
0,001430
0,001680
0,001740
0,002240
0,002380
0,002790
0,002960
0,003000
0,003030
0,003200
0,003300
0,003410
0,003520
0,004000
0,004020
0,004170
0,004700
1,004710
0,005300
0,005490
0,005850
1,005930
0,006120
0,006280
1,006400
1,006650
0,007070
0,007570
1,007690
0,008060
0,008770
1,009150
0,009240
0,009290
0,009580
0,009830
0,010060
0,010130
0,010780
0,010950
0,011070
0,011170
0,011780
0,011790
1,014680
0,014830
0,015760
0,017670
1,018260
0,019680
0,020150
0,021240
0,023530
0,025540
0,025860
1,029530
1,030000
0,030200
0,032640
0,033780
0,034120
0,034220
0,035250
0,035420
0,036460
0,036570
0,042700
0,047050
0,051600
0,051900
0,051910
0,066570
0,069260
0,069620
0,069960
0,078520
0,079430
0,079980
0,084870
0,090430
0,093050
0,093370
0,096770
0,097950
0,103140
0,104700
0,105630
0,108670
0,111770
0,114090
0,115390
0,120110
0,128940
0,139480
0,161890
0,170900
0,185750
0,192820
