종목명,CODE,YEAR,QUARTER,공시일,시가,종가,수익률,LLM 예측,판단
SK하이닉스,000660,2016,Q1,2016-05-16,26100,34350,0.3161,up,true
SK하이닉스,000660,2016,Q2,2016-08-16,34950,39850,0.1402,up,true
SK하이닉스,000660,2016,Q3,2016-11-14,40000,50900,0.2725,up,true
SK하이닉스,000660,2016,Q4,2017-03-31,50800,55300,0.0886,up,true
SK하이닉스,000660,2017,Q1,2017-05-15,55300,61400,0.1103,up,true
SK하이닉스,000660,2017,Q2,2017-08-14,63000,82300,0.3063,down,false
SK하이닉스,000660,2017,Q3,2017-11-14,83000,81300,-0.0205,up,false
SK하이닉스,000660,2017,Q4,2018-04-02,81700,85400,0.0453,up,true
SK하이닉스,000660,2018,Q1,2018-05-15,86000,75400,-0.1233,down,true
SK하이닉스,000660,2018,Q2,2018-08-14,75900,71900,-0.0527,up,false
SK하이닉스,000660,2018,Q3,2018-11-14,71400,74200,0.0392,up,true
SK하이닉스,000660,2018,Q4,2019-04-01,75600,74600,-0.0132,up,false
SK하이닉스,000660,2019,Q1,2019-05-15,74800,74500,-0.004,up,false
SK하이닉스,000660,2019,Q2,2019-08-14,77200,83400,0.0803,,excluded
SK하이닉스,000660,2019,Q3,2019-11-14,83200,83300,0.0012,up,true
SK하이닉스,000660,2019,Q4,2020-03-30,81000,80600,-0.0049,up,false
SK하이닉스,000660,2020,Q1,2020-05-15,81500,80700,-0.0098,up,false
SK하이닉스,000660,2020,Q2,2020-08-14,80200,89700,0.1185,down,false
SK하이닉스,000660,2020,Q3,2020-11-16,92100,138000,0.4984,up,true
SK하이닉스,000660,2020,Q4,2021-03-22,138500,118500,-0.1444,up,false
SK하이닉스,000660,2021,Q1,2021-05-17,120000,101500,-0.1542,up,false
SK하이닉스,000660,2021,Q2,2021-08-17,101000,106500,0.0545,down,false
SK하이닉스,000660,2021,Q3,2021-11-15,108500,122000,0.1244,up,true
SK하이닉스,000660,2021,Q4,2022-03-22,121000,112500,-0.0702,up,false
SK하이닉스,000660,2022,Q1,2022-05-16,113500,93300,-0.178,up,false
SK하이닉스,000660,2022,Q2,2022-08-16,94500,93500,-0.0106,down,true
SK하이닉스,000660,2022,Q3,2022-11-14,93900,83700,-0.1086,up,false
SK하이닉스,000660,2022,Q4,2023-03-21,84100,87200,0.0369,down,false
SK하이닉스,000660,2023,Q1,2023-05-15,87000,115300,0.3253,up,true
SK하이닉스,000660,2023,Q2,2023-08-14,114600,131800,0.1501,up,true
SK하이닉스,000660,2023,Q3,2023-11-14,133500,164300,0.2307,up,true
SK하이닉스,000660,2023,Q4,2024-03-19,161700,185300,0.1459,up,true
SK하이닉스,000660,2024,Q1,2024-05-16,191100,181900,-0.0481,up,false
SK하이닉스,000660,2024,Q2,2024-08-14,188000,182900,-0.0271,up,false
SK하이닉스,000660,2024,Q3,2024-11-14,182900,203000,0.1099,up,true
LG,003550,2016,Q1,2016-05-16,62725,61120,-0.0256,,excluded
LG,003550,2016,Q2,2016-08-16,61119,55924,-0.085,,excluded
LG,003550,2016,Q3,2016-11-14,55924,65465,0.1706,up,true
LG,003550,2016,Q4,2017-03-31,65465,66882,0.0216,,excluded
LG,003550,2017,Q1,2017-05-15,67449,73306,0.0868,down,false
LG,003550,2017,Q2,2017-08-14,73305,79919,0.0902,,excluded
LG,003550,2017,Q3,2017-11-14,80296,81336,0.013,up,true
LG,003550,2017,Q4,2018-04-02,81052,75573,-0.0676,down,true
LG,003550,2018,Q1,2018-05-15,75100,68960,-0.0818,down,true
LG,003550,2018,Q2,2018-08-14,69905,64332,-0.0797,down,true
LG,003550,2018,Q3,2018-11-14,64426,73211,0.1364,down,false
LG,003550,2018,Q4,2019-04-01,72739,67260,-0.0753,up,false
LG,003550,2019,Q1,2019-05-15,67826,65465,-0.0348,,excluded
LG,003550,2019,Q2,2019-08-14,65559,68205,0.0404,,excluded
LG,003550,2019,Q3,2019-11-14,69149,55546,-0.1967,,excluded
LG,003550,2019,Q4,2020-03-30,55546,58002,0.0442,down,false
LG,003550,2020,Q1,2020-05-15,58002,85020,0.4658,up,true
LG,003550,2020,Q2,2020-08-14,84736,70377,-0.1695,down,true
LG,003550,2020,Q3,2020-11-16,70471,83697,0.1877,,excluded
LG,003550,2020,Q4,2021-03-11,83697,119500,0.4278,up,true
LG,003550,2021,Q2,2021-08-17,94700,90000,-0.0496,up,false
LG,003550,2021,Q3,2021-11-15,90000,75300,-0.1633,down,true
LG,003550,2021,Q4,2022-03-21,75000,75000,0.0,,excluded
LG,003550,2022,Q1,2022-05-16,75000,84500,0.1267,down,false
LG,003550,2022,Q2,2022-08-16,85100,83400,-0.02,down,true
LG,003550,2022,Q3,2022-11-14,83300,87000,0.0444,,excluded
LG,003550,2022,Q4,2023-03-21,87000,88400,0.0161,down,false
LG,003550,2023,Q1,2023-05-15,87700,82300,-0.0616,up,false
LG,003550,2023,Q2,2023-08-14,82300,81800,-0.0061,,excluded
LG,003550,2023,Q3,2023-11-14,82800,89600,0.0821,,excluded
LG,003550,2023,Q4,2024-03-19,89000,80500,-0.0955,up,false
LG,003550,2024,Q1,2024-05-16,82400,79200,-0.0388,up,false
LG,003550,2024,Q2,2024-08-14,79400,74000,-0.068,up,false
LG,003550,2024,Q3,2024-11-14,75000,68600,-0.0853,up,false
한솔테크닉스,004710,2016,Q1,2016-05-16,20999,18052,-0.1403,up,false
한솔테크닉스,004710,2016,Q2,2016-08-12,18190,14045,-0.2279,up,false
한솔테크닉스,004710,2016,Q3,2016-11-14,14091,15197,0.0785,,excluded
한솔테크닉스,004710,2016,Q4,2017-03-31,15288,14276,-0.0662,up,false
한솔테크닉스,004710,2017,Q1,2017-05-12,14275,13999,-0.0193,,excluded
한솔테크닉스,004710,2017,Q2,2017-08-11,13723,16486,0.2013,up,true
한솔테크닉스,004710,2017,Q3,2017-11-13,16486,11605,-0.2961,up,false
한솔테크닉스,004710,2017,Q4,2018-03-23,11328,11513,0.0163,up,true
한솔테크닉스,004710,2018,Q1,2018-05-14,11604,9109,-0.215,,excluded
