종목명,CODE,YEAR,QUARTER,공시일,시가,종가,수익률,LLM 예측,판단,Confusion Matrix
SK하이닉스,000660,2016,Q1,2016-05-16,26100,34350,0.3161,up,true,PP
SK하이닉스,000660,2016,Q2,2016-08-16,34950,39850,0.1402,up,true,PP
SK하이닉스,000660,2016,Q3,2016-11-14,40000,50900,0.2725,up,true,PP
SK하이닉스,000660,2016,Q4,2017-03-31,50800,55300,0.0886,up,true,PP
SK하이닉스,000660,2017,Q1,2017-05-15,55300,61400,0.1103,up,true,PP
SK하이닉스,000660,2017,Q2,2017-08-14,63000,82300,0.3063,down,false,NN
SK하이닉스,000660,2017,Q3,2017-11-14,83000,81300,-0.0205,up,false,PN
SK하이닉스,000660,2017,Q4,2018-04-02,81700,85400,0.0453,up,true,PP
SK하이닉스,000660,2018,Q1,2018-05-15,86000,75400,-0.1233,down,true,NP
SK하이닉스,000660,2018,Q2,2018-08-14,75900,71900,-0.0527,up,false,PN
SK하이닉스,000660,2018,Q3,2018-11-14,71400,74200,0.0392,up,true,PP
SK하이닉스,000660,2018,Q4,2019-04-01,75600,74600,-0.0132,up,false,PN
SK하이닉스,000660,2019,Q1,2019-05-15,74800,74500,-0.004,up,false,PN
SK하이닉스,000660,2019,Q3,2019-11-14,83200,83300,0.0012,up,true,PP
SK하이닉스,000660,2019,Q4,2020-03-30,81000,80600,-0.0049,up,false,PN
SK하이닉스,000660,2020,Q1,2020-05-15,81500,80700,-0.0098,up,false,PN
SK하이닉스,000660,2020,Q2,2020-08-14,80200,89700,0.1185,down,false,NN
SK하이닉스,000660,2020,Q3,2020-11-16,92100,138000,0.4984,up,true,PP
SK하이닉스,000660,2020,Q4,2021-03-22,138500,118500,-0.1444,up,false,PN
SK하이닉스,000660,2021,Q1,2021-05-17,120000,101500,-0.1542,up,false,PN
SK하이닉스,000660,2021,Q2,2021-08-17,101000,106500,0.0545,down,false,NN
SK하이닉스,000660,2021,Q3,2021-11-15,108500,122000,0.1244,up,true,PP
SK하이닉스,000660,2021,Q4,2022-03-22,121000,112500,-0.0702,up,false,PN
SK하이닉스,000660,2022,Q1,2022-05-16,113500,93300,-0.178,up,false,PN
SK하이닉스,000660,2022,Q2,2022-08-16,94500,93500,-0.0106,down,true,NP
SK하이닉스,000660,2022,Q3,2022-11-14,93900,83700,-0.1086,up,false,PN
SK하이닉스,000660,2022,Q4,2023-03-21,84100,87200,0.0369,down,false,NN
SK하이닉스,000660,2023,Q1,2023-05-15,87000,115300,0.3253,up,true,PP
SK하이닉스,000660,2023,Q2,2023-08-14,114600,131800,0.1501,up,true,PP
SK하이닉스,000660,2023,Q3,2023-11-14,133500,164300,0.2307,up,true,PP
SK하이닉스,000660,2023,Q4,2024-03-19,161700,185300,0.1459,up,true,PP
SK하이닉스,000660,2024,Q1,2024-05-16,191100,181900,-0.0481,up,false,PN
SK하이닉스,000660,2024,Q2,2024-08-14,188000,182900,-0.0271,up,false,PN
SK하이닉스,000660,2024,Q3,2024-11-14,182900,203000,0.1099,up,true,PP
LG,003550,2016,Q3,2016-11-14,55924,65465,0.1706,up,true,PP
LG,003550,2017,Q1,2017-05-15,67449,73306,0.0868,down,false,NN
LG,003550,2017,Q3,2017-11-14,80296,81336,0.013,up,true,PP
LG,003550,2017,Q4,2018-04-02,81052,75573,-0.0676,down,true,NP
LG,003550,2018,Q1,2018-05-15,75100,68960,-0.0818,down,true,NP
LG,003550,2018,Q2,2018-08-14,69905,64332,-0.0797,down,true,NP
LG,003550,2018,Q3,2018-11-14,64426,73211,0.1364,down,false,NN
LG,003550,2018,Q4,2019-04-01,72739,67260,-0.0753,up,false,PN
LG,003550,2019,Q4,2020-03-30,55546,58002,0.0442,down,false,NN
LG,003550,2020,Q1,2020-05-15,58002,85020,0.4658,up,true,PP
LG,003550,2020,Q2,2020-08-14,84736,70377,-0.1695,down,true,NP
LG,003550,2020,Q4,2021-03-11,83697,119500,0.4278,up,true,PP
LG,003550,2021,Q2,2021-08-17,94700,90000,-0.0496,up,false,PN
LG,003550,2021,Q3,2021-11-15,90000,75300,-0.1633,down,true,NP
LG,003550,2022,Q1,2022-05-16,75000,84500,0.1267,down,false,NN
LG,003550,2022,Q2,2022-08-16,85100,83400,-0.02,down,true,NP
LG,003550,2022,Q4,2023-03-21,87000,88400,0.0161,down,false,NN
LG,003550,2023,Q1,2023-05-15,87700,82300,-0.0616,up,false,PN
LG,003550,2023,Q4,2024-03-19,89000,80500,-0.0955,up,false,PN
LG,003550,2024,Q1,2024-05-16,82400,79200,-0.0388,up,false,PN
LG,003550,2024,Q2,2024-08-14,79400,74000,-0.068,up,false,PN
LG,003550,2024,Q3,2024-11-14,75000,68600,-0.0853,up,false,PN
한솔테크닉스,004710,2016,Q1,2016-05-16,20999,18052,-0.1403,up,false,PN
한솔테크닉스,004710,2016,Q2,2016-08-12,18190,14045,-0.2279,up,false,PN
한솔테크닉스,004710,2016,Q4,2017-03-31,15288,14276,-0.0662,up,false,PN
