종목명,code,true,excluded,total,정답률(%)
CJ대한통운,000120,2,0,4,50.0
두산,000150,2,0,4,50.0
LX인터내셔널,001120,1,0,4,25.0
대한항공,003490,3,0,4,75.0
S&T중공업,003570,1,2,2,50.0
LS,006260,3,0,4,75.0
LS일렉트릭,010120,2,0,4,50.0
HMM,011200,1,0,4,25.0
한국단자,025540,2,1,3,66.67
포스코인터내셔널,047050,4,0,4,100.0
한국항공우주,047810,2,0,4,50.0
한전KPS,051600,1,3,1,100.0
현대글로비스,086280,3,0,4,75.0
SK하이닉스,000660,3,0,4,75.0
LG,003550,0,2,2,0.0
한솔테크닉스,004710,2,0,4,50.0
삼성전자,005930,3,0,4,75.0
삼성SDI,006400,0,0,4,0.0
대덕,008060,1,3,1,100.0
삼성전기,009150,2,0,4,50.0
LG이노텍,011070,2,0,4,50.0
삼성에스디에스,018260,3,0,4,75.0
롯데에너지머티리얼즈,020150,0,1,3,0.0
신도리코,029530,0,3,1,0.0
LG디스플레이,034220,2,0,4,50.0
SK,034730,0,0,4,0.0
한미반도체,042700,2,2,2,100.0
LG전자,066570,2,0,4,50.0
합계,,49,17,95,51.58
