﻿종목명,code,year,quarter,공시일,시가,종가,수익률,LLM 예측,판단,Confusion Matrix
CJ대한통운,000120,2022,Q4,2023-03-17,77600,82500,0.0631,down,false,NN
CJ대한통운,000120,2023,Q1,2023-05-15,81800,83000,0.0147,up,true,PP
CJ대한통운,000120,2023,Q2,2023-08-14,83100,79200,-0.0469,up,false,PN
CJ대한통운,000120,2023,Q3,2023-11-14,79900,126100,0.5782,up,true,PP
두산,000150,2022,Q4,2023-03-21,102600,93400,-0.0897,up,false,PN
두산,000150,2023,Q1,2023-05-15,93100,106900,0.1482,up,true,PP
두산,000150,2023,Q2,2023-08-14,106200,76400,-0.2806,down,true,NP
두산,000150,2023,Q3,2023-11-14,76500,142100,0.8575,down,false,NN
LX인터내셔널,001120,2022,Q4,2023-03-15,28950,30900,0.0674,down,false,NN
LX인터내셔널,001120,2023,Q1,2023-05-15,30700,36050,0.1743,up,true,PP
LX인터내셔널,001120,2023,Q2,2023-08-14,36350,29350,-0.1926,up,false,PN
LX인터내셔널,001120,2023,Q3,2023-11-14,29100,26550,-0.0876,up,false,PN
대한항공,003490,2022,Q4,2023-03-14,22900,22800,-0.0044,down,true,NP
대한항공,003490,2023,Q1,2023-05-12,22800,25000,0.0965,up,true,PP
대한항공,003490,2023,Q2,2023-08-14,25000,21100,-0.156,up,false,PN
대한항공,003490,2023,Q3,2023-11-14,21300,22250,0.0446,up,true,PP
S&T중공업,003570,2022,Q4,2023-02-20,9590,9590,0.0,up,false,PN
SNT다이내믹스,003570,2023,Q1,2023-05-11,9600,9750,0.0156,up,true,PP
LS,006260,2022,Q4,2023-03-21,71200,92700,0.302,up,true,PP
LS,006260,2023,Q1,2023-05-15,92600,116500,0.2581,up,true,PP
LS,006260,2023,Q2,2023-08-14,118000,76500,-0.3517,up,false,PN
LS,006260,2023,Q3,2023-11-14,77200,107400,0.3912,up,true,PP
LS일렉트릭,010120,2022,Q4,2023-03-20,55500,63900,0.1514,up,true,PP
LS일렉트릭,010120,2023,Q1,2023-05-15,63600,100300,0.577,up,true,PP
LS일렉트릭,010120,2023,Q2,2023-08-14,99800,64900,-0.3497,up,false,PN
LS일렉트릭,010120,2023,Q3,2023-11-14,65600,81100,0.2363,down,false,NN
HMM,011200,2022,Q4,2023-03-23,20300,19680,-0.0305,down,true,NP
HMM,011200,2023,Q1,2023-05-15,19510,17300,-0.1133,up,false,PN
HMM,011200,2023,Q2,2023-08-10,17250,16390,-0.0499,up,false,PN
HMM,011200,2023,Q3,2023-11-10,16220,15680,-0.0333,up,false,PN
한국단자,025540,2023,Q1,2023-05-15,66400,56800,-0.1446,down,true,NP
한국단자,025540,2023,Q2,2023-08-14,57400,69800,0.216,down,false,NN
