종목명,CODE,TRUE,EXCLUDED,TOTAL,정답률(%)
SK하이닉스,000660,17,1,34,50.0
LG,003550,10,12,22,45.45
한솔테크닉스,004710,11,11,24,45.83
삼성전자,005930,20,1,34,58.82
삼성SDI,006400,16,0,35,45.71
대덕전자,008060,7,18,16,43.75
삼성전기,009150,18,1,34,52.94
LG이노텍,011070,24,1,34,70.59
삼성에스디에스,018260,13,1,34,38.24
일진머티리얼즈,020150,9,5,30,30.0
신도리코,029530,3,30,5,60.0
LG디스플레이,034220,15,1,34,44.12
SK,034730,13,6,29,44.83
한미반도체,042700,7,19,16,43.75
LG전자,066570,13,1,34,38.24
합계,,196,108,415,47.23
