종목명,CODE,TRUE,EXCLUDED,TOTAL,정답률(%)
CJ대한통운,000120,19,0,35,54.29
두산,000150,14,6,29,48.28
LG상사,001120,17,6,29,58.62
대한항공,003490,20,0,35,57.14
S&T중공업,003570,7,25,10,70.0
LS,006260,13,9,26,50.0
LS산전,010120,12,9,26,46.15
현대상선,011200,12,5,30,40.0
한국단자,025540,5,23,12,41.67
포스코대우,047050,17,1,34,50.0
한국항공우주,047810,20,2,33,60.61
한전KPS,051600,11,9,26,42.31
현대글로비스,086280,20,2,33,60.61
합계,,187,97,358,52.23
