종목명,code,true,excluded,total,정답률(%)
CJ대한통운,000120,3,0,4,75.0
두산,000150,0,2,2,0.0
LG상사,001120,2,1,3,66.67
대한항공,003490,2,0,4,50.0
S&T중공업,003570,0,4,0,0.0
LS,006260,1,1,3,33.33
LS일렉트릭,010120,1,1,3,33.33
HMM,011200,2,0,4,50.0
한국단자,025540,2,1,3,66.67
포스코인터내셔널,047050,1,0,4,25.0
한국항공우주,047810,2,0,4,50.0
한전KPS,051600,2,0,4,50.0
현대글로비스,086280,2,0,4,50.0
SK하이닉스,000660,1,0,4,25.0
LG,003550,2,0,3,66.67
한솔테크닉스,004710,1,0,4,25.0
삼성전자,005930,1,0,4,25.0
삼성SDI,006400,0,0,4,0.0
대덕,008060,1,0,4,25.0
삼성전기,009150,2,0,4,50.0
LG이노텍,011070,2,1,3,66.67
삼성에스디에스,018260,1,0,4,25.0
일진머티리얼즈,020150,1,0,4,25.0
신도리코,029530,1,3,1,100.0
LG디스플레이,034220,1,0,4,25.0
SK,034730,2,0,4,50.0
한미반도체,042700,1,0,4,25.0
LG전자,066570,3,0,4,75.0
합계,,40,14,97,41.24
