,name,year,quarter,sector,Relative Return,금리 변화율,자본금 변화율,보유 주식 수 변화율,1인평균급여 변화율,실업률 변화율,기초 소유주식 지분율 변화율,Label,Code
35,경방,2016,Q1,경기소비재,-0.10944646341062639,-0.1254024221983725,-0.024374235351844797,0.0,0.0,0.05660377358490565,0.0,-0.03362986153695546,000050
35,한국타이어월드와이드,2016,Q1,경기소비재,0.036796963458934795,-0.1254024221983725,-0.02448741360498774,0.0,0.0,0.05660377358490565,0.0,-0.19615148859336112,000240
35,기아차,2016,Q1,경기소비재,-0.03604419632675698,-0.1254024221983725,-0.029719736471281233,0.0,0.0,0.05660377358490565,0.0,-0.1652028683202031,000270
35,조선내화,2016,Q1,철강_소재,-0.014107790530663095,-0.1254024221983725,-0.024377357473603367,0.0,0.0,0.05660377358490565,0.0,-0.08654563593707543,000480
35,영풍,2016,Q1,철강_소재,-0.010530866667812892,-0.1254024221983725,-0.02436536276371315,0.0,0.0,0.05660377358490565,0.0,0.06880518513613608,000670
35,동국제강,2016,Q1,철강_소재,0.36240105929683525,-0.1254024221983725,0.0,0.0,0.0,0.05660377358490565,0.0,-0.005391806288754623,001230
35,세아베스틸,2016,Q1,철강_소재,-0.055986130639948783,-0.1254024221983725,-0.024377650483812685,0.0,0.0,0.05660377358490565,0.0,0.0023905876431774414,001430
35,SK네트웍스,2016,Q1,경기소비재,-0.03570641036022851,-0.1254024221983725,0.0,0.0,0.0,0.05660377358490565,0.0,-0.03633542185878209,001740
35,고려제강,2016,Q1,철강_소재,0.003293634974785421,-0.1254024221983725,-0.02437063672475137,0.0,0.0,0.05660377358490565,0.0,-0.14269111829559356,002240
35,넥센타이어,2016,Q1,경기소비재,-0.03835713801095615,-0.1254024221983725,-0.0243857568714696,0.0,0.0,0.05660377358490565,0.0,-0.07092765019682944,002350
35,세아제강,2016,Q1,철강_소재,0.11971865978102944,-0.1254024221983725,-0.02437764699802636,0.0,0.0,0.05660377358490565,0.0,-0.1667984971551173,003030
35,일신방직,2016,Q1,경기소비재,0.015522772827717574,-0.1254024221983725,0.0,0.0,0.0,0.05660377358490565,0.0,-0.17687116393707397,003200
35,쌍용차,2016,Q1,경기소비재,-0.09450365251802548,-0.1254024221983725,-0.024472466417780003,0.0,0.0,0.05660377358490565,0.0,-0.09437374569527021,003620
35,현대제철,2016,Q1,철강_소재,-0.03988730939015063,-0.1254024221983725,-0.022937718714861388,0.0,0.0,0.05660377358490565,0.0,-0.11226360628855261,004020
35,한솔홀딩스,2016,Q1,경기소비재,0.004798380443542884,-0.1254024221983725,-0.02437394508853008,0.0,0.0,0.05660377358490565,0.0,-0.1427248246727712,004150
35,신세계,2016,Q1,경기소비재,0.06188974348592534,-0.1254024221983725,-0.024137967859863108,0.0,0.0,0.05660377358490565,0.0,-0.19409109127495283,004170
35,세방전지,2016,Q1,경기소비재,0.030639743485925346,-0.1254024221983725,-0.024383800180218573,0.0,0.0,0.05660377358490565,0.0,-0.14113277323642356,004490
35,조광피혁,2016,Q1,경기소비재,-0.01724888876954764,-0.1254024221983725,0.0,0.0,-0.024377287251976965,0.05660377358490565,0.0,0.22462035887204101,004700
35,삼광글라스,2016,Q1,철강_소재,0.04251725696243771,-0.1254024221983725,0.0,-0.024376090489988123,0.0,0.05660377358490565,0.0,-0.1894427391157933,005090
35,현대차,2016,Q1,경기소비재,-0.10878333343715157,-0.1254024221983725,0.05604982860159602,0.0,0.0,0.05660377358490565,0.0,-0.07099353155767482,005380
35,POSCO,2016,Q1,철강_소재,-0.03435313400695214,-0.1254024221983725,-0.03302965664259072,0.0,0.0,0.05660377358490565,0.0,0.034913861132760265,005490
