,name,year,quarter,sector,Relative Return,부채총계 변화율,영업이익 변화율,비유동부채 변화율,소비자물가지수 변화율,법인세차감전 순이익 변화율,이익잉여금 변화율,Label,Code
2,대림산업,2024,Q2,건설,-0.1396906751773595,-0.14289834552690517,-0.1408770941064056,-0.6988832508962397,-0.110334699467731,-0.30508222248635797,0.0004414926622158255,-0.13955218472851136,000210
2,현대건설,2024,Q2,건설,-0.07875553631097454,0.07022825308212366,-0.20173636489342783,-0.06681058017189323,-0.110334699467731,-0.3250637427410833,0.020975820109975896,0.030099223047776708,000720
2,한화,2024,Q2,에너지_화학,0.14654641411019148,0.05503597697567164,-1.118314168735572,-0.06445141484056305,-0.110334699467731,-1.5242977477314632,-0.02161412988362743,0.06275613215673034,000880
2,KCC,2024,Q2,건설,0.05712589386307248,0.025959854717018782,0.1581550140028134,0.18567559660913613,-0.110334699467731,-0.9528962371999218,0.0035699661962449447,-0.125567206032765,002380
2,한국쉘석유,2024,Q2,에너지_화학,0.22873722460745433,-0.3876451531782634,0.045009840675567014,0.010272694607664778,-0.110334699467731,0.026352106506372097,0.1149495836272858,0.12008604781721018,002960
2,태광산업,2024,Q2,에너지_화학,-0.0866324514371064,0.05960517182970704,-412.49299605437415,0.01813628933649669,-0.110334699467731,-0.5227322274237138,0.007260880714557105,0.19670176248602217,003240
2,한일시멘트,2024,Q2,건설,0.06061801666025786,-0.23062841631696362,-0.9902647645671444,-0.0509193842561696,-0.110334699467731,-0.9823099237385643,0.00029859745331917154,0.11181229909402324,003300
2,삼성정밀화학,2024,Q2,에너지_화학,0.001697904255601096,-0.09593065737790829,0.3572604808734716,0.03455895050318869,-0.110334699467731,-0.5625437785782443,0.01261022241204346,-0.03877385162564892,004000
2,효성,2024,Q2,에너지_화학,-0.0556806790551181,1.601445214310433,0.07025528214476062,-0.024931968163332985,-0.110334699467731,1.6524636406044881,-0.004039420110977354,0.28848431621547854,004800
2,SK케미칼,2024,Q2,에너지_화학,-0.16396234951086583,-0.004167231370321711,-1.0924464087895132,-0.22772481266049138,-0.110334699467731,-1.2684155019561225,-0.006287468789559214,0.12280287122368874,006120
