연도,분기,소비자물가지수,환율,GDP,금리,수출액,실업률,국제유가,주택가격
2015,Q4,0.8904034666666667,1155.5391666666667,466604000,2.17433333333333,147369600000000.0,3.533333333333333,43.57,104.7209
2016,Q1,0.8609612666666667,1200.3731333333333,468389792,1.9016666666666695,143777100000000.0,3.733333333333333,33.696666666666665,104.6547
2016,Q2,0.8376918666666665,1161.5964999999999,474262912,1.7380000000000002,144995100000000.0,3.5666666666666664,45.52333333333333,104.5926
2016,Q3,0.7351232333333333,1119.7490333333333,476110016,1.4433333333333302,137655100000000.0,3.8666666666666667,45.78666666666667,104.7176
2016,Q4,1.449667,1157.9813333333334,479788416,1.9066666666666696,149859900000000.0,3.6,49.18666666666667,104.7769
2017,Q1,2.197415,1151.1521666666667,485158592,2.165,158474900000000.0,3.7000000000000006,53.68,103.6666
2017,Q2,1.920585,1130.0526,488738112,2.2013333333333303,164924200000000.0,3.6666666666666665,49.669999999999995,103.8862
2017,Q3,2.2158236666666666,1131.205,495481408,2.275,170572100000000.0,3.733333333333333,52.10999999999999,103.9749
2017,Q4,1.4402420000000002,1104.5267666666666,494353888,2.489,156766900000000.0,3.6333333333333333,61.53,104.5509
2018,Q1,1.0760899000000002,1071.3525,501536992,2.7013333333333303,160576000000000.0,3.6999999999999997,66.80666666666666,104.2161
2018,Q2,1.503497,1079.6866333333335,505472896,2.6893333333333302,164210000000000.0,3.733333333333333,74.5,104.3629
2018,Q3,1.5700113333333334,1120.8166333333331,508102016,2.4406666666666696,172194300000000.0,4.166666666666667,75.22333333333334,104.5619
2018,Q4,1.8100569999999998,1126.4614666666666,510990400,2.17966666666667,170772500000000.0,3.8000000000000003,67.71333333333332,106.0377
2019,Q1,0.5657912999999999,1124.5879333333332,511286592,1.97733333333333,153896500000000.0,3.8666666666666667,63.169999999999995,106.4097
2019,Q2,0.6664933333333333,1166.3007333333333,518083296,1.7783333333333302,162944900000000.0,3.933333333333333,68.92333333333333,105.6338
2019,Q3,0.046409453333333385,1193.9090666666668,519196800,1.3933333333333302,160682200000000.0,3.733333333333333,61.93,105.6667
2019,Q4,0.29610438899999986,1175.1504666666667,524415712,1.66,156763100000000.0,3.533333333333333,63.410000000000004,105.8135
2020,Q1,0.9849665,1193.6642333333332,517669600,1.5603333333333302,159581200000000.0,3.5666666666666664,50.44,106.5355
2020,Q2,0.02516875333333333,1219.4035999999999,503484608,1.43,136760400000000.0,4.133333333333334,29.343333333333334,108.1911
2020,Q3,0.7618039,1187.4455666666665,514605792,1.411,153347500000000.0,4.0,42.96333333333333,109.6581
2020,Q4,0.4738082666666666,1117.8845000000001,522706592,1.5973333333333302,155704800000000.0,4.166666666666667,44.29,112.8528
2021,Q1,1.4274603,1113.4349,530771104,1.872,166965100000000.0,4.233333333333333,60.82,115.8494
2021,Q2,2.4867923333333333,1121.3731,537903808,2.0916666666666694,177822200000000.0,3.766666666666667,68.83333333333333,119.2947
2021,Q3,2.5306076666666666,1160.0694333333333,538085696,1.9806666666666697,190159000000000.0,3.1999999999999997,73.47,123.1131
2021,Q4,3.549307,1183.2790333333332,546662208,2.3136666666666694,205794800000000.0,3.266666666666667,79.58666666666666,126.0981
2022,Q1,3.881674333333334,1205.3326666666665,549303680,2.65533333333333,213748100000000.0,2.9666666666666663,100.29666666666667,125.5234
2022,Q2,5.381431333333334,1260.4557,553684800,3.38466666666667,225835700000000.0,2.8666666666666667,113.54333333333334,123.8187
2022,Q3,5.870792333333334,1341.2715333333333,555841472,3.50633333333333,232112000000000.0,2.8000000000000003,100.71333333333332,122.4369
2022,Q4,5.198198666666666,1360.4726333333333,553328896,3.9076666666666697,212580800000000.0,2.8666666666666667,88.55666666666667,119.7681
2023,Q1,4.608022333333333,1274.8356999999999,555761088,3.43633333333333,198768100000000.0,2.6999999999999997,81.17333333333333,114.8128
2023,Q2,3.1909766666666664,1315.5961333333335,558825920,3.444,205887800000000.0,2.566666666666667,78.31666666666666,111.734
2023,Q3,3.098580666666667,1312.7588666666668,563035712,3.83,206204000000000.0,2.6666666666666665,86.66000000000001,110.0289
2023,Q4,3.438364,1321.3518666666666,565597568,3.859,218376200000000.0,2.8333333333333335,83.72333333333333,109.2947
2024,Q1,3.0510256666666664,1329.6405333333332,572950976,3.3906666666666667,223547500000000.0,2.8000000000000003,83.00333333333333,108.3503
2024,Q2,2.7143916666666663,1370.5440666666666,571646720,3.4770000000000003,236532100000000.0,2.7999999999999994,84.64666666666666,107.7857
2024,Q3,2.069175,1354.7298,572216000,3.060333333333334,235305500000000.0,2.533333333333333,79.84333333333333,107.4326
