observation_date,QKRR628BIS
2015-10-01,104.72090000000000
2016-01-01,104.65470000000001
2016-04-01,104.59260000000000
2016-07-01,104.71760000000000
2016-10-01,104.77690000000000
2017-01-01,103.66660000000000
2017-04-01,103.88620000000000
2017-07-01,103.97490000000001
2017-10-01,104.55090000000000
2018-01-01,104.21610000000000
2018-04-01,104.36290000000000
2018-07-01,104.56189999999999
2018-10-01,106.03770000000000
2019-01-01,106.40970000000000
2019-04-01,105.63379999999999
2019-07-01,105.66670000000001
2019-10-01,105.81350000000000
2020-01-01,106.53550000000000
2020-04-01,108.19110000000001
2020-07-01,109.65810000000000
2020-10-01,112.85280000000000
2021-01-01,115.84940000000000
2021-04-01,119.29470000000001
2021-07-01,123.11310000000000
2021-10-01,126.09810000000000
2022-01-01,125.52340000000000
2022-04-01,123.81870000000001
2022-07-01,122.43689999999999
2022-10-01,119.76810000000000
2023-01-01,114.81280000000000
2023-04-01,111.73399999999999
2023-07-01,110.02889999999999
2023-10-01,109.29470000000001
2024-01-01,108.35030000000000
2024-04-01,107.78570000000001
2024-07-01,107.43259999999999
