code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),총포괄손익,영업비용
1800,오리온,생활소비재,2015,Q4,2016-03-30,"168,907,885,326","1,255,168,339,134","1,424,076,224,460","226,096,136,884","354,070,712,239","580,166,849,123","29,880,455,000","608,449,041,565","843,909,375,337",707437985642,95148644348,43266461124,15353749095,,
1800,오리온,생활소비재,2016,Q1,2016-05-13,"176,436,402,558","1,263,859,875,110","1,440,296,277,668","327,358,242,035","298,493,580,772","625,851,822,807","29,880,455,000","578,837,617,045","814,444,454,861",173838554887,23865757927,6196484547,3380151580,,
1800,오리온,생활소비재,2016,Q2,2016-08-16,"164,068,384,078","1,271,899,280,990","1,435,967,665,068","316,731,562,527","303,949,127,912","620,680,690,439","29,880,455,000","579,485,953,381","815,286,974,629",166606301243,16580224418,13415978110,1466397436,,
1800,오리온,생활소비재,2016,Q3,2016-11-14,"159,375,722,400","1,232,194,011,210","1,405,931,303,038","273,896,233,276","255,154,335,272","529,050,568,548","30,041,495,000","593,736,831,988","876,880,734,490",160210524474,12057347298,9149426135,11319295494,,
1800,오리온,생활소비재,2016,Q4,2017-03-31,"183,030,277,281","1,219,762,637,815","1,417,049,909,278","347,567,772,092","136,804,881,468","484,372,653,560","30,042,175,000","629,510,581,048","932,677,255,718",178724572491,26171103401,44490624599,34788044808,,
1800,오리온,생활소비재,2017,Q1,2017-05-15,"19,778,370,324","280,976,871,969","1,406,857,019,973","2,920,404,524,904","1,329,287,682","3,351,031,844,289","30,042,175,000","611,461,940,914","-1,944,174,824,316",1507929875,-1689053871,463704446,13045241575,,
1800,오리온,생활소비재,2017,Q2,2017-08-14,"36,834,371,630","608,492,493,944","648,858,585,535","13,852,672,656","65,030,964,509","78,883,637,165","10,275,424,500","2,821,871,928,330","569,974,948,370",2059765365,-2173336011,-1708093143,2211386837347,,
1800,오리온,생활소비재,2017,Q3,2017-11-14,"31,247,965,311","608,161,889,977","642,959,945,249","6,667,011,940","66,125,270,707","72,792,282,647","10,275,424,500","2,251,578,386,250","570,167,662,602",4090814113,1284753982,1389328782,415504135,,
1800,오리온,생활소비재,2017,Q4,2018-04-02,"27,097,648,943","1,877,328,739,788","1,907,981,603,396","3,874,567,697","1,129,512,643","5,004,080,340","31,322,026,500","2,255,430,451,866","1,902,977,523,056",5938031064,1865695908,-201312420,4063216592,,
1800,오리온,생활소비재,2018,Q1,2018-05-15,"41,401,956,396","1,876,389,420,593","1,923,440,823,201","28,648,421,364","2,155,588,487","30,804,009,851","31,322,026,500","16,465,861,633","1,892,636,813,350",14893329503,11668111240,11664462012,9729017317,,
1800,오리온,생활소비재,2018,Q2,2018-08-14,"37,041,804,062","1,873,205,529,244","1,910,247,333,306","8,654,689,240","2,231,552,257","10,886,241,497","31,322,026,500","23,190,202,172","1,899,361,091,809",3711264948,815697244,8840065020,6704773580,,
1800,오리온,생활소비재,2018,Q3,2018-11-14,"14,140,390,911","1,895,485,962,221","1,909,626,353,132","6,773,247,540","2,059,391,461","8,832,639,001","31,322,146,500","24,598,261,808","1,900,793,714,131",3891432214,1499322530,1808369196,1384282810,,
1800,오리온,생활소비재,2018,Q4,2019-04-01,"26,766,248,973","1,888,861,272,205","1,915,627,521,178","7,891,663,843","1,986,280,745","9,877,944,588","31,322,146,500","29,594,212,646","1,905,749,576,590",3812892711,1297446116,6984975773,5097786900,,
1800,오리온,생활소비재,2019,Q1,2019-05-15,"72,632,186,406","1,878,980,799,839","1,951,612,986,245","30,497,760,764","23,638,344,050","54,136,104,814","31,322,711,000","14,305,266,951","1,897,476,881,431",17565824978,14734090701,15220892860,13433403197,,
1800,오리온,생활소비재,2019,Q2,2019-08-14,"31,569,855,006","1,895,293,624,804","1,926,863,479,810","6,464,917,101","23,923,231,912","30,388,149,013","31,322,711,000","13,317,699,768","1,896,475,330,797",3198819078,657289004,902549345,-724236970,,
1800,오리온,생활소비재,2019,Q3,2019-11-14,"17,423,397,268","1,910,077,762,433","1,927,501,159,701","5,207,565,748","24,092,931,534","29,300,497,282","31,322,711,000","15,043,185,604","1,898,200,662,419",4364731560,1711762200,2177252782,1751214853,,
1800,오리온,생활소비재,2019,Q4,2020-03-30,"6,542,064,158","1,923,618,951,721","1,930,161,015,879","14,736,740,745","23,386,126,855","38,122,867,600","31,322,711,000","8,681,315,071","1,892,038,148,279",3844047688,494764144,3035848296,-6494585476,,
1800,오리온,생활소비재,2020,Q1,2020-05-15,"14,317,910,390","1,923,457,687,632","1,937,775,598,022","34,196,285,914","23,307,660,070","57,503,945,984","31,322,711,000","12,415,108,935","1,880,271,652,038",14459112885,11399044414,11347052768,11336759051,,
1800,오리온,생활소비재,2020,Q2,2020-08-14,"3,681,086,269","1,923,679,546,867","1,927,360,633,136","22,727,311,785","23,797,208,347","46,524,520,132","31,322,711,000","12,979,455,537","1,880,836,113,004",3630498660,561001460,410189015,624167620,,
1800,오리온,생활소비재,2020,Q3,2020-11-16,"3,926,968,878","1,923,660,020,929","1,927,586,989,807","21,863,283,455","23,915,216,304","45,778,499,759","31,322,711,000","13,951,877,587","1,881,808,490,048",4003869902,1389889187,1211042097,978044004,,
1800,오리온,생활소비재,2020,Q4,2021-03-10,"5,094,849,579","1,921,798,992,819","1,926,893,842,398","20,816,996,700","22,516,266,766","43,333,263,466","31,322,711,000","14,601,734,961","1,883,560,578,932",3958310955,-183576529,1530430179,543189953,,
