code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산
49770,동원F&B,생활소비재,2015,Q4,2016-03-28,"345,239,907,438","453,364,662,677","798,604,570,115","166,426,416,631","156,197,682,329","322,624,098,960","475,980,471,155",1374936673181,52523372331,50566248203,39487319875,39487319875,,,,,
49770,동원F&B,생활소비재,2016,Q1,2016-05-13,"455,718,523,270","451,944,071,210","907,662,594,480","265,223,147,725","160,551,073,053","425,774,220,778","481,888,373,702",393524891116,21247537005,20419612885,15590671830,15590671830,,,,,
49770,동원F&B,생활소비재,2016,Q2,2016-08-10,"349,732,661,053","453,757,138,164","803,489,799,217","158,422,347,192","160,522,285,154","318,944,632,346","484,545,166,871",321312686802,3504783135,2812673139,2662735981,2662735981,,,,,
49770,동원F&B,생활소비재,2016,Q3,2016-11-11,"380,257,680,850","452,151,373,439","832,409,054,289","170,373,034,067","161,396,803,062","331,769,837,129","500,639,217,160",428453086144,20718005231,21100527233,16099094317,16099094317,,,,,
49770,동원F&B,생활소비재,2016,Q4,2017-03-28,"429,409,196,518","450,073,859,903","879,483,056,421","336,116,080,885","46,377,070,933","382,493,151,818","496,989,904,603",321700846290,-987290268,-2309821070,-1065865016,-1065865016,,,,,
49770,동원F&B,생활소비재,2017,Q1,2017-05-12,"374,801,834,457","463,431,059,566","838,232,894,023","281,759,561,995","51,484,370,216","333,243,932,211","504,988,961,812",421781710707,23560341482,23185428192,17728445150,17728445150,,,,,
49770,동원F&B,생활소비재,2017,Q2,2017-08-11,"396,155,422,680","599,120,321,351","995,275,744,031","303,944,905,463","185,316,515,014","489,261,420,477","506,014,323,554",346403704177,2925900969,1243296269,1056325418,1056325418,,,,,
49770,동원F&B,생활소비재,2017,Q3,2017-11-14,"559,100,464,924","600,198,369,613","1,159,298,834,537","451,332,354,786","187,768,209,391","639,100,564,177","520,198,270,360",460169851978,20046758248,18605368045,14213608580,14213608580,"19,295,620,000","33,167,222,229",,,
49770,동원F&B,생활소비재,2017,Q4,2018-03-30,-,-,"1,055,184,115,017",-,-,"533,997,997,928","521,186,117,089",340849590580,-2648085481,-1486504337,-943286878,-943286878,"19,295,620,000","32,223,935,351",,,
49770,동원F&B,생활소비재,2018,Q1,2018-05-15,"477,309,611,574","614,693,765,494","1,092,003,377,068","262,132,994,895","306,978,314,209","569,111,309,104","522,892,067,964",444032144436,17112647983,15457930803,11758213069,11758213069,"19,295,620,000","11,895,248,875",,,
49770,동원F&B,생활소비재,2018,Q2,2018-08-14,"474,985,184,113","617,525,997,880","1,092,511,181,993","259,801,523,644","307,201,725,325","567,003,248,969","525,507,933,024",367784020908,6444421995,3408044225,2739698758,2739698758,"19,295,620,000","14,634,947,633",,,
49770,동원F&B,생활소비재,2018,Q3,2018-11-14,"541,169,793,139","619,842,953,349","1,161,012,746,488","302,266,752,758","310,202,428,206","612,469,180,964","548,543,565,524",480919947641,32170185938,30277841372,22993901632,22993901632,"19,295,620,000","37,828,375,221",,,
