code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,이익잉여금,총포괄손익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산
49770,동원F&B,생활소비재,2018,Q4,2019-03-28,"413,899,712,710","615,399,092,505","1,029,298,805,215","177,477,130,837","305,001,951,488","482,479,082,325","546,819,722,890",339895697293,5849582810,4156488609,3513966227,3513966227,"19,295,620,000","41,342,341,448",,,
49770,동원F&B,생활소비재,2019,Q1,2019-05-15,"498,154,841,378","624,627,132,131","1,122,781,973,509","257,210,934,268","310,845,926,234","568,056,860,502","554,725,113,007",448697459278,28016262666,26101561058,19561274035,19561274035,"19,295,620,000","19,959,576,816",,,
49770,동원F&B,생활소비재,2019,Q2,2019-08-14,"490,505,706,060","626,933,321,630","1,117,439,027,690","284,853,378,241","273,809,804,512","558,663,182,753","558,775,844,937",387015658111,6920956400,5206589924,3999627428,3999627428,"19,295,620,000","23,959,204,244",,,
49770,동원F&B,생활소비재,2019,Q3,2019-11-14,"477,613,396,616","704,983,669,437","1,182,597,066,053","248,020,217,273","355,701,862,508","603,722,079,781","578,874,986,272",489914252920,28574513823,26469682184,20109856643,20109856643,"19,295,620,000","44,069,060,887",,,
49770,동원F&B,생활소비재,2019,Q4,2020-03-30,"452,920,908,636","706,135,202,783","1,159,056,111,419","286,381,261,296","296,717,410,811","583,098,672,107","575,957,439,312",383672122086,7144708160,3468302415,405215119,405215119,"19,295,620,000","44,474,276,006",,,
49770,동원F&B,생활소비재,2020,Q1,2020-05-14,"425,938,824,640","751,514,256,143","1,177,453,080,783","292,776,805,831","300,408,499,963","593,185,305,794","584,267,774,989",464147718718,28982818585,26513533955,20063656604,20063656604,"19,295,620,000","20,460,560,610",,,
49770,동원F&B,생활소비재,2020,Q2,2020-08-14,"453,015,129,334","743,000,189,564","1,196,015,318,898","265,470,933,268","339,671,573,291","605,142,506,559","590,872,812,339",409316715590,10900253650,8340126932,6189801039,6189801039,"19,295,620,000","26,650,361,649",,,
49770,동원F&B,생활소비재,2020,Q3,2020-11-13,"591,502,787,353","775,339,308,884","1,366,842,096,237","348,011,858,818","403,298,098,319","751,309,957,137","615,532,139,100",524923923474,34525888817,31914321578,24265567852,24265567852,"19,295,620,000","50,915,929,501",,,
49770,동원F&B,생활소비재,2020,Q4,2021-03-16,"479,583,631,347","757,935,914,002","1,237,519,545,349","195,650,885,180","426,323,072,650","621,973,957,830","615,545,587,519",382879907824,10102139109,3694707092,2306779453,2306779453,"19,295,620,000","53,222,708,954",,,
49770,동원F&B,생활소비재,2021,Q1,2021-05-14,"503,472,439,200","773,138,241,909","1,276,610,681,109","224,676,432,635","426,399,006,366","651,075,439,001","625,535,242,108",476761863281,34510852374,31536709734,22999407535,22999407535,"19,295,620,000","23,415,182,489",,,
49770,동원F&B,생활소비재,2021,Q2,2021-08-13,"454,452,733,174","796,736,132,249","1,251,188,865,423","224,975,699,514","391,836,526,488","616,812,226,002","634,376,639,421",395415636186,10568937857,8663298246,8338530555,8338530555,"19,295,620,000","31,753,713,044",,,
49770,동원F&B,생활소비재,2021,Q3,2021-11-15,"514,331,845,596","837,454,823,698","1,351,786,669,294","299,167,915,632","394,145,943,520","693,313,859,152","658,472,810,142",507546081008,34427373097,32485561356,24826641361,24826641361,"19,295,620,000","56,580,354,405",,,
49770,동원F&B,생활소비재,2021,Q4,2022-08-12,"435,532,407,626","895,449,691,272","1,330,982,098,898","378,317,245,835","290,531,648,368","668,848,894,203","662,133,204,695",391048970876,7519050438,5655526925,4664518319,4664518319,"19,295,620,000","61,244,872,724",,,
49770,동원F&B,생활소비재,2022,Q1,2022-05-31,"530,381,520,942","840,297,348,711","1,370,678,869,653","404,245,679,852","289,753,264,020","693,998,943,872","676,679,925,781",476701268551,24848118253,32815973640,27240018023,27240018023,"19,295,620,000","27,677,956,747",,,
49770,동원F&B,생활소비재,2022,Q2,2022-08-12,"482,692,914,932","835,104,986,060","1,317,797,900,992","345,791,602,919","289,315,442,549","635,107,045,468","682,690,855,524",427309132678,9669020419,8649934602,6922749453,6922749453,"19,295,620,000","34,600,706,200",,,
49770,동원F&B,생활소비재,2022,Q3,2022-11-14,"508,388,783,962","901,987,909,295","1,410,376,693,257","477,858,065,546","227,435,319,600","705,293,385,146","705,083,308,111",535416710738,33547196417,30933627822,23296570629,23296570629,"19,295,620,000","57,897,276,829",,,
49770,동원F&B,생활소비재,2022,Q4,2023-03-17,"596,584,895,916","846,311,944,267","1,442,896,840,183","522,738,259,022","196,198,517,431","718,936,776,453","723,960,063,730",436805130576,18122130405,19431609974,16100671620,16100671620,"19,295,620,000","73,997,948,449",,,
49770,동원F&B,생활소비재,2023,Q1,2023-05-12,"553,485,433,454","847,199,713,214","1,400,685,146,668","460,264,305,279","200,621,891,991","660,886,197,270","739,798,949,398",498902700876,27445193027,34145924629,28426307554,28426307554,"19,295,620,000","28,917,322,003",,,
49770,동원F&B,생활소비재,2023,Q2,2023-11-29,"597,386,615,339","844,076,352,943","1,441,462,968,282","551,082,870,233","144,862,492,515","695,945,362,748","745,517,605,534",462603977220,11299522112,6914075360,5265412204,5265412204,"19,295,620,000","34,182,734,207",5718656136.0,,
49770,동원F&B,생활소비재,2023,Q3,2023-11-10,"740,626,684,413","910,937,256,327","1,651,563,940,740","632,049,488,549","244,904,201,340","876,953,689,889","774,610,250,851",581666130784,41608769423,38169262882,29365544205,29365544205,"19,295,620,000","63,548,278,412",29092645317.0,,
49770,동원F&B,생활소비재,2023,Q4,2024-03-20,"600,881,406,874","874,366,205,433","1,475,247,612,307","495,230,060,865","200,027,466,469","695,257,527,334","779,990,084,973",446043621100,15522712995,12117517585,9953388338,9953388338,"19,295,620,000","73,501,666,750",34725653790.0,,
49770,동원F&B,생활소비재,2024,Q1,2024-07-25,"615,071,082,042","880,281,138,309","1,495,352,220,351","502,417,570,425","195,599,902,668","698,017,473,093","797,334,747,258",526353094290,32078789534,39309714270,32485673799,32485673799,"19,295,620,000","32,550,844,549",32781158285.0,,
49770,동원F&B,생활소비재,2024,Q2,2024-08-09,"572,429,856,146","891,811,925,938","1,464,241,782,084","465,464,855,257","192,117,918,814","657,582,774,071","806,659,008,013",458748984046,14418639758,11635253354,8984699217,8984699217,"19,295,620,000","41,535,543,766",9324260755.0,,
49770,동원F&B,생활소비재,2024,Q3,2024-11-08,"546,603,426,718","866,499,327,286","1,413,102,754,004","472,783,274,237","107,435,225,871","580,218,500,108","832,884,253,896",591708480580,48406067128,43241484277,32931227224,32931227224,"19,295,620,000","74,466,770,990",32513040000.0,,
49770,동원F&B,생활소비재,2024,Q4,2025-03-20,"565,480,211,037","889,880,000,001","1,455,360,211,038","508,450,427,636","105,320,091,174","613,770,518,810","841,589,692,228",466373060469,18685610643,13471668512,12435662441,12435662441,"19,295,620,000","86,902,433,431",9072052627.0,0.0,"976,040,683"
