video_id,published_at,view_count
ZztumeGN0u8,2018-08-13T09:27:25Z,2031
GQRitxVV1pw,2018-08-13T08:56:09Z,1091
aHwuofvXNJE,2018-08-10T08:57:03Z,1459
qeMrl6rxxdk,2018-08-10T08:51:38Z,3083
IiAmNm9gyc8,2018-08-10T05:16:08Z,1810
N-Xhnnk8Miw,2018-08-10T05:05:50Z,4461
fD8qbl47iDY,2018-08-10T02:30:45Z,8216
tPXsJRO4Scg,2018-08-09T09:27:00Z,1516
P8YRsXLWtHU,2018-08-09T08:34:22Z,4779
NAXKuFR8OeI,2018-08-09T04:45:15Z,1718
lHqztoNulF4,2018-08-09T00:22:44Z,10607
og5avH-2AtU,2018-08-08T23:54:50Z,1125
IhHAK9Kw_KE,2018-08-08T23:24:24Z,1551
VkHNlOZVBs8,2018-08-08T08:23:48Z,3095
_CCEXNSaBJI,2018-08-08T08:19:20Z,2416
AFRBciJEBTk,2018-08-08T08:04:56Z,2365
DMuRMPTkQyo,2018-08-08T05:31:03Z,14970
vcZtHr05-pg,2018-08-07T23:19:10Z,2387
Uq_VydksgVI,2018-08-07T08:32:20Z,2129
dKK1diGv7bg,2018-08-07T04:52:50Z,8505
6Tts4RO3SM0,2018-08-07T00:06:26Z,12611
khCZJOiTXUU,2018-08-06T23:51:14Z,1519
DuowJ_G5Fto,2018-08-06T02:39:56Z,13462
AzuQtLxnspM,2018-07-31T09:24:14Z,1740
