,name,year,quarter,sector,Relative Return,비유동부채 변화율,법인세차감전 순이익 변화율,이익잉여금 변화율,영업이익 변화율,유동부채 변화율,매출액 변화율,Label,Code
17,유한양행,2020,Q3,헬스케어,-0.056977511654584076,0.27126779266716694,-0.39023782288026054,0.01197353040624094,-0.38878380150929204,-0.19022865290111646,0.019507058170058933,-0.23386316947637756,000100
17,일동제약,2020,Q3,헬스케어,-0.07199364085817223,-0.00033086373848267847,0.775870939059625,0.013065887467869297,0.5022216105307049,-0.0034342223774270764,-0.050816988661451123,0.3699180242814153,000230
17,동아쏘시오홀딩스,2020,Q3,헬스케어,0.14036300650534914,0.0022935980690121927,-1.8464740176339265,0.018600461224819398,-2.4103601477318235,-0.0005516987741369661,4.559864650227287,-0.3998505686067466,000640
17,한화,2020,Q3,에너지_화학,-0.012596347714810758,0.05784199381619248,0.09518575160899756,0.021752781979256675,0.21735710988390977,-0.13666847290143003,-0.12609211479958082,-0.15011646954178376,000880
17,한국쉘석유,2020,Q3,에너지_화학,-0.016901046266611732,0.14364612250691322,0.07450710966771079,0.08459330885241312,0.0903267754360062,0.03543766415269789,0.006964704373342734,-0.2269832838543183,002960
17,부광약품,2020,Q3,헬스케어,-0.3780558573387964,-0.2034135803091176,-1.9074063077009447,-0.011228377208725049,-0.7357813568284985,-0.5102012243120686,-0.03499058552274503,-0.18219449129072096,003000
17,태광산업,2020,Q3,에너지_화학,0.08190927204578127,0.004301488127349984,-0.9804193305584895,0.0026620632817557777,-0.9054641390006293,0.06932674764399716,0.005190465833348368,-0.07596549548094583,003240
17,영진약품,2020,Q3,헬스케어,0.1597521371336741,0.016133346743887556,-1.4388936052187993,-0.017345914922574535,-1.3991234404114095,-0.05968522253457653,-0.01664528275335664,-0.3949343437705028,003520
17,삼성정밀화학,2020,Q3,에너지_화학,0.08257021447887561,0.059590454256893466,-0.694651005097782,0.020857891069046453,-0.21570112256555318,0.09462895540623606,0.08262565727351445,-0.24115246753014588,004000
17,효성,2020,Q3,에너지_화학,0.05722045444459716,0.08722173132253763,-6.147800346240522,-0.014367949881345932,0.08276327538366912,-0.05082232299532374,-0.011413560371747677,-0.20241102860465454,004800
17,SK케미칼,2020,Q3,에너지_화학,-0.277069844076192,1.5819974225657627,-0.3309949614683332,-0.0018761475536144268,0.010232110292430097,0.5594213961904348,-0.4337121155248127,-0.3461234129235028,006120
17,녹십자,2020,Q3,헬스케어,0.28649081150276556,0.010637960149118442,3.1607163567654144,0.08313927461980875,3.939637902842498,-0.006345955264858705,0.1731160812991277,-0.3312796150323131,006280
17,대한유화,2020,Q3,에너지_화학,0.8742711770353646,-0.04060627785969528,-0.11518501743065268,0.03394847501164944,-0.11986196787964876,-0.06972336719917382,-0.009854791215071157,0.13896321336925743,006650
17,일양약품,2020,Q3,헬스케어,-0.20526474287899468,0.016093988916435542,1.6889328108776325,0.3202193163571443,0.752836716109619,0.06411075769994068,0.5550613871610706,-0.7222240162038875,007570
