,name,year,quarter,sector,Relative Return,비유동자산 변화율,자본총계 변화율,총포괄손익 변화율,이익잉여금 변화율,매출액 변화율,비유동부채 변화율,특정 증권 등 소유 수 변화율,유동자산 변화율,국제유가 변화율,Label,Code
16,Kia_Corp,2020,Q4,운송장비·부품,0.36348041097783856,0.023252103151965242,0.03233124172235635,-0.02071498538111438,0.0402183987908431,-0.031273834461781114,0.021461160601829343,-0.011403436894130703,0.08579036410513685,-0.030879044146171264,0.05787488746684816,000270
16,S&T_Heavy_Industries,2020,Q4,운송장비·부품,-0.07525476688777402,-0.05357303089997845,0.0060881150019114205,-0.015370954227875488,-0.0021975312140296577,-0.9088846694335149,0.04509835313734378,0.0,0.07909171104351265,-0.030879044146171264,-0.10680298068383676,003570
15,SsangYong_Motor,2020,Q4,운송장비·부품,0.16874771690191584,0.044693135532074546,-0.015407215115431638,-0.015407215115431638,-0.25565393936141434,-0.24005463393009574,0.1885359793509075,-0.015407215115431638,-0.31153680093358127,-0.030879044146171264,-0.5681170940681254,003620
15,Hyundai_Motor,2020,Q4,운송장비·부품,0.7191414129641551,0.00023789931845130674,0.008134180400666824,-0.0219113371661539,0.013870271312911298,-0.1491162657272087,-0.05238799686673712,-0.025101575796302233,-0.07150497967775671,-0.030879044146171264,-0.2080132778149843,005380
15,SL_Corp,2020,Q4,운송장비·부품,0.0,-0.012552197605741,-0.017946999009432307,-0.015366059747309313,-0.030035126582321325,-0.23515922579590698,0.2810687321915687,-0.015366059747309313,0.056427570430055196,-0.030879044146171264,-0.12478942449916777,005850
15,Motonic,2020,Q4,운송장비·부품,0.4848548103294278,0.03269521788369378,-0.012076723964395741,-0.01537223404365462,-0.013764443100236612,-0.13721968849125266,-0.07829151771750897,-0.015372234043654842,-0.021196652837753405,-0.030879044146171264,-0.2738602723505034,009680
15,Samsung_Heavy Industries,2020,Q4,운송장비·부품,-0.2133420800322954,0.0213328763427727,0.15915120766780888,0.014608765004917923,1.3831974608535176,0.005673608196276603,0.0980069630159427,-0.02363699273155606,0.07686161026135152,-0.030879044146171264,0.06387995296427457,010140
15,Hyundai_Mipo_Dockyard,2020,Q4,운송장비·부품,-0.1501841852954533,-0.07974835493476173,0.011917799637408799,-0.015355848429207342,0.04439021564193946,-0.0426376437813305,-0.07779292230575496,-0.015355848429207342,0.04864825643849224,-0.030879044146171264,0.3348461953111881,010620
15,Hwashin,2020,Q4,운송장비·부품,0.3633689282576602,0.0028590704665062416,0.031831445515211,-0.015369289824202603,0.018947625255042677,-0.2167997455047157,0.2570515068917669,0.0,0.1317200589737081,-0.030879044146171264,-0.08591332886722777,010690
16,Hyundai_WIA,2020,Q4,운송장비·부품,0.044599121285606086,-0.0065870262669127655,0.022732576549114314,-0.015417798118023018,0.02757517604567461,-0.09845878146074849,-0.04425232102106791,-0.015417798118023018,-0.061071299466264106,-0.030879044146171264,0.04135008363655157,011210
16,Hyundai_Mobis,2020,Q4,운송장비·부품,0.08947795205305936,0.005752585079120465,0.002853701896553207,-0.00971318505132146,-0.008319594507529393,-0.11179293168582394,-0.05967611015795238,-0.01865461557976733,-0.04365919537487217,-0.030879044146171264,-0.14390384533525288,012330
15,Hanwha_Aerospace,2020,Q4,운송장비·부품,-0.06470584226163299,-0.011037805610154994,-0.017391306481808977,-0.015103685764828345,-0.019333717757846758,-0.19583877640802738,0.0044704712703645955,-0.014835051207902294,0.00482635377851337,-0.030879044146171264,-0.14609086957167877,012450
15,Sejong_Industrial,2020,Q4,운송장비·부품,0.6228465223146936,-0.002073691399509414,-0.03276373943265498,-0.015372803234994459,-0.007628039416925025,-0.2607250509109664,-0.36795884325472006,-0.015372803234994459,-0.06888584115852425,-0.030879044146171264,-0.2593557678459989,033530
15,Daewoo_Shipbuilding_&_Marine_Engineering,2020,Q4,운송장비·부품,-0.18979898546388668,0.006414850754917878,0.03220020084621822,-0.013036683944140703,0.17603220657068086,-0.13800262913210748,0.4511351903963211,-0.014909820111820515,0.021462517255050884,-0.030879044146171264,-0.10833576162115977,042660
15,Korea_Aerospace_Industries,2020,Q4,운송장비·부품,-0.14105802961397404,-0.05406444042100311,0.030316329168154965,-0.015501339447105078,0.05822403032446555,-0.4788630150093589,-0.2968159073869314,-0.015501339447105078,-0.07510863987776983,-0.030879044146171264,-0.1403104888007199,047810
15,Hyundai_Rotem,2020,Q4,운송장비·부품,-0.06400907008808003,0.0165978559758857,0.035827189841924456,-0.015425010474268808,-0.35747699790544796,-0.09222409692967926,-0.22356265882243198,-0.01542501047426903,-0.07611043190576194,-0.030879044146171264,-0.1616522044099514,064350
16,S&T_Motiv,2020,Q4,운송장비·부품,0.23856341041726922,-0.07156106411750951,-0.006042859074454565,-0.01536982482136029,-0.007748737283507889,-0.04736168980423772,0.01095145366735717,-0.015369824821360512,0.06411217973280214,-0.030879044146171264,-0.31264890829349806,064960
