,name,year,quarter,sector,Relative Return,비유동자산 변화율,자본총계 변화율,총포괄손익 변화율,이익잉여금 변화율,매출액 변화율,비유동부채 변화율,특정 증권 등 소유 수 변화율,유동자산 변화율,국제유가 변화율,Label,Code
7,Kia_Corp,2023,Q1,운송장비·부품,-0.19788245796038514,0.0031796860424185835,0.041514311221162004,0.06842099327053475,0.02628571866586582,-0.07922279582539993,0.050733992509327086,0.06109559261412156,-0.00787650730045475,0.08337411073888668,0.23717992488904066,000270
7,S&T_Heavy_Industries,2023,Q1,운송장비·부품,-0.03378533670420601,0.038498044837478984,-0.004168734999857815,0.06497345835566148,-0.004401325303498682,0.33316217580346996,-0.008189327445802697,0.0,-0.0027705191108207128,0.08337411073888668,-0.17270214612060808,003570
6,SsangYong_Motor,2023,Q1,운송장비·부품,0.0,0.0016482640002553062,0.0649343607803311,0.06493436078033121,0.012014184997124921,-0.049284798183457657,-0.18611697898063118,0.0649343607803311,-0.30763234093047176,0.08337411073888668,0.0,003620
6,Hyundai_Motor,2023,Q1,운송장비·부품,-0.1733678124466347,-0.0008998366856154405,-0.00018950489738145393,0.36840703126813557,0.006913180022832699,0.05440582917801595,0.07654612294300944,0.08006205733829808,-0.05055775538110607,0.08337411073888668,0.09859820957465207,005380
6,SL_Corp,2023,Q1,운송장비·부품,-0.31403358366156875,-0.08930845497520479,-0.023639311422767317,0.0649554813037323,-0.03595635745901826,0.021566427138981048,0.06778199320518796,0.06495548130373241,-0.018151972894461466,0.08337411073888668,0.10054626152270402,005850
6,Motonic,2023,Q1,운송장비·부품,-0.0030718569139358814,-0.007122058672825782,0.006873240618820331,0.06497504438237622,0.007769671918389842,0.04704716869176595,0.03629496391464304,0.06497504438237633,-0.017076731361335362,0.08337411073888668,0.035546261522704015,009680
6,Samsung_Heavy Industries,2023,Q1,운송장비·부품,-0.07064693514475182,0.03133076778457733,-0.05470854981141415,0.03533547928786329,0.03350955127390842,0.012014182316711364,0.26462141825645435,0.07167441094132854,-0.04366018951871253,0.08337411073888668,-0.0916564675221303,010140
6,Hyundai_Mipo_Dockyard,2023,Q1,운송장비·부품,-0.21218132667914336,-0.002475555412759789,0.0017108429721991447,0.06492541355742132,0.0023246181589797743,0.11769900032477743,-0.03091855752012651,0.06492541355742143,0.03612429658401295,0.08337411073888668,-0.265724522325277,010620
6,Hwashin,2023,Q1,운송장비·부품,-0.1744694858167774,-0.03946610989034771,-0.062289475216107615,0.0649720251926843,-0.05098864707142248,0.16874349111210918,0.40279493535554844,0.0,-0.07861528552333952,0.08337411073888668,0.5857565735986877,010690
7,Hyundai_WIA,2023,Q1,운송장비·부품,-0.2193625862797578,0.011809354211563594,-0.00693842400343847,0.06488461238152365,-0.008423945183444692,0.03943766650727509,0.0031821259309411376,0.06488461238152365,0.027367445949235125,0.08337411073888668,0.0050827506745777795,011210
7,Hyundai_Mobis,2023,Q1,운송장비·부품,0.01923247915326713,-0.010576829644487473,-0.0012922204930179149,0.0426448047343706,-0.008575288112225854,-0.006684518029029141,-0.006739768675130708,0.06811637280992067,-0.04408743663732073,0.08337411073888668,-0.02482687280565421,012330
6,Hanwha_Aerospace,2023,Q1,운송장비·부품,0.15690546037683936,-0.022124561181381175,-0.11777101635563336,0.05946454680652635,-0.17737746668068333,0.2650511862285473,0.09438500125565319,0.05410628280220198,-0.181256686593811,0.08337411073888668,0.24110798588586535,012450
6,Sejong_Industrial,2023,Q1,운송장비·부품,0.18218149503597594,-0.0057504769880694084,-0.021488943582592457,0.06497405899741637,-0.017565364919512882,0.07692781619167677,-0.10214575282567662,0.06497405899741626,-0.04761275530350195,0.08337411073888668,0.04649220746864996,033530
6,Daewoo_Shipbuilding_&_Marine_Engineering,2023,Q1,운송장비·부품,-0.04263916291856418,-0.012995981749795549,0.1906236699612459,0.07313587012874256,-0.0439419917001842,-0.002261440687908234,-0.042205750682013043,0.06624923292536844,-0.0011761291878256142,0.08337411073888668,0.1900776318645489,042660
6,Korea_Aerospace_Industries,2023,Q1,운송장비·부품,0.013421141028587512,0.002731159730221533,-0.005719747707690015,0.06488959236559311,-0.00992718385705027,0.3432060756422436,0.014085367964454698,0.9995582321016824,0.03843139580352217,0.08337411073888668,-0.17906538896273289,047810
6,Hyundai_Rotem,2023,Q1,운송장비·부품,0.07746909996550294,0.003572426536965212,-0.013457080656863685,0.06495464628723069,-0.14161631003588382,0.2737094522060528,0.03478940538097841,0.0649546462872308,0.05277689929466822,0.08337411073888668,-0.2020624341294699,064350
7,S&T_Motiv,2023,Q1,운송장비·부품,-0.022828616783431482,0.040032781963343145,-0.023987807164600694,0.06496854391759588,-0.022535943682362225,0.13867007479126503,0.01146589900200834,0.06496854391759599,-0.06575406310794829,0.08337411073888668,0.016060522542583,064960
