,name,year,quarter,sector,Relative Return,비유동자산 변화율,자본총계 변화율,총포괄손익 변화율,이익잉여금 변화율,매출액 변화율,비유동부채 변화율,특정 증권 등 소유 수 변화율,유동자산 변화율,국제유가 변화율,Label,Code
13,Kia_Corp,2021,Q3,운송장비·부품,0.01937099681460592,-0.00542031561485512,-0.006051265195789135,-0.07543910911893392,-0.01037875435331026,0.10157667849251051,-0.02419915513577764,-0.06357636175088488,0.07507985477470569,-0.06736077481840197,-0.0048076715825511734,000270
13,S&T_Heavy_Industries,2021,Q3,운송장비·부품,0.41036661933318475,-0.009512557056823301,0.006378086432968888,-0.06937242482516348,0.0006271633582175529,0.21768458504257404,-0.015472760666086938,0.0,0.02053270707587107,-0.06736077481840197,-0.013184753267830154,003570
12,SsangYong_Motor,2021,Q3,운송장비·부품,0.0,0.020043528861781956,-0.06934200805535262,-0.06934200805535262,-0.05592140518548461,-0.01629161946245339,-0.004543396608551964,-0.06934200805535262,0.10545716663562166,-0.06736077481840197,0.0,003620
12,Hyundai_Motor,2021,Q3,운송장비·부품,0.033768462339890996,-0.00448511118368744,0.005098661725606357,-0.04439828305414717,0.0030283564392237228,0.15080167235262065,0.013870111142487374,-0.08368321838257953,0.09433989858096514,-0.06736077481840197,-0.07552776098040685,005380
12,SL_Corp,2021,Q3,운송장비·부품,0.5272466795854913,-0.028107737735512783,-0.02644055144989821,-0.06936440631437502,-0.04225262422095555,0.07594991250434724,-0.022174256219237964,-0.06936440631437524,0.012655478306388135,-0.06736077481840197,-0.1536565020092372,005850
12,Motonic,2021,Q3,운송장비·부품,-0.11009164580593145,0.009808574377639045,-0.00816856155020762,-0.06937588807291006,-0.009199167975334488,0.12881984741936547,-0.035752392670122646,-0.06937588807291006,-0.0025520924323332306,-0.06736077481840197,-0.02065956150967102,009680
12,Samsung_Heavy Industries,2021,Q3,운송장비·부품,-0.1887691731061234,-0.04517134533879941,-0.044645634875146945,-0.038834003731216704,-0.032822346693940574,0.135929585812667,0.02716471837504264,-0.0765308869189687,0.010043061943040166,-0.06736077481840197,0.06350740242061936,010140
12,Hyundai_Mipo_Dockyard,2021,Q3,운송장비·부품,0.25402816562329705,-0.011357169186265503,-0.020039647106479874,-0.06936378841363355,-0.026832475613334683,0.14379640713938013,-0.8729316747469862,-0.06936378841363378,-0.0990172815797441,-0.06736077481840197,-0.11524504160334785,010620
12,Hwashin,2021,Q3,운송장비·부품,0.996530325494939,-0.03917146152349571,-0.05128650452043271,-0.06937457650277645,-0.03848637598980198,0.10618076155929046,0.006729522619451922,0.0,0.03412574063799445,-0.06736077481840197,-0.056390741674421055,010690
13,Hyundai_WIA,2021,Q3,운송장비·부품,0.25222791124370275,-0.012242571853609219,-0.008339624242459598,-0.06919521113303828,-0.01029841446569102,0.10954194998926103,0.028087419714724393,-0.06919521113303806,0.014377231542149427,-0.06736077481840197,-0.13002258247044096,011210
13,Hyundai_Mobis,2021,Q3,운송장비·부품,-0.06256882963904747,-0.018455104524653043,-0.0011010219445446445,-0.0449315731655231,-0.007864073761059798,0.0360861012580429,-0.2794211805842328,-0.07335571569382071,0.0687983749509361,-0.06736077481840197,-0.043189964150680035,012330
12,Hanwha_Aerospace,2021,Q3,운송장비·부품,0.09676514225698299,-0.0032411781267029927,-0.022012632179458036,-0.068019275809869,-0.031639964087302186,0.26467954429717244,0.0828921243474171,-0.06669812980352963,-0.006850567188391388,-0.06736077481840197,0.15628696551065285,012450
12,Sejong_Industrial,2021,Q3,운송장비·부품,0.035319960131990284,-0.01619127870388537,-0.0036893027697257885,-0.0693740672850609,-0.00935585532917571,0.184775319493097,0.059670567748942305,-0.06937406728506113,0.08611471897229295,-0.06736077481840197,0.3207768477975738,033530
12,Daewoo_Shipbuilding_&_Marine_Engineering,2021,Q3,운송장비·부품,0.21488360407070106,-0.006067369850182303,0.018549690344634162,-0.07220133292996955,-0.0737747144747467,0.10810591531802893,-0.12103364355502677,-0.0698894342672165,-0.07181836232921013,-0.06736077481840197,-0.162687268097769,042660
12,Korea_Aerospace_Industries,2021,Q3,운송장비·부품,-0.16080042212446385,0.010642202890125407,-0.007764529300771539,-0.06907012748118113,-0.014798318882101036,0.37247812860077933,-0.002765004863497067,-0.06907012748118135,0.07202982957987492,-0.06736077481840197,0.0950721274661148,047810
12,Hyundai_Rotem,2021,Q3,운송장비·부품,0.1363261520824547,-0.008453542503785716,-0.0028752819385573503,-0.06934274941355101,0.028735023670310778,0.006792519024298005,0.041094310026856484,-0.06934274941355123,-0.049658133509207,-0.06736077481840197,0.07973765126846208,064350
13,S&T_Motiv,2021,Q3,운송장비·부품,0.0909296111776228,-0.023541383603892463,-0.02750222180658901,-0.06936835556652832,-0.021053876685405815,0.0934535501138325,-0.039096255431413374,-0.06936835556652832,0.06432781568311452,-0.06736077481840197,-0.19660109496832223,064960
