,name,year,quarter,sector,Relative Return,당기순이익 변화율,금리 변화율,국제유가 변화율,소비자물가지수 변화율,Label,Code
11,경방,2022,Q1,경기소비재,0.11273574077530271,-0.3237428870330856,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.10140683498790896,000050
11,한국타이어월드와이드,2022,Q1,경기소비재,0.0625080874675382,3.4157939065646845,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.0035586961447989784,000240
11,기아차,2022,Q1,경기소비재,0.2489395792675664,-0.48756748380274795,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.0027198849947387763,000270
11,SK네트웍스,2022,Q1,경기소비재,0.09862704115316222,-1.78905125650393,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.03126594599346697,001740
11,넥센타이어,2022,Q1,경기소비재,0.10555340955375839,-0.10851693830880182,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.08251115125909117,002350
11,일신방직,2022,Q1,경기소비재,0.10034451327086681,0.07553571158067651,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.06725522865893907,003200
11,쌍용차,2022,Q1,경기소비재,0.0,1.07873778307159,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.0,003620
11,한솔홀딩스,2022,Q1,경기소비재,0.09200862643828282,0.8356734325049806,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.058030002884545545,004150
11,신세계,2022,Q1,경기소비재,0.028396106334845624,-60.24385271973713,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.07825099103704836,004170
11,세방전지,2022,Q1,경기소비재,0.14686404731615066,0.20142248480337077,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.15669368268932943,004490
11,조광피혁,2022,Q1,경기소비재,-0.01145081172123865,-0.02835215557950832,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.008356960074220314,004700
11,현대차,2022,Q1,경기소비재,0.15673450009563625,-1.8127159799415744,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.08994147663214008,005380
11,에스엘,2022,Q1,경기소비재,0.2212145441058224,8.452469409097874,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.16443939250936632,005850
11,동아타이어,2022,Q1,경기소비재,0.18558112972490634,-0.775146030736199,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.1554113790056599,007340
11,서연,2022,Q1,경기소비재,-0.04566495666202719,13.123383354502243,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.057714342080916504,007860
11,호텔신라,2022,Q1,경기소비재,-0.04484293689538075,0.03864214616661599,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.01096465727699817,008770
11,한샘,2022,Q1,경기소비재,-0.20863710411363448,-3.747699160728948,0.14767324592997877,0.2602194672474454,0.09364288108448604,-0.13313077925435385,009240
11,모토닉,2022,Q1,경기소비재,0.02718015906841602,-0.45242854268676,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.025350972473933878,009680
11,화신,2022,Q1,경기소비재,0.48293034903419824,1.4570864002062143,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.14340126664808933,010690
11,현대위아,2022,Q1,경기소비재,0.11832228239094274,12.106763555058691,0.14767324592997877,0.2602194672474454,0.09364288108448604,0.12994459503901776,011210
