,name,year,quarter,sector,Relative Return,Relative Return,이익잉여금 변화율,매출액 변화율,비유동자산 변화율,유동자산 변화율,비유동부채 변화율,Label,Code
14,경방,2021,Q2,경기소비재,-0.0030792581925372384,-0.0030792581925372384,0.005165816576468973,0.1724515818260095,-0.00437709399326347,0.04803341267092942,-0.013420883212363122,0.055764862783849796,000050
14,한국타이어월드와이드,2021,Q2,경기소비재,-0.028322307323184102,-0.028322307323184102,0.01365927498211561,3.6077069147318204,0.0983273920460217,1.5450068160906736,0.3160273536287348,0.005208661600547844,000240
14,기아차,2021,Q2,경기소비재,0.038044196543319767,0.038044196543319767,0.025453805493329984,0.04989490753715442,0.005988456299629741,-0.017154306731453017,0.05582356764876484,0.08404218604545559,000270
14,SK네트웍스,2021,Q2,경기소비재,0.019324883941028437,0.019324883941028437,0.03136848059228403,-0.12141065914477978,0.0018447609236631468,0.1156984830383958,0.16587694670633923,-0.03586496129618271,001740
14,넥센타이어,2021,Q2,경기소비재,0.03343430643342965,0.03343430643342965,0.006698350188741431,0.006740817069594618,0.0019295397867982178,0.0681510195924746,-0.013822611783833039,-0.10770415459250027,002350
14,일신방직,2021,Q2,경기소비재,-0.06433527882002657,-0.06433527882002657,0.02571060664298619,0.02730741923580693,0.034688603910427274,0.05864336259130476,-0.023805691442498778,0.18270176936303414,003200
14,쌍용차,2021,Q2,경기소비재,0.0,0.0,0.09443199739943253,0.1441187706963729,0.005733830837030718,-0.023083099325248324,0.007008319924652673,0.0,003620
14,한솔홀딩스,2021,Q2,경기소비재,-0.059824351297405196,-0.059824351297405196,0.0048166312331625605,0.00865796229129323,-0.0013630311455981037,-0.039443751401824545,-0.0027429436822919984,-0.08320629915253168,004150
14,신세계,2021,Q2,경기소비재,-0.11018781338223854,-0.11018781338223854,0.00760064980188635,0.0003613990590314309,0.003388012697276732,-0.1488039297136785,-0.1491550947070105,-0.05106008707378832,004170
14,세방전지,2021,Q2,경기소비재,0.046614430657032135,0.046614430657032135,0.020328013587848748,0.05261318801503423,0.044166321363251715,-0.0019496006704580182,-0.01928934027075435,-0.004172566853464656,004490
14,조광피혁,2021,Q2,경기소비재,0.012184241380085909,0.012184241380085909,0.014615521265676223,0.007626417508288519,0.10053730196159116,-0.06026137822037847,0.246378687582389,0.10060326578653808,004700
14,현대차,2021,Q2,경기소비재,-0.050649437408934884,-0.050649437408934884,0.020629832414687188,0.08593287711250297,0.024268706240598847,-0.010924375434077316,-0.03972552571047405,0.023420243348041193,005380
14,에스엘,2021,Q2,경기소비재,0.11887464886253613,0.11887464886253613,0.060108960307487136,0.00455817810393877,0.06594428051774126,-0.043076440527693105,-0.001987414540654542,0.13478160470940256,005850
14,동아타이어,2021,Q2,경기소비재,0.2006009092675928,0.2006009092675928,-0.010730631033680438,0.07015423555068478,0.044189378539550184,-0.030633486189302395,0.36721704357840945,0.6121814183161127,007340
14,서연,2021,Q2,경기소비재,-0.32346324762541473,-0.32346324762541473,-0.0077231787982284805,-0.4289447800899917,-0.0014925147475245426,-0.06797925857963083,0.2713547726526595,0.04926325053433196,007860
14,호텔신라,2021,Q2,경기소비재,-0.02032902894363963,-0.02032902894363963,0.07424496157652971,0.36006325383720794,-0.018197350668748724,-0.04533960165296347,-0.29406892823400865,-0.036209386281588436,008770
14,한샘,2021,Q2,경기소비재,0.09419441425014125,0.09419441425014125,0.030649356618689838,-0.01883399947099329,0.03680651253492706,-0.15080374719652,-0.00453340892300913,-0.18932437900356808,009240
14,모토닉,2021,Q2,경기소비재,-0.1486926776935545,-0.1486926776935545,0.011640925546448022,0.12168735267258524,0.1044471292634821,-0.0011316182259573093,0.0999486522915094,0.06045728038507823,009680
14,화신,2021,Q2,경기소비재,0.6293903503894737,0.6293903503894737,-0.02529909724148549,-0.15737457684808287,-0.06914899066108693,0.04625997846754237,-0.21763430718049337,0.07977058510610827,010690
14,현대위아,2021,Q2,경기소비재,0.12376183256583384,0.12376183256583384,0.01633669865613352,0.0701023117228734,-0.011485126781656807,-0.020369401946778942,-0.05975361311506844,-0.07250975258195475,011210
14,현대모비스,2021,Q2,경기소비재,-0.020166926865645377,-0.020166926865645377,0.018698574319701455,0.06670647745952074,0.03438211657037238,-0.0215446564737386,0.09602201180356085,-0.034514786654027914,012330
14,에스원,2021,Q2,경기소비재,0.03653389520510854,0.03653389520510854,0.033729547369015345,0.03680945827530957,-0.0017004198223532496,-0.011904929377953177,0.06801323645915303,0.07147319225778324,012750
14,한온시스템,2021,Q2,경기소비재,0.010919315251771804,0.010919315251771804,0.008117638286396112,0.0630682722227367,0.000145137038888965,-0.11569547656490264,-0.11281080059916948,-0.07225876899763783,018880
14,대교,2021,Q2,경기소비재,0.017361656575117932,0.017361656575117932,0.004979417936922248,0.02282461298865801,-0.006868561955674868,0.015032423716120125,-0.12003366540102778,-0.01724182697405721,019680
14,한섬,2021,Q2,경기소비재,-0.16460278005225498,-0.16460278005225498,0.018714943102766002,-0.06333201635923336,0.015914119207709687,0.003553357814148894,-0.037211684581089144,0.07942061793248657,020000
14,코웨이,2021,Q2,경기소비재,-0.029251262450612513,-0.029251262450612513,0.06945648193836229,0.053487456687530965,0.05746941971928532,-0.11459342759988145,0.0255664270542586,0.09866544902802948,021240
14,롯데쇼핑,2021,Q2,경기소비재,-0.05314554609796073,-0.05314554609796073,0.0005510216285584679,-0.026869897959127198,-0.03688346976960377,0.009941383408104354,-0.01265061121315536,0.014207070441088224,023530
