,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,금리 변화율,국제유가 변화율,실업률 변화율,수출액 변화율,환율 변화율,Label,Code
23,경방,2019,Q1,경기소비재,0.11455147885393055,0.04072481016869256,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.040084517690679194,000050
23,한국타이어월드와이드,2019,Q1,경기소비재,0.08965665710338488,1.80959373287277,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.06653944086627385,000240
23,기아차,2019,Q1,경기소비재,0.22830130454072456,22.061216651401896,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.10098884400028099,000270
23,SK네트웍스,2019,Q1,경기소비재,-0.09688784689682635,-1.4083095149331013,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.035223477066856856,001740
23,넥센타이어,2019,Q1,경기소비재,0.0004960052998084635,-0.021840691919447153,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.05602256155802762,002350
23,일신방직,2019,Q1,경기소비재,0.03029305301134629,-1.0546695826218084,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.08912750190341145,003200
23,쌍용차,2019,Q1,경기소비재,-0.07444480172650844,9.658173848664982,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.26669851343738016,003620
23,한솔홀딩스,2019,Q1,경기소비재,0.03098410010931751,-1.0889444991144095,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.006378103177246568,004150
23,신세계,2019,Q1,경기소비재,0.01117437377182113,9.175943828083321,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.2235193800760003,004170
23,세방전지,2019,Q1,경기소비재,0.008287281005574285,-0.21315774485542927,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.09002628430762613,004490
23,조광피혁,2019,Q1,경기소비재,0.08499873047564444,-0.15686084486229102,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.01646950861070466,004700
23,현대차,2019,Q1,경기소비재,0.102010224728518,0.3014374200773806,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.06984532580635265,005380
23,에스엘,2019,Q1,경기소비재,0.07427327785973833,3.5502132461287665,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.09847443145705176,005850
23,동아타이어,2019,Q1,경기소비재,0.019260594952952174,-0.9271149006960897,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.029564575429748968,007340
23,서연,2019,Q1,경기소비재,0.05081974853804182,-7.795379040967015,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.17707653956377678,007860
23,호텔신라,2019,Q1,경기소비재,0.14586987385132502,-0.09857737875713368,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.1919193800760003,008770
23,한샘,2019,Q1,경기소비재,-0.0230980003797071,0.01463792002484765,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.19278244106564357,009240
23,모토닉,2019,Q1,경기소비재,-0.01343692974302671,0.6386070127079031,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.16976748134182307,009680
