,name,year,quarter,sector,Relative Return,당기순이익 변화율,금리 변화율,국제유가 변화율,실업률 변화율,소비자물가지수 변화율,Label,Code
20,경방,2019,Q4,경기소비재,-0.10188173438043172,-0.9220166534201832,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.31535207533686044,000050
20,한국타이어월드와이드,2019,Q4,경기소비재,-0.20232934492999802,0.09433234164995374,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.005318434420071766,000240
20,기아차,2019,Q4,경기소비재,-0.23837488290227263,-0.7614944716883434,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.04714539112427546,000270
20,SK네트웍스,2019,Q4,경기소비재,-0.052208096620772165,-15.497814473045167,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.04572624028690972,001740
20,넥센타이어,2019,Q4,경기소비재,-0.3556524336737552,-0.5469900630324891,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.16311424658048296,002350
20,일신방직,2019,Q4,경기소비재,-0.2212099224369856,-22.150302415691257,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.17455914969201036,003200
20,쌍용차,2019,Q4,경기소비재,-0.24965893605324915,0.42871518804120057,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.039222592443264995,003620
20,한솔홀딩스,2019,Q4,경기소비재,-0.20363961817776619,-1.4523986259927977,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.13284518828451886,004150
20,신세계,2019,Q4,경기소비재,0.011487325837382184,-1.6644284393078315,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.012746459047267691,004170
20,세방전지,2019,Q4,경기소비재,-0.20356217084195452,-0.7210952429671662,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.04816776892968014,004490
20,조광피혁,2019,Q4,경기소비재,0.17964923513240655,-0.44962463439875877,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.06832013439328294,004700
20,현대차,2019,Q4,경기소비재,-0.13813664420007102,-0.05393246522507178,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.0024205121985729355,005380
20,에스엘,2019,Q4,경기소비재,-0.2759377125916084,3.3375019630878393,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.10443128552890452,005850
20,동아타이어,2019,Q4,경기소비재,0.02806646941370841,-0.20940057411208823,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.17317180997702258,007340
20,서연,2019,Q4,경기소비재,-0.13214314346151854,-0.7692349759483949,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.41327997089321455,007860
20,호텔신라,2019,Q4,경기소비재,0.038472413327468785,-0.02442604232588319,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.06586129370179558,008770
20,한샘,2019,Q4,경기소비재,0.010532636845680649,-0.11394475554860162,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.631371710877839,009240
20,모토닉,2019,Q4,경기소비재,-0.09938381401139176,-0.8958764499499997,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.10117852161785218,009680
20,화신,2019,Q4,경기소비재,-0.3629334821447351,-1.5025397425033438,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.058283784775746916,010690
20,현대위아,2019,Q4,경기소비재,-0.354429581003045,0.5867043847241866,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.22093072799938646,011210
20,현대모비스,2019,Q4,경기소비재,-0.13118469348138515,-0.18637556325631344,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.08361822634962748,012330
20,에스원,2019,Q4,경기소비재,0.02023962698636969,-0.04301372694649541,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.02374294389549142,012750
20,한온시스템,2019,Q4,경기소비재,-0.05565243367375522,8.637778369011041,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.06936926392993337,018880
20,대교,2019,Q4,경기소비재,-0.22981818513105015,-0.6096232284120093,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.002099846669612021,019680
20,한섬,2019,Q4,경기소비재,-0.25682909132998033,0.38070160219161675,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.5253183065640887,020000
20,코웨이,2019,Q4,경기소비재,-0.17509935606447777,-1.0018054724989462,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.02576641101249344,021240
20,롯데쇼핑,2019,Q4,경기소비재,-0.2864795013429281,-140.13577369785867,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.17270026074828698,023530
20,삼성물산,2019,Q4,경기소비재,0.05977226669101811,-0.06411502256478108,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.012432344247821608,028260
20,세종공업,2019,Q4,경기소비재,-0.2350383985860359,-0.685421316217273,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.5462881283232036,033530
20,강원랜드,2019,Q4,경기소비재,-0.18464211043801312,-0.580114844378244,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,0.06394755048924328,035250
20,한라홀딩스,2019,Q4,경기소비재,-0.20022866297941375,-1.0656925102436108,0.191387559808615,0.023897949297593923,-0.05357142857142849,5.380260221408914,-0.05844269050335993,060980
