,name,year,quarter,sector,Relative Return,금리 변화율,자본금 변화율,1인평균급여 변화율,보유 주식 수 변화율,실업률 변화율,기초 소유주식 지분율 변화율,Label,Code
25,경방,2018,Q3,경기소비재,-0.07696262658426821,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,-0.1629344263704438,000050
25,한국타이어월드와이드,2018,Q3,경기소비재,-0.07805195120300458,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,-0.0506737404824085,000240
25,기아차,2018,Q3,경기소비재,-0.05644701293139966,-0.09246405552800974,0.03094632319151458,0.0,0.0,0.11607142857142883,0.0,0.22795072871432775,000270
25,SK네트웍스,2018,Q3,경기소비재,0.04268391624338917,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.3400931170081977,001740
25,넥센타이어,2018,Q3,경기소비재,-0.1906514666062583,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.241326723931849,002350
25,일신방직,2018,Q3,경기소비재,-0.028969223615604098,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.005589660608578798,003200
25,쌍용차,2018,Q3,경기소비재,-0.13209170413249477,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.32012017264805376,003620
25,한솔홀딩스,2018,Q3,경기소비재,-0.06954693726742432,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.02052034384400168,004150
25,신세계,2018,Q3,경기소비재,-0.0825883668132457,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.3031447869038626,004170
25,세방전지,2018,Q3,경기소비재,0.23809619694514356,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.24015805408108187,004490
25,조광피혁,2018,Q3,경기소비재,0.1737458319816399,-0.09246405552800974,0.0,0.04862239848845218,0.0,0.11607142857142883,0.0,-0.07997202840138608,004700
25,현대차,2018,Q3,경기소비재,-0.10661063036409339,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.12899400140422393,005380
25,에스엘,2018,Q3,경기소비재,-0.2039884322599862,-0.09246405552800974,0.0,0.04861708930157427,0.0,0.11607142857142883,0.0,0.4509960743545008,005850
25,동아타이어,2018,Q3,경기소비재,0.033619773938938835,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.02874454282913656,007340
25,서연,2018,Q3,경기소비재,-0.15259287868510857,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.11284548963860136,007860
25,호텔신라,2018,Q3,경기소비재,-0.18628786842768585,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.2776833179481378,008770
25,한샘,2018,Q3,경기소비재,-0.4153892885403419,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.7603968473223803,009240
25,모토닉,2018,Q3,경기소비재,-0.039345863140693355,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.4428512313652952,009680
25,화신,2018,Q3,경기소비재,-0.2764227903966286,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.16558823118302113,010690
25,현대위아,2018,Q3,경기소비재,-0.21530446167176093,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.21673591776710588,011210
25,현대모비스,2018,Q3,경기소비재,-0.12428825229891692,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.08640462942354761,012330
25,에스원,2018,Q3,경기소비재,0.1522721228710695,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.04812257814149633,012750
25,한온시스템,2018,Q3,경기소비재,-0.029903803054856445,-0.09246405552800974,0.0,0.0,0.048615471801298105,0.11607142857142883,0.0,0.021458358135049007,018880
25,대교,2018,Q3,경기소비재,-0.03671288182655204,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,-0.10171477356152701,019680
25,한섬,2018,Q3,경기소비재,0.10624077525839656,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.12556742012122202,020000
25,코웨이,2018,Q3,경기소비재,-0.21304272140056163,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.3848523906175775,021240
25,롯데쇼핑,2018,Q3,경기소비재,0.2253593548398804,-0.09246405552800974,0.005928017971095878,0.0,0.0,0.11607142857142883,0.0,-0.21466142980196493,023530
25,삼성물산,2018,Q3,경기소비재,-0.0750650933774371,-0.09246405552800974,0.0,0.0,0.03097822726559185,0.11607142857142883,0.0,-0.011377361097779403,028260
25,세종공업,2018,Q3,경기소비재,-0.20355736928484186,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.22959789301876993,033530
25,강원랜드,2018,Q3,경기소비재,0.08886752800316404,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.041071296090214274,035250
25,한라홀딩스,2018,Q3,경기소비재,-0.028558511575035805,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,-0.019414900860753995,060980
25,S&T모티브,2018,Q3,경기소비재,-0.1601389542472001,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.3239516344518176,064960
25,현대백화점,2018,Q3,경기소비재,-0.042159209851972815,-0.09246405552800974,0.0,0.0,0.0,0.11607142857142883,0.0,0.1433861109050291,069960
