,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,부채총계 변화율,비유동자산 변화율,유동자산 변화율,법인세차감전 순이익 변화율,Label,Code
28,SK하이닉스,2017,Q4,정보기술,0.03934534420141787,-0.02592907058060845,0.18255141565316335,0.04352044640071373,0.28917963290276427,0.08025595777748995,0.038442663684447834,000660
28,LG,2017,Q4,정보기술,0.07277934922619968,-0.9381423035884764,0.05706351608290161,0.03456710237460592,-0.23871381630748512,-0.9140778501020237,-0.07444355270467415,003550
28,한솔테크닉스,2017,Q4,정보기술,-0.2565304325228945,-1.73626433427581,-0.028899818562411417,-0.011305150489280491,-0.050275213316232414,-1.721749605951934,0.010298365668419143,004710
28,삼성전자,2017,Q4,정보기술,-0.06716811652335422,0.2865486105530466,0.048184531706842115,0.04112108219745059,0.06647469109827342,0.22175351305179491,0.015604005577386153,005930
28,삼성SDI,2017,Q4,정보기술,-0.041095324840439824,0.06396230282327009,0.006271176176322779,0.02004533363017935,-0.006090826285304218,0.5659641607951402,0.023440581259759306,006400
28,대덕전자,2017,Q4,정보기술,-0.14864362705953385,0.03340761460157471,-0.0008473231513215218,0.06390206307257107,0.04066698352198728,-0.008668834467070563,0.021896118622128993,008060
28,삼성전기,2017,Q4,정보기술,0.1190642197034259,-68.61158470881345,-0.03971439661972964,-0.03002383908436712,-0.15065041770089838,-43.07415885244835,0.17798914920829823,009150
28,LG이노텍,2017,Q4,정보기술,-0.15998696957380687,1.4327838593028237,0.19911132933775044,0.13706816748830786,0.16826789769142447,1.8244903543997837,0.044742327572851,011070
28,삼성에스디에스,2017,Q4,정보기술,0.3633987004836898,0.08122954542441208,-0.018923392320884802,-0.009762719585531099,0.046900761034644134,0.03992939662236061,-0.14997843629684904,018260
28,일진머티리얼즈,2017,Q4,정보기술,0.03964166923822829,-1.1291195448553388,0.033112724624643874,-0.0512293987917517,0.014553456022650346,-0.9258055593970406,-0.08392733455899663,020150
28,신도리코,2017,Q4,정보기술,0.1118675755158587,-0.1382119370494943,-0.13664218717444299,-0.00978361150783369,0.0020459321710286638,-0.5005725421364653,-0.09892080504600474,029530
28,LG디스플레이,2017,Q4,정보기술,-0.06413068386881884,0.7999971564755937,0.006813899478550489,0.08258375805945462,-0.07831523979813071,0.4054743473782425,-0.11238137805149839,034220
28,SK,2017,Q4,정보기술,0.11697012905511839,-2.1341743252845045,0.02430328905908774,0.005158093798668162,-0.014964205223385929,-2.210794019873204,0.025578234176675697,034730
28,한미반도체,2017,Q4,정보기술,0.18465200066861137,-2.013753355840864,-0.12405252124812216,0.15077872155396443,-0.04487657498152575,-1.8777773408583283,-0.07792508441272449,042700
28,LG전자,2017,Q4,정보기술,0.24361105569604505,-0.9586142043126885,0.007899167872017498,0.03157425534783842,-0.0377123634291876,-2.331026500446095,-0.12048133765081422,066570
