,name,sector,year,quarter,자산총계변화율,자본총계변화율,비유동자산변화율,전체 주주 수변화율,전체 주식 수변화율,Relative Return,특정 증권 등 소유 수변화율,기초 소유 주식 수변화율,증자주식수변화율,주식액면가액변화율,Label,Code
6,Samsung_SDS,IT 서비스,2023,Q2,0.02196574308664878,-0.012296775510095115,-0.017833675515664504,0.011601297312999637,0.01230987518250748,-0.16396986750955406,-0.002132226870012799,0.012855773734219533,0.00783870464787595,0.007838704647875838,0.0038282304441627293,018260
5,NAVER_Corp,IT 서비스,2023,Q2,-0.002962388834343299,-0.04472883182091225,-0.022654218986259078,-0.009353214670921428,-0.03721462741459236,0.025894450937745783,0.2099491125919476,-0.06821515518355326,-0.1595925996812786,0.20904153055025376,-0.14742198724499606,035420
5,NCSOFT,IT 서비스,2023,Q2,0.021924540446218388,0.015545057197712153,-0.06423443588977995,0.0003319245734307863,0.0035380892313136014,-0.2711371275519894,-0.04017004800824786,-0.022804420112748636,0.046029869158734305,0.021858567187975186,-0.2579851295838393,036570
