,name,year,quarter,sector,Relative Return,이익잉여금 변화율,실업률 변화율,금리 변화율,자본총계 변화율,수출액 변화율,유동자산 변화율,Label,Code
4,현대중공업,2023,Q4,중공업,0.1893023454522152,-0.0005822213671847765,0.0625,0.00757180156657955,-3.3020788475779383e-05,0.05902989272759007,-0.013459895959256896,0.05059624570439717,009540
4,삼성중공업,2023,Q4,중공업,0.01823121812080361,0.1542631719374834,0.0625,0.00757180156657955,-0.1296801935914491,0.05902989272759007,-0.1350911165259956,0.22581038653978008,010140
4,현대미포조선,2023,Q4,중공업,-0.22658134178314868,-0.09112874669814175,0.0625,0.00757180156657955,-0.06387978129242566,0.05902989272759007,0.023562143033865723,0.14666691807358895,010620
4,한화테크윈,2023,Q4,중공업,0.3273648132583421,0.0690232880817383,0.0625,0.00757180156657955,0.075340173226494,0.05902989272759007,-0.041979681536767566,0.18928594800086354,012450
4,현대엘리베이,2023,Q4,중공업,-0.25861080503405154,-0.07821496320377797,0.0625,0.00757180156657955,-0.03478243862803099,0.05902989272759007,0.03096464982106406,-0.033651021674842255,017800
4,두산중공업,2023,Q4,중공업,0.195240635048068,-1.116004683184395,0.0625,0.00757180156657955,-0.04782264234855327,0.05902989272759007,0.004315781248975581,-0.0549987010172387,034020
4,대우조선해양,2023,Q4,중공업,-0.04602264782318254,-0.043762653659967676,0.0625,0.00757180156657955,0.6660286507888418,0.05902989272759007,0.061114186308223406,0.2647486592585876,042660
4,두산인프라코어,2023,Q4,중공업,0.022850825190454768,-0.027087669899817035,0.0625,0.00757180156657955,-0.006637566059416566,0.05902989272759007,-0.12358752341888202,-0.017807118927036666,042670
4,현대로템,2023,Q4,중공업,0.1508473545029226,0.13888891680439874,0.0625,0.00757180156657955,0.022684946525847627,0.05902989272759007,0.06730802998685093,0.18465177661154913,064350
4,두산엔진,2023,Q4,중공업,0.12567307683304893,0.05151163206182274,0.0625,0.00757180156657955,-0.006471762712566109,0.05902989272759007,0.07299072222616942,0.331288989569661,082740
4,한진중공업,2023,Q4,중공업,-0.20660987752872714,0.010088761829574855,0.0625,0.00757180156657955,0.23524814663391092,0.05902989272759007,0.003958600029456694,-0.007389877513063867,097230
