0,2023,Q2,NaN,638414.5714285715,12181.142857142857,0.2690476190476191,0.01142857142857143
1,2016,Q1,NaN,NaN,NaN,NaN,NaN
2,2016,Q2,NaN,NaN,NaN,NaN,NaN
3,2016,Q3,NaN,NaN,NaN,NaN,NaN
4,2023,Q3,NaN,7261488.25,148346.25,3.0775,0.0625
5,2017,Q1,NaN,NaN,NaN,NaN,NaN
6,2017,Q2,NaN,NaN,NaN,NaN,NaN
7,2017,Q3,NaN,NaN,NaN,NaN,NaN
8,2023,Q4,NaN,7448510.6,25331.2,3.156,0.01
9,2018,Q1,NaN,NaN,NaN,NaN,NaN
10,2018,Q2,NaN,NaN,NaN,NaN,NaN
11,2018,Q3,NaN,NaN,NaN,NaN,NaN
12,2024,Q1,NaN,19044.0,8694.0,0.01,0.005
13,2019,Q1,NaN,NaN,NaN,NaN,NaN
14,2019,Q2,NaN,NaN,NaN,NaN,NaN
15,2019,Q3,NaN,NaN,NaN,NaN,NaN
16,2024,Q2,NaN,183681.5,-1692535.0,0.085,-0.7075
17,2020,Q1,NaN,NaN,NaN,NaN,NaN
18,2020,Q2,NaN,NaN,NaN,NaN,NaN
19,2020,Q3,NaN,NaN,NaN,NaN,NaN
20,2020,Q4,NaN,NaN,NaN,NaN,NaN
21,2021,Q1,NaN,NaN,NaN,NaN,NaN
22,2021,Q2,NaN,NaN,NaN,NaN,NaN
23,2021,Q3,NaN,NaN,NaN,NaN,NaN
24,2021,Q4,NaN,NaN,NaN,NaN,NaN
25,2022,Q1,NaN,NaN,NaN,NaN,NaN
26,2022,Q2,NaN,NaN,NaN,NaN,NaN
27,2022,Q3,NaN,NaN,NaN,NaN,NaN
28,2022,Q4,NaN,NaN,NaN,NaN,NaN
29,2023,Q1,NaN,NaN,NaN,NaN,NaN
30,2023,Q2,NaN,NaN,NaN,NaN,NaN
31,2023,Q3,NaN,NaN,NaN,NaN,NaN
32,2023,Q4,NaN,NaN,NaN,NaN,NaN
33,2024,Q1,NaN,638414.5714285715,12181.142857142857,0.2690476190476191,0.01142857142857143
34,2024,Q1,NaN,7261488.25,148346.25,3.0775,0.0625
35,2024,Q1,NaN,7448510.6,25331.2,3.156,0.01
36,2024,Q2,NaN,638414.5714285715,12181.142857142857,0.2690476190476191,0.01142857142857143
37,2024,Q2,NaN,7261488.25,148346.25,3.0775,0.0625
38,2024,Q2,NaN,7448510.6,25331.2,3.156,0.01
39,2024,Q3,NaN,638414.5714285715,12181.142857142857,0.2690476190476191,0.01142857142857143
40,2024,Q3,NaN,7261488.25,148346.25,3.0775,0.0625
41,2024,Q3,NaN,7448510.6,25331.2,3.156,0.01
