,Code
0,000050
0,000120
0,000150
0,000210
0,000240
1,000270
0,000640
0,000660
0,000880
0,001040
0,001120
0,001230
0,001740
0,001800
0,002350
0,002380
0,002790
0,002960
0,003030
0,003240
0,003490
0,003550
1,003570
0,003620
0,004000
0,004150
0,004170
0,004490
1,004710
0,004800
0,005090
0,005380
0,005440
0,005740
0,005850
1,005930
0,006120
0,006260
1,006400
1,006650
0,007070
0,007340
1,007690
0,007860
0,008060
0,008490
0,008770
1,009150
0,009240
0,009540
0,009580
0,009680
0,009830
0,010060
0,010120
0,010140
0,010620
0,010690
0,010950
0,011070
0,011170
0,011200
1,011210
0,011780
0,011790
1,012330
0,012450
0,012630
1,014680
0,014820
0,014830
0,015760
0,017670
0,020150
0,023530
0,025540
0,025860
1,028260
1,029530
0,030200
0,032640
0,033530
0,034220
0,034730
0,036460
0,042660
0,047050
0,047810
0,051900
0,051910
0,060980
0,064350
1,064960
0,066570
0,069260
0,069960
0,073240
0,078520
0,078930
0,079980
0,086280
0,090430
0,093370
0,096770
0,108670
0,111770
0,115390
0,120110
0,139480
0,161390
0,161890
0,192820
