,name,sector,year,quarter,Relative Return,자본총계변화율,매출액변화율,이익잉여금변화율,비유동부채변화율,유동부채변화율,Label,Code
17,Kyungbang,Materials_&_Chemicals,2020,Q2,0.03337209649874409,-0.01662466319102096,-0.30734160826130696,-0.01785872188126625,-0.007077124870782825,-0.16186899089814322,0.359479460513127,000050
18,Chosun_Refractories,Materials_&_Chemicals,2020,Q2,-0.008360758983627092,-0.08293577933984997,0.11596517020427222,-0.08730150199418363,-0.1217198190016,-0.09583778107663954,-0.17296592598944555,000480
17,S_hynix,Technology,2020,Q2,0.06271836086656019,-0.026243493168132126,-0.18579422862190587,-0.029463561197450305,0.012681546862921556,-0.15139809802940163,-0.15924965846836467,000660
17,Youngpoong,Materials_&_Chemicals,2020,Q2,-0.06545464205196391,0.0029352865542522366,0.06651319941108569,0.002913262504945502,0.01591643676561172,0.16475681615026116,-0.1947066441078469,000670
17,Dongkuk_Steel,Materials_&_Chemicals,2020,Q2,-0.18596123113872556,-0.0239308488413148,-0.04458364543033588,-0.09970404776646213,0.028397157790764793,0.07531036980202777,0.27662220495357087,001230
17,SeAH_Besteel,Materials_&_Chemicals,2020,Q2,-0.3131866937782486,-0.013594106115926152,0.3241123398863429,-0.02000780717357542,0.1584984989191589,0.0014050753301011465,0.15934972454983742,001430
17,KIS_Wire,Materials_&_Chemicals,2020,Q2,-0.13665685840283417,-0.0042155778556791645,0.06041042131240992,-0.002999073757935289,-0.030254579173645935,0.14927672708525497,-0.06580744707980804,002240
17,KCC,Materials_&_Chemicals,2020,Q2,0.0,-0.09739937120165276,-0.043070475434028754,-0.08629146345083982,-0.03192759653473343,-0.09204334792312063,-0.16876343533902338,002380
17,Korea_Shell_Petroleum,Energy_&_Utilities,2020,Q2,-0.04922960380317867,-0.06764792869590397,0.08527844184041034,-0.07444248528742903,-0.48196458308987045,0.4015095748424513,-0.23321249978808783,002960
17,SeAH_Steel,Materials_&_Chemicals,2020,Q2,-0.29233174461867184,-0.005688511569875931,0.8418025233297858,-0.006129302551701521,0.47624108476195903,0.2407321516747457,0.19104081335411421,003030
17,Ilshin_Spinning,Materials_&_Chemicals,2020,Q2,-0.16432144878989294,0.0030440972174696768,0.2186400544241942,0.0031543756665440847,0.021679883787003806,0.07730428422206848,0.11507910285134088,003200
17,Hanil_Cement,Materials_&_Chemicals,2020,Q2,-0.031148671811592366,-0.000867763210285144,-0.0,-3.4541195979675976e-05,-0.394927284953978,0.7580184764142386,0.18055018114283383,003300
17,Ssangyong_Cement,Materials_&_Chemicals,2020,Q2,-0.005216583020350357,0.01231648420914866,-0.23622397456436484,0.02626232797219885,-0.059439528685437004,0.259881929431501,-0.0636729345038417,003410
