종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
114090,GKL,"33,550","300","0.90","8,730,503,600","2,075,257,728,500"
093050,LF,"32,950","200","0.61","2,099,122,100","963,458,000,000"
064960,S&T모티브,"70,000","3,600","5.42","7,313,627,400","1,008,237,020,000"
034120,SBS,"39,600","-100","0.25","1,464,634,650","722,802,247,200"
001740,SK네트웍스,"7,010","120","1.74","11,193,479,870","1,739,795,405,470"
035250,강원랜드,"43,050","750","1.77","22,812,142,700","9,210,138,525,000"
000050,경방,"208,000","0","0.00","287,345,000","570,237,616,000"
073240,금호타이어,"7,250","30","0.42","3,985,483,450","1,145,450,395,500"
000270,기아차,"53,600","0","0.00","43,954,916,500","21,727,475,399,200"
002350,넥센타이어,"14,550","200","1.39","3,697,266,000","1,402,851,010,350"
019680,대교,"9,470","-50","0.53","1,253,453,950","802,135,989,500"
007340,동아타이어,"25,350","0","0.00","287,407,500","601,479,957,000"
023530,롯데쇼핑,"274,000","-11,500","4.03","32,226,620,500","8,628,504,408,000"
009680,모토닉,"12,700","250","2.01","331,284,750","419,100,000,000"
084870,베이직하우스,"10,850","0","0.00","1,120,979,050","226,296,486,150"
028260,삼성물산,"153,500","7,000","4.78","77,485,962,500","29,117,421,600,500"
007860,서연,"13,450","200","1.51","3,148,303,100","302,423,303,800"
004490,세방전지,"42,350","1,700","4.18","2,426,151,900","592,900,000,000"
033530,세종공업,"11,950","150","1.27","2,032,402,200","239,650,438,500"
004170,신세계,"242,000","5,500","2.33","15,849,372,500","2,382,533,802,000"
003620,쌍용차,"8,850","110","1.26","1,635,201,240","1,214,397,849,600"
005850,에스엘,"19,550","950","5.11","5,591,707,000","662,062,509,500"
012750,에스원,"93,400","100","0.11","6,252,895,700","3,549,123,225,200"
111770,영원무역,"59,000","-1,500","2.48","8,506,663,100","2,614,376,612,000"
003200,일신방직,"184,000","1,000","0.55","241,331,000","441,600,000,000"
030000,제일기획,"18,000","-200","1.10","4,898,636,050","2,070,742,050,000"
004700,조광피혁,"55,900","600","1.08","1,600,395,600","371,686,814,200"
021240,코웨이,"83,100","-600","0.72","6,864,545,900","6,409,070,547,600"
161390,한국타이어,"41,150","1,550","3.91","17,345,073,550","5,097,459,089,350"
000240,한국타이어월드와이드,"18,250","150","0.83","1,657,580,650","1,697,618,157,250"
060980,한라홀딩스,"61,300","2,200","3.72","5,735,815,500","662,204,958,300"
009240,한샘,"295,000","9,500","3.33","20,759,731,000","6,942,508,760,000"
020000,한섬,"41,200","2,050","5.24","4,795,655,600","1,014,756,000,000"
105630,한세실업,"55,700","500","0.91","3,329,820,400","2,228,000,000,000"
004150,한솔홀딩스,"7,600","250","3.40","2,322,201,580","293,335,186,000"
018880,한온시스템,"43,000","3,750","9.55","18,996,212,450","4,590,680,000,000"
079430,현대리바트,"50,900","200","0.39","1,712,118,000","878,617,985,000"
012330,현대모비스,"234,500","3,000","1.30","49,423,891,500","22,827,135,873,500"
069960,현대백화점,"133,500","-500","0.37","15,693,657,000","3,124,225,873,500"
011210,현대위아,"130,500","1,500","1.16","20,606,246,500","3,548,958,331,500"
005380,현대차,"168,000","4,000","2.44","134,340,121,612","37,006,448,472,000"
008770,호텔신라,"115,500","500","0.43","29,469,304,500","4,533,157,975,500"
010690,화신,"6,770","730","12.09","4,140,393,760","236,411,175,700"
