Variable,VIF
const,1.1656608581761017
F_유동자산 변화율,462283027.9079429
F_비유동자산 변화율,23025420848.808086
F_자산총계 변화율,30575684788.33415
F_유동부채 변화율,575392786.4666032
F_비유동부채 변화율,31212669.612662327
F_부채총계 변화율,2078608587.239973
F_이익잉여금 변화율,29916469.94454044
F_자본총계 변화율,5267826994.715324
F_매출액 변화율,16047117.768624416
F_영업이익 변화율,755734.7735947531
F_법인세차감전 순이익 변화율,11601.096251417379
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4034991914620063
M_환율 변화율,35.19655772464705
M_GDP 변화율,98.58972891211155
M_금리 변화율,3.1075821329575275
M_수출액 변화율,17.816742769414358
M_실업률 변화율,6.465944312114568
M_국제유가 변화율,4.722668725362173
M_주택가격 변화율,74.73975368818344
Relative Return,1.0124084535891167
