Year,Quarter,공시일,sj_div,account_nm,thstrm_dt,thstrm_amount
2025,Q1,20250515,BS,유동자산,2025.03.31 현재,"130,930,000,000"
2025,Q1,20250515,BS,비유동자산,2025.03.31 현재,"5,545,056,000,000"
2025,Q1,20250515,BS,자산총계,2025.03.31 현재,"5,675,986,000,000"
2025,Q1,20250515,BS,유동부채,2025.03.31 현재,"471,577,000,000"
2025,Q1,20250515,BS,비유동부채,2025.03.31 현재,"402,111,000,000"
2025,Q1,20250515,BS,부채총계,2025.03.31 현재,"873,688,000,000"
2025,Q1,20250515,BS,자본금,2025.03.31 현재,"161,000,000,000"
2025,Q1,20250515,BS,이익잉여금,2025.03.31 현재,"4,211,619,000,000"
2025,Q1,20250515,BS,자본총계,2025.03.31 현재,"4,802,298,000,000"
2025,Q1,20250515,IS,매출액,2025.01.01 ~ 2025.03.31,109578000000
2025,Q1,20250515,IS,영업이익,2025.01.01 ~ 2025.03.31,96806000000
2025,Q1,20250515,IS,법인세차감전 순이익,2025.01.01 ~ 2025.03.31,87945000000
2025,Q1,20250515,IS,당기순이익(손실),2025.01.01 ~ 2025.03.31,86938000000
2025,Q1,20250515,IS,총포괄손익,2025.01.01 ~ 2025.03.31,150288000000
2025,Q1,20250515,IS,영업비용,2025.01.01 ~ 2025.03.31,12772000000
2025,Q2,20250814,BS,유동자산,2025.06.30 현재,"97,320,000,000"
2025,Q2,20250814,BS,비유동자산,2025.06.30 현재,"5,531,330,000,000"
2025,Q2,20250814,BS,자산총계,2025.06.30 현재,"5,628,650,000,000"
2025,Q2,20250814,BS,유동부채,2025.06.30 현재,"433,021,000,000"
2025,Q2,20250814,BS,비유동부채,2025.06.30 현재,"399,559,000,000"
2025,Q2,20250814,BS,부채총계,2025.06.30 현재,"832,580,000,000"
2025,Q2,20250814,BS,자본금,2025.06.30 현재,"161,000,000,000"
2025,Q2,20250814,BS,이익잉여금,2025.06.30 현재,"4,262,093,000,000"
2025,Q2,20250814,BS,자본총계,2025.06.30 현재,"4,796,070,000,000"
2025,Q2,20250814,IS,매출액,2025.01.01 ~ 2025.06.30,127587000000
2025,Q2,20250814,IS,영업이익,2025.01.01 ~ 2025.06.30,114836000000
2025,Q2,20250814,IS,법인세차감전 순이익,2025.01.01 ~ 2025.06.30,102266000000
2025,Q2,20250814,IS,당기순이익(손실),2025.01.01 ~ 2025.06.30,102018000000
2025,Q2,20250814,IS,총포괄손익,2025.01.01 ~ 2025.06.30,67787000000
2025,Q2,20250814,IS,영업비용,2025.01.01 ~ 2025.06.30,12751000000
