Variable,VIF
const,1.165567450741331
F_유동자산 변화율,462131870.9934595
F_비유동자산 변화율,22987752866.68315
F_자산총계 변화율,30560435018.494614
F_유동부채 변화율,575356766.9447182
F_비유동부채 변화율,31212577.56763311
F_부채총계 변화율,2078556782.6076603
F_이익잉여금 변화율,29915008.365259547
F_자본총계 변화율,5265963728.234454
F_매출액 변화율,16039127.708749646
F_영업이익 변화율,755698.401118776
F_법인세차감전 순이익 변화율,11601.089825082468
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4032732182193925
M_환율 변화율,35.194241918424304
M_GDP 변화율,98.19414435341376
M_금리 변화율,3.1063829419335627
M_수출액 변화율,17.816925982366733
M_실업률 변화율,6.450623793597829
M_국제유가 변화율,4.720836487269386
M_주택가격 변화율,74.24845470409045
