,Code
1,000050
1,000080
1,000100
1,000120
1,000150
1,000210
1,000230
1,000240
1,000270
1,000480
1,000640
1,000660
1,000670
1,000720
1,000880
1,001040
1,001120
1,001230
1,001430
1,001680
1,001740
1,001800
1,002240
1,002350
1,002380
1,002790
1,002960
1,003000
1,003030
1,003200
1,003240
1,003300
1,003410
1,003490
1,003520
1,003550
1,003570
1,003620
1,003920
1,004000
1,004020
1,004150
1,004170
1,004370
1,004490
1,004700
1,004710
1,004800
1,005090
1,005180
1,005300
1,005380
1,005440
1,005490
1,005610
1,005740
1,005850
1,005930
1,006120
1,006260
1,006280
1,006400
1,006650
1,007070
1,007310
1,007340
1,007570
1,007690
1,007860
1,008060
1,008490
1,008770
1,009150
1,009240
1,009290
1,009540
1,009580
1,009680
1,009830
1,010060
1,010120
1,010130
1,010140
1,010620
1,010690
1,010780
1,010950
1,011070
1,011170
1,011200
1,011210
1,011780
1,011790
1,012330
1,012450
1,012630
1,012750
1,014680
1,014820
1,014830
1,015760
1,017670
1,017800
1,018260
1,018880
1,019680
1,020000
1,020150
1,021240
1,023530
1,025540
1,025860
1,028050
1,028260
1,029530
1,030000
1,030200
1,032640
1,033530
1,033780
1,033920
1,034020
1,034120
1,034220
1,034730
1,035250
1,035420
1,036460
1,036570
1,036580
1,042660
1,042670
1,042700
1,047040
1,047050
1,047810
1,049770
1,051600
1,051900
1,051910
1,052690
1,060980
1,064350
1,064960
1,066570
1,069260
1,069620
1,069960
1,073240
1,078520
1,078930
1,079430
1,079980
1,082740
1,084870
1,086280
1,090430
1,093050
1,093370
1,096770
1,097230
1,097950
1,103140
1,104700
1,105630
1,108670
1,111770
1,114090
1,115390
1,120110
1,128940
1,139480
1,145990
1,161390
1,161890
1,170900
1,185750
1,192820
