,name,year,quarter,sector,Relative Return,자본금 변화율,금리 변화율,보유 주식 수 변화율,1인평균급여 변화율,발행금액 변화율,기말 소유주식 수 변화율,Label,Code
16,경방,2020,Q4,경기소비재,-0.15686657248467922,0.0,0.13205764233403983,-0.23235692529483953,0.02217176539580623,0.0,-0.026033195117203034,0.06024886078885398,000050
16,하이트진로,2020,Q4,생활소비재,-0.14532814872049518,0.0,0.13205764233403983,-0.004222236198700102,0.04950916814202677,0.0,0.2666666666666666,-0.0915683198064994,000080
16,유한양행,2020,Q4,헬스케어,-0.23386316947637756,0.0,0.13205764233403983,5.359130297533221,0.006172839506172867,-0.8,7.749996029634474,0.028381352702002864,000100
16,CJ대한통운,2020,Q4,산업재,-0.1734431797319626,0.0,0.13205764233403983,0.14057949978272588,0.15841584158415833,0.0,0.0,-0.0013950976945100314,000120
16,두산,2020,Q4,산업재,-0.2441647329936938,0.0,0.13205764233403983,-0.3358448507519176,-0.02099483204134367,0.0,0.036363636363636376,0.4133159621832869,000150
16,대림산업,2020,Q4,건설,-0.21579301763586795,0.0,0.13205764233403983,-0.07406776253043201,0.07602339181286544,0.010176942563536961,0.0,0.07292815733421597,000210
16,일동제약,2020,Q4,헬스케어,0.3699180242814153,0.0,0.13205764233403983,-0.026243633574089653,-0.10714741244470105,0.0,0.31090011049596566,-0.05209837758433877,000230
16,한국타이어월드와이드,2020,Q4,경기소비재,-0.08167199783449117,0.0,0.13205764233403983,0.28512572152769966,0.16129032258064524,0.015359307967871771,0.0,0.029795879984576185,000240
16,기아차,2020,Q4,경기소비재,0.15236614656416533,-0.0018343797985435062,0.13205764233403983,0.020035794592605738,0.02515723270440251,0.0,-0.1428635829246112,-0.02172985512528124,000270
16,조선내화,2020,Q4,철강_소재,-0.22696701323501478,0.0,0.13205764233403983,-0.1703600353498057,0.1282051282051282,0.0,0.021893188231892013,0.14736283094853636,000480
16,동아쏘시오홀딩스,2020,Q4,헬스케어,-0.3998505686067466,0.0027774804640439132,0.13205764233403983,0.2802557486932673,-0.07317073170731703,0.052114890251691914,0.2505228922662166,0.15522541675913962,000640
16,SK하이닉스,2020,Q4,정보기술,0.26653959326144916,0.0,0.13205764233403983,0.02880454501723606,-0.2057608970463648,0.0,6.844573935183007e-06,-0.16196221259107016,000660
16,영풍,2020,Q4,철강_소재,-0.04346045509788579,0.0,0.13205764233403983,-0.06037068820090796,0.13801407231816976,0.0,0.06666666666666665,0.13628434962609204,000670
16,현대건설,2020,Q4,건설,0.06994546045774855,0.0,0.13205764233403983,-0.06062585759111583,0.05614567526555381,0.015006507787199252,-0.2856325339109236,0.1974162064211117,000720
16,한화,2020,Q4,에너지_화학,-0.15011646954178376,0.0,0.13205764233403983,-0.15132910130141708,0.0,0.0,0.09306189208475901,0.12267228860599001,000880
16,CJ,2020,Q4,생활소비재,-0.08034132147644424,0.0,0.13205764233403983,-0.07110625905725432,0.31955484896661357,0.0,-0.1284227243935765,0.1407733576447262,001040
16,LG상사,2020,Q4,산업재,0.3772827007467857,0.0,0.13205764233403983,-0.08221629136567721,-0.1045576407506702,0.0,0.4005082395142485,0.13019494504908907,001120
16,동국제강,2020,Q4,철강_소재,0.30520921549003,0.0,0.13205764233403983,0.07043509272467907,0.16806722689075637,0.0,0.034916502825399265,1.1644862489723582,001230
16,세아베스틸,2020,Q4,철강_소재,0.35570665658451284,0.0,0.13205764233403983,0.2666560295876199,0.04958677685950419,0.0,-0.049219200678515485,1.0999714744505023,001430
16,대상,2020,Q4,생활소비재,-0.22717685721862335,0.0,0.13205764233403983,0.005071279382444782,-0.12676056338028174,0.0,0.16666666666666674,0.1534845986607466,001680
16,SK네트웍스,2020,Q4,경기소비재,-0.06798717588179815,0.0,0.13205764233403983,0.0,0.17010516525751118,0.0,0.0007112561582571786,0.006087080601119413,001740
16,오리온,2020,Q4,생활소비재,-0.16134826788168088,0.0,0.13205764233403983,0.49552312138308197,-0.37303370786516854,-0.5540549503875347,-3.650121092768632e-05,0.25740770673074453,001800
