,name,year,quarter,sector,Relative Return,유동자산 변화율,실업률 변화율,보유 주식 수 변화율,1인평균급여 변화율,기말 소유주식 지분율 변화율,주식액면가액 변화율,Label,Code
30,경방,2017,Q2,경기소비재,-0.024001473839351535,-0.09915802535201046,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.12313590234177786,000050
30,하이트진로,2017,Q2,생활소비재,0.07274590272646309,-0.01902354521613958,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.011608552756986426,000080
30,유한양행,2017,Q2,헬스케어,-0.0987697269702833,-0.0023288063673797543,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.15957438856395717,000100
30,CJ대한통운,2017,Q2,산업재,-0.07002388280293698,0.1288555756378582,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.18818800596954915,000120
30,두산,2017,Q2,산업재,0.27590082802195737,-0.002468751909598388,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.0906428996630934,000150
30,대림산업,2017,Q2,건설,0.07005847263596207,0.02365020676600471,-0.00900900900900925,0.0,0.0,0.0,0.04081946797178726,-0.08783720291768068,000210
30,일동제약,2017,Q2,헬스케어,-0.2359797441310619,0.43211408513817373,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.08256152990791404,000230
30,한국타이어월드와이드,2017,Q2,경기소비재,0.007442866979245161,-0.056514366583738984,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.15109247683773183,000240
30,기아차,2017,Q2,경기소비재,-0.048357928919357834,-0.03323604809253722,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.11432840383738355,000270
30,조선내화,2017,Q2,철강_소재,-0.03577177570667932,0.057515808780992383,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.0816108697725637,000480
30,동아쏘시오홀딩스,2017,Q2,헬스케어,-0.11607829089191964,-0.21087520153020178,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.00917331554920349,000640
30,SK하이닉스,2017,Q2,정보기술,-0.017953958417580237,0.12028902554771803,-0.00900900900900925,0.0,0.0,0.0,0.0,0.21014933094345545,000660
30,영풍,2017,Q2,철강_소재,0.29666006741770307,-0.022003926023196008,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.2749086920810574,000670
30,현대건설,2017,Q2,건설,-0.1576694390258916,-0.021389409112464564,-0.00900900900900925,0.0,0.0,0.0,0.039896857585805856,-0.1900207477224205,000720
30,한화,2017,Q2,에너지_화학,0.1553771826005469,-0.11420032574148353,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.270728296711916,000880
30,CJ,2017,Q2,생활소비재,-0.13370168117654951,-0.3545420901324746,-0.00900900900900925,0.0,0.0,0.0,0.0,0.045448715919286786,001040
30,LG상사,2017,Q2,산업재,-0.0884113901314695,-0.06131129246628997,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.10129325401356078,001120
30,동국제강,2017,Q2,철강_소재,0.19288809049702133,0.023284392859834524,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.28486405848185525,001230
30,세아베스틸,2017,Q2,철강_소재,0.20002730313906575,0.0606429360464682,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.17756082215131305,001430
30,대상,2017,Q2,생활소비재,-0.06228111840310379,-0.005785136659333889,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.124502577508572,001680
30,SK네트웍스,2017,Q2,경기소비재,-0.058777593242336605,-0.2649836399340154,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.1960592284296609,001740
30,오리온,2017,Q2,생활소비재,-0.2537593226356348,0.8623562521378949,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.005459134665010176,001800
30,고려제강,2017,Q2,철강_소재,-0.0022453365114204833,0.07791439549228074,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.14293459183748228,002240
30,넥센타이어,2017,Q2,경기소비재,-0.03566212365884612,0.06565859306815747,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.166310576512762,002350
30,KCC,2017,Q2,건설,0.10872568936121807,0.08528834930821683,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.08267514489097266,002380
30,아모레G,2017,Q2,생활소비재,-0.19942881632401815,-0.09266816365028119,-0.00900900900900925,0.0,0.0,0.0,0.0,0.15783766278717792,002790
30,한국쉘석유,2017,Q2,에너지_화학,-0.023805395407978984,-0.1428344106047158,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.12203013370833395,002960
30,부광약품,2017,Q2,헬스케어,-0.08736549355583235,-0.012148832213733085,-0.00900900900900925,0.0,0.0,0.0,0.0,0.03419259920863009,003000
30,세아제강,2017,Q2,철강_소재,-0.00040051424491082885,0.04699819001218741,-0.00900900900900925,0.0,0.0,0.0,0.04069415723289471,-0.16512877437760978,003030
30,일신방직,2017,Q2,경기소비재,-0.0009579955784819686,-0.0001667870118901016,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.08332433892506423,003200
30,태광산업,2017,Q2,에너지_화학,0.31585467320290717,0.05124992458118949,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.08847241750345604,003240
30,한일시멘트,2017,Q2,건설,-0.09165227113750558,0.18011369448193792,-0.00900900900900925,0.0,0.0,0.0,0.040702210334893074,0.07450946031834868,003300
30,쌍용양회,2017,Q2,건설,-0.1284717537027662,-0.07588176924268297,-0.00900900900900925,0.0,0.0,0.0,0.0,0.34973515847168035,003410
30,대한항공,2017,Q2,산업재,0.09689873056460413,0.13077974891979927,-0.00900900900900925,0.0,0.0,0.0,0.0,-0.24487756318235174,003490
