,name,year,quarter,sector,Relative Return,금리 변화율,국제유가 변화율,실업률 변화율,소비자물가지수 변화율,Label,Code
29,경방,2017,Q3,경기소비재,-0.12313590234177786,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.041282164991423786,000050
29,하이트진로,2017,Q3,생활소비재,-0.001981459988192033,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.07153284189618661,000080
29,유한양행,2017,Q3,헬스케어,-0.15957438856395717,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.15012014823915726,000100
29,CJ대한통운,2017,Q3,산업재,-0.18818800596954915,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.041479917630222414,000120
29,두산,2017,Q3,산업재,-0.0906428996630934,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.12720228105803708,000150
29,대림산업,2017,Q3,건설,-0.11560459519957578,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.11154265413313096,000210
29,일동제약,2017,Q3,헬스케어,-0.08256152990791404,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.006155543183324279,000230
29,한국타이어월드와이드,2017,Q3,경기소비재,-0.15109247683773183,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.001746463831453167,000240
29,기아차,2017,Q3,경기소비재,-0.07915442086029638,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.07666297878411757,000270
29,조선내화,2017,Q3,철강_소재,-0.11991074077387812,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.017869906518189704,000480
29,동아쏘시오홀딩스,2017,Q3,헬스케어,-0.048003219157301255,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.0943149267201811,000640
29,SK하이닉스,2017,Q3,정보기술,0.21014933094345545,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.03934534420141787,000660
29,영풍,2017,Q3,철강_소재,-0.27665695512988575,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.05246661892109041,000670
29,현대건설,2017,Q3,건설,-0.1900207477224205,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.20833757687430982,000720
29,한화,2017,Q3,에너지_화학,-0.270728296711916,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.004338731502128559,000880
29,CJ,2017,Q3,생활소비재,0.045448715919286786,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.14833598925198915,001040
29,LG상사,2017,Q3,산업재,-0.10129325401356078,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.011568343910626756,001120
29,동국제강,2017,Q3,철강_소재,-0.28486405848185525,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.0005269813131925025,001230
29,세아베스틸,2017,Q3,철강_소재,-0.17756082215131305,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.10925485369160348,001430
29,대상,2017,Q3,생활소비재,-0.124502577508572,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.12800909009407943,001680
29,SK네트웍스,2017,Q3,경기소비재,-0.1960592284296609,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.037047728087738756,001740
29,오리온,2017,Q3,생활소비재,-0.005459134665010176,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.011359168765704857,001800
29,고려제강,2017,Q3,철강_소재,-0.15310665999786077,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.002723470692834566,002240
29,넥센타이어,2017,Q3,경기소비재,-0.166310576512762,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.05585901794400728,002350
29,KCC,2017,Q3,건설,-0.09493906539262703,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.10068709323209238,002380
29,아모레G,2017,Q3,생활소비재,0.15783766278717792,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.02698996648868756,002790
29,한국쉘석유,2017,Q3,에너지_화학,-0.12203013370833395,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.08284949576450643,002960
29,부광약품,2017,Q3,헬스케어,0.03419259920863009,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.21154135619159697,003000
29,세아제강,2017,Q3,철강_소재,-0.16512877437760978,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.01768133366025288,003030
29,일신방직,2017,Q3,경기소비재,-0.08332433892506423,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.019008492860209676,003200
29,태광산업,2017,Q3,에너지_화학,-0.07332405841228687,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.08177849142445637,003240
29,한일시멘트,2017,Q3,건설,0.07450946031834868,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.1328015080024008,003300
29,대한항공,2017,Q3,산업재,-0.24487756318235174,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,0.12563477305901172,003490
29,영진약품,2017,Q3,헬스케어,-0.15590136794306436,0.03346456692913535,0.04912421985101645,0.018181818181818077,0.15372330132051748,-0.07525126211915237,003520
