,name,year,quarter,sector,Relative Return,Relative Return,비유동자산 변화율,이익잉여금 변화율,매출액 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
7,경방,2023,Q1,경기소비재,-0.05075163065633926,-0.05075163065633926,0.008526930984477543,0.013595101325913683,-0.07243933081203058,0.0039567160700244575,-0.28484066432155053,-0.1480480934124126,000050
7,하이트진로,2023,Q1,생활소비재,-0.024821968334735087,-0.024821968334735087,0.004991940490844948,-0.1167912853350569,-0.009369547541689394,-0.21186173151290022,1.4916901443666823,-0.15510437639735503,000080
7,유한양행,2023,Q1,헬스케어,0.08422430114085966,0.08422430114085966,-0.001577524476477632,0.0035888299430921755,-0.011541991898865178,0.06814660590133736,-0.0651426491128384,0.29034291902187653,000100
7,CJ대한통운,2023,Q1,산업재,0.02659724469511341,0.02659724469511341,0.013237711103547545,0.06652504122969449,-0.09172575107490033,0.18936103094370038,-0.13174946531281173,-0.03483625001144944,000120
7,두산,2023,Q1,산업재,-0.1273457788138802,-0.1273457788138802,0.0010508054669906564,-0.009570507622682523,0.07145614425929203,-0.11851688764380963,-1.9150127389535998,0.09872153547567038,000150
7,대림산업,2023,Q1,건설,-0.11473241338712198,-0.11473241338712198,0.00014259258833293487,0.012220418857342707,4.259523079211761,-0.06284600227578374,7.732858770467139,-0.20777257239510422,000210
7,일동제약,2023,Q1,헬스케어,-0.07049849609311148,-0.07049849609311148,-0.003892015772453572,-0.030343114892525835,0.12912385312472785,-0.0018431476619849008,0.4799934821093146,-0.04564954330338757,000230
7,한국타이어월드와이드,2023,Q1,경기소비재,0.04704054396149173,0.04704054396149173,0.0008823969619360383,-0.013028258979940532,0.14618061955419126,0.002343120788725228,1.3106072763217096,-0.14674011905728682,000240
7,기아차,2023,Q1,경기소비재,0.11084148040708677,0.11084148040708677,-0.0031796860424185835,-0.02628571866586582,0.07922279582539993,-0.050733992509327086,-0.17485433185358557,-0.15229947275120165,000270
7,조선내화,2023,Q1,철강_소재,0.06836339716957847,0.06836339716957847,-0.05403856715841404,0.008909039258360174,-0.009001172611143526,-0.8827694882066867,-2.974209658343927,0.01859796740924216,000480
7,동아쏘시오홀딩스,2023,Q1,헬스케어,-0.08179994737427296,-0.08179994737427296,-0.015029834901720052,0.0748231376705788,16.055340815085913,0.3512241749555973,-11.369286233580455,0.04921519946166719,000640
7,SK하이닉스,2023,Q1,정보기술,-0.0008162829245996137,-0.0008162829245996137,0.02111640788017044,-0.027693036304970775,-0.18484023622613488,0.32624970959348776,0.20816527764215387,0.2757811796600229,000660
7,영풍,2023,Q1,철강_소재,-0.08632504545940695,-0.08632504545940695,0.0481824005384337,0.04194689292381737,-0.07662054891727643,0.013926840004259589,-1.02510507173977,-0.008138775911639778,000670
7,현대건설,2023,Q1,건설,0.04414312617702444,0.04414312617702444,-0.001818906475307025,0.00843962804605547,-0.01729184712159515,0.04431410626103882,0.8335698517817722,-0.13300168657771466,000720
7,한화,2023,Q1,에너지_화학,0.036252798260019405,0.036252798260019405,0.026419433320308716,-0.010222303682339895,0.01687639891214676,-0.03887419192546315,-0.46577992480545594,-0.01279572273054784,000880
7,CJ,2023,Q1,생활소비재,-0.13613870129101321,-0.13613870129101321,-0.0006821353075396885,-0.0021971101494422385,-0.045551962510293365,-0.33243002944431554,6.539313764554192,-0.17919900942632128,001040
7,LG상사,2023,Q1,산업재,0.02261175024150343,0.02261175024150343,0.2674773252651206,0.007746470125004734,0.030138139171620892,0.6310240056676786,-0.014528696289504595,0.12476092431538251,001120
7,동국제강,2023,Q1,철강_소재,-0.0896062855049913,-0.0896062855049913,0.0008244605112717185,0.058012714921399366,-0.055101902947439774,0.2544957037194162,0.5003400552887101,0.20365198402539958,001230
7,세아베스틸,2023,Q1,철강_소재,0.005019466384008388,0.005019466384008388,0.003675255868306193,0.005840820022078086,-0.30791722407055333,0.008124620526116733,-0.25631354435539333,-0.01517141271331833,001430
7,대상,2023,Q1,생활소비재,-0.042117077353037366,-0.042117077353037366,0.0465109212280701,-0.012416447825644217,0.016864459613057825,0.12708311773583136,2.3431612021787993,-0.11603061908663619,001680
7,SK네트웍스,2023,Q1,경기소비재,0.025948287350597267,0.025948287350597267,-0.029986373605252137,-0.03756470666079137,-0.038794073704307985,-0.008064226219687054,-2.565562752046927,0.4155051100198994,001740
7,오리온,2023,Q1,생활소비재,0.011134679133489672,0.011134679133489672,0.0010006887586466728,-0.9434818744753767,2.521082735955617,0.0010007809600640627,5.822828313814628,-0.10112309208470176,001800
7,고려제강,2023,Q1,철강_소재,-0.12670927147250136,-0.12670927147250136,-0.003909896931557522,0.0056693784658230495,-0.14465949101103193,-0.052959576309710155,-0.05265472795534554,0.19543682499953216,002240
7,넥센타이어,2023,Q1,경기소비재,0.14645767932000284,0.14645767932000284,0.0063591011230461625,-0.011512931965971807,-0.06356827851771474,0.31472682623179193,-0.9321394085361036,-0.1264292535848931,002350
7,KCC,2023,Q1,건설,-0.04391398905085796,-0.04391398905085796,-0.00415964325970597,0.0008976132768978573,-0.04645368327920463,-0.2593708144880025,0.28780972362467283,-0.07029206557249212,002380
7,아모레G,2023,Q1,생활소비재,-0.21228938790982174,-0.21228938790982174,-0.013512016011962724,0.005373371118110093,-0.0006902142152999113,-0.12938145685483704,-0.777891329448626,-0.0006872790240209092,002790
7,한국쉘석유,2023,Q1,에너지_화학,-0.05177408928035748,-0.05177408928035748,-0.005915913529174643,-0.129843142269761,-0.017001596121830054,0.10576070079316802,0.6933453656916335,-0.09338967191245653,002960
