,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,금리 변화율,국제유가 변화율,실업률 변화율,환율 변화율,수출액 변화율,Label,Code
21,경방,2019,Q3,경기소비재,-0.08417773824815472,0.028975912766799672,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.10188173438043172,000050
21,하이트진로,2019,Q3,생활소비재,0.2802798329144396,-2.2154833282076245,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.038010294575439196,000080
21,유한양행,2019,Q3,헬스케어,-0.1288497439286522,0.5652456538676611,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.256782615726154,000100
21,CJ대한통운,2019,Q3,산업재,0.013238908120392273,0.06185372720825999,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.012301943884613586,000120
21,두산,2019,Q3,산업재,-0.1135768162663077,-0.9090418737892,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.2979587451550505,000150
21,대림산업,2019,Q3,건설,-0.12059862893574436,-0.24837063420872463,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.16662607758445078,000210
21,일동제약,2019,Q3,헬스케어,-0.08599350809354075,-0.10595826235568351,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.15917565580621104,000230
21,한국타이어월드와이드,2019,Q3,경기소비재,-0.14771301028660141,0.06176340546294057,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.20232934492999802,000240
21,기아차,2019,Q3,경기소비재,-0.11778577207084691,-0.31930688738863955,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.23837488290227263,000270
21,조선내화,2019,Q3,철강_소재,-0.03144183754940612,0.787447476735283,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.0801617267083218,000480
21,동아쏘시오홀딩스,2019,Q3,헬스케어,-0.04576887464125747,-2.212100827315006,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.06765016639434585,000640
21,SK하이닉스,2019,Q3,정보기술,-0.01912626738862036,-0.11590375044892509,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,0.17186527887685207,000660
21,영풍,2019,Q3,철강_소재,-0.07773391307052892,-0.9284009206235834,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.06864437869804776,000670
21,현대건설,2019,Q3,건설,-0.035704372441128854,-0.08530140457641333,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.2516429718168658,000720
21,한화,2019,Q3,에너지_화학,0.02836554236532375,-0.3938920565492463,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.24633269163090102,000880
21,CJ,2019,Q3,생활소비재,0.0876596259759125,-2.665059076982682,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.12836156294329962,001040
21,LG상사,2019,Q3,산업재,-0.14225060387512825,-1.0487497745221304,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.2911200836905169,001120
21,동국제강,2019,Q3,철강_소재,-0.10926373781301162,-2.2279884201739337,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.23015265352589184,001230
21,세아베스틸,2019,Q3,철강_소재,-0.022017793378926218,-3.24321619463338,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.40263041274606515,001430
21,대상,2019,Q3,생활소비재,-0.016678527527980727,-0.4613770213856163,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.17116254653552745,001680
21,SK네트웍스,2019,Q3,경기소비재,0.05723596590228673,-0.19964476021314392,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.052208096620772165,001740
21,오리온,2019,Q3,생활소비재,0.02043666881706442,1.4123365598365152,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.1504634047634513,001800
21,고려제강,2019,Q3,철강_소재,-0.1426712206449453,-0.4857772387699707,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.20833910725425817,002240
21,넥센타이어,2019,Q3,경기소비재,-0.006226561336162936,-0.21202731980633105,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.3556524336737552,002350
21,KCC,2019,Q3,건설,-0.0627374078954682,-0.5377800544030514,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.17376325794838146,002380
21,아모레G,2019,Q3,생활소비재,0.3027252659402598,35.192308492717395,-0.21649484536082508,-0.10146539633409102,-0.05084745762711873,0.023671710515372757,-0.013886289168915433,-0.14143855502809646,002790
