,code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금,영업비용
0,270,Kia,Transportation,2015,Q4,12275521000000.0,21710875000000.0,33986396000000.0,9277848000000.0,4707821000000.0,13985669000000.0,16130840000000.0,20000727000000.0,32699936000000.0,2294966000000.0,3016428000000.0,2507747000000.0,2507747000000.0,,,
1,270,Kia,Transportation,2016,Q1,13401181000000.0,22838358000000.0,36239539000000.0,10727140000000.0,4096026000000.0,14823166000000.0,,21416373000000.0,7806454000000.0,639335000000.0,1308067000000.0,1160849000000.0,1160849000000.0,,,
2,270,Kia,Transportation,2016,Q2,12722354000000.0,23203453000000.0,35925807000000.0,9110810000000.0,5054880000000.0,14165690000000.0,,21760117000000.0,8347585000000.0,601346000000.0,628184000000.0,483101000000.0,483101000000.0,,,
3,270,Kia,Transportation,2016,Q3,11044006000000.0,23138271000000.0,34182277000000.0,7316832000000.0,4889007000000.0,12205839000000.0,,21976438000000.0,6703963000000.0,185658000000.0,270355000000.0,227338000000.0,227338000000.0,,,
4,270,Kia,Transportation,2016,Q4,13405152000000.0,22774359000000.0,36179511000000.0,9654996000000.0,4904394000000.0,14559390000000.0,17860267000000.0,21620121000000.0,8783852000000.0,520700000000.0,246222000000.0,200192000000.0,200192000000.0,,,
5,270,Kia,Transportation,2017,Q1,15316472000000.0,22958543000000.0,38275015000000.0,10256428000000.0,5213570000000.0,15469998000000.0,,22805017000000.0,8048992000000.0,486838000000.0,983128000000.0,813803000000.0,813803000000.0,,,
6,270,Kia,Transportation,2017,Q2,14807413000000.0,22943160000000.0,37750573000000.0,9500937000000.0,5063494000000.0,14564431000000.0,,23186142000000.0,8073055000000.0,379560000000.0,501299000000.0,384318000000.0,384318000000.0,,,
7,270,Kia,Transportation,2017,Q3,15578612000000.0,23333741000000.0,38912353000000.0,10050148000000.0,6104996000000.0,16155144000000.0,19017307000000.0,22757209000000.0,8400413000000.0,-540448000000.0,-616905000000.0,-430495000000.0,-430495000000.0,,,
8,270,Kia,Transportation,2017,Q4,15248186000000.0,23356827000000.0,38605013000000.0,9123635000000.0,7344054000000.0,16467689000000.0,18396715000000.0,22137324000000.0,7587423000000.0,276659000000.0,253276000000.0,159426000000.0,159426000000.0,,,
9,270,Kia,Transportation,2018,Q1,14639973000000.0,23812279000000.0,38452252000000.0,8535018000000.0,6908391000000.0,15443409000000.0,19324863000000.0,23008843000000.0,7161352000000.0,15385000000.0,288602000000.0,268527000000.0,268527000000.0,,,
10,270,Kia,Transportation,2018,Q2,13882667000000.0,24034462000000.0,37917129000000.0,7765108000000.0,7098906000000.0,14864014000000.0,19421285000000.0,23053115000000.0,8404540000000.0,234846000000.0,149341000000.0,117236000000.0,117236000000.0,,,
11,270,Kia,Transportation,2018,Q3,12643986000000.0,24452700000000.0,37096686000000.0,6840244000000.0,7267758000000.0,14108002000000.0,19351397000000.0,22988684000000.0,7492150000000.0,-88098000000.0,-47066000000.0,-18814000000.0,-18814000000.0,,,
12,270,Kia,Transportation,2018,Q4,12990133000000.0,24159469000000.0,37149602000000.0,8132675000000.0,7019237000000.0,15151912000000.0,18367594000000.0,21997690000000.0,8854147000000.0,230508000000.0,65540000000.0,33847000000.0,33847000000.0,,,
13,270,Kia,Transportation,2019,Q1,12892128000000.0,25015264000000.0,37907392000000.0,8812902000000.0,5772405000000.0,14585307000000.0,19670080000000.0,23322085000000.0,7793712000000.0,437604000000.0,1022797000000.0,780553000000.0,780553000000.0,,,
14,270,Kia,Transportation,2019,Q2,12950871000000.0,25018818000000.0,37969689000000.0,8601624000000.0,5647400000000.0,14249024000000.0,20040035000000.0,23720665000000.0,8846729000000.0,438521000000.0,514433000000.0,409754000000.0,409754000000.0,,,
15,270,Kia,Transportation,2019,Q3,12773939000000.0,25005064000000.0,37779003000000.0,8704987000000.0,5112473000000.0,13817460000000.0,20274225000000.0,23961543000000.0,8340844000000.0,310423000000.0,350171000000.0,262648000000.0,262648000000.0,,,
16,270,Kia,Transportation,2019,Q4,13334847000000.0,25021434000000.0,38356281000000.0,9571234000000.0,5634829000000.0,15206063000000.0,19456378000000.0,23150218000000.0,8876496000000.0,292500000000.0,171334000000.0,62643000000.0,62643000000.0,,,
17,270,Kia,Transportation,2020,Q1,12118253000000.0,26172329000000.0,38290582000000.0,9130974000000.0,5318860000000.0,14449834000000.0,20206221000000.0,23840748000000.0,7535127000000.0,112089000000.0,211440000000.0,182839000000.0,182839000000.0,,,
18,270,Kia,Transportation,2020,Q2,15032438000000.0,26348285000000.0,41380723000000.0,11441838000000.0,5900154000000.0,17341992000000.0,20380688000000.0,24038731000000.0,7997970000000.0,228065000000.0,242673000000.0,186818000000.0,186818000000.0,,,
19,270,Kia,Transportation,2020,Q3,17137962000000.0,26540997000000.0,43678959000000.0,13181445000000.0,6125391000000.0,19306836000000.0,20699382000000.0,24372123000000.0,9269666000000.0,407833000000.0,370024000000.0,278970000000.0,278970000000.0,,,
20,270,Kia,Transportation,2020,Q4,15667690000000.0,25923863000000.0,41591553000000.0,12013478000000.0,5993933000000.0,18007411000000.0,19866886000000.0,23584142000000.0,9559564000000.0,421142000000.0,167703000000.0,116594000000.0,116594000000.0,,,
21,270,Kia,Transportation,2021,Q1,17810746000000.0,25968796000000.0,43779542000000.0,13547549000000.0,6284335000000.0,19831884000000.0,20182876000000.0,23947658000000.0,9880347000000.0,598066000000.0,818673000000.0,613287000000.0,613287000000.0,,,
22,270,Kia,Transportation,2021,Q2,17505215000000.0,26124309000000.0,43629524000000.0,12466116000000.0,6635149000000.0,19101265000000.0,20696607000000.0,24528259000000.0,10373326000000.0,583629000000.0,649806000000.0,549836000000.0,549836000000.0,,,
23,270,Kia,Transportation,2021,Q3,16190926000000.0,26265911000000.0,42456837000000.0,10984437000000.0,6795714000000.0,17780151000000.0,20911412000000.0,24676686000000.0,9319638000000.0,240985000000.0,239404000000.0,190267000000.0,190267000000.0,,,
24,270,Kia,Transportation,2021,Q4,17683237000000.0,27505529000000.0,45188766000000.0,12926547000000.0,6686307000000.0,19612854000000.0,21838662000000.0,25575912000000.0,11406259000000.0,1396532000000.0,1251267000000.0,877618000000.0,877618000000.0,,,
25,270,Kia,Transportation,2022,Q1,17081037000000.0,27824260000000.0,44905297000000.0,12892158000000.0,7131220000000.0,20023378000000.0,21226219000000.0,24881919000000.0,10099699000000.0,489064000000.0,560403000000.0,449720000000.0,449720000000.0,,,
26,270,Kia,Transportation,2022,Q2,17676514000000.0,27934289000000.0,45610803000000.0,14000955000000.0,6123162000000.0,20124117000000.0,21918917000000.0,25486686000000.0,11205842000000.0,689741000000.0,732086000000.0,546310000000.0,546310000000.0,,,
27,270,Kia,Transportation,2022,Q3,16235942000000.0,29206691000000.0,45442633000000.0,13372479000000.0,6343886000000.0,19716365000000.0,22164881000000.0,25726268000000.0,11990972000000.0,395036000000.0,108029000000.0,98336000000.0,98336000000.0,,,
28,270,Kia,Transportation,2022,Q4,17675474000000.0,29039974000000.0,46715448000000.0,14444194000000.0,5801081000000.0,20245275000000.0,22960719000000.0,26470173000000.0,13113208000000.0,1427045000000.0,1238852000000.0,859147000000.0,859147000000.0,,,
29,270,Kia,Transportation,2023,Q1,17814695000000.0,28947636000000.0,46762331000000.0,15884280000000.0,5506769000000.0,21391049000000.0,22357180000000.0,25371282000000.0,14152073000000.0,1177520000000.0,1240177000000.0,896094000000.0,896094000000.0,,,
30,270,Kia,Transportation,2023,Q2,21346490000000.0,29378790000000.0,50725280000000.0,14415566000000.0,5202753000000.0,19618319000000.0,27777308000000.0,31106961000000.0,16397721000000.0,3166968000000.0,6549914000000.0,5603215000000.0,5603215000000.0,,,
31,270,Kia,Transportation,2023,Q3,20634073000000.0,30273270000000.0,50907343000000.0,14197736000000.0,5100413000000.0,19298149000000.0,28272488000000.0,31609194000000.0,13222398000000.0,620132000000.0,728589000000.0,452371000000.0,452371000000.0,502233000000.0,,
32,270,Kia,Transportation,2023,Q4,20839872000000.0,31148820000000.0,51988692000000.0,14271047000000.0,5033727000000.0,19304774000000.0,29241966000000.0,32683918000000.0,14747766000000.0,1341045000000.0,1385173000000.0,1072311000000.0,1072311000000.0,7464378000000.0,2139317000000.0,
33,270,Kia,Transportation,2024,Q1,21624267000000.0,31937009000000.0,53561276000000.0,16798706000000.0,4672246000000.0,21470952000000.0,29181969000000.0,32090324000000.0,15711802000000.0,2429732000000.0,2769363000000.0,2165802000000.0,2165802000000.0,2100733000000.0,2139317000000.0,
34,270,Kia,Transportation,2024,Q2,20174354000000.0,33524613000000.0,53698967000000.0,14790145000000.0,4609250000000.0,19399395000000.0,31192993000000.0,34299572000000.0,16665620000000.0,2883384000000.0,3017450000000.0,2251719000000.0,2251719000000.0,2209248000000.0,2139317000000.0,
35,270,Kia,Transportation,2024,Q3,20293354000000.0,34424126000000.0,54717480000000.0,14895499000000.0,4460552000000.0,19356051000000.0,32226805000000.0,35361429000000.0,14921788000000.0,1446843000000.0,1498150000000.0,1127491000000.0,1127491000000.0,1061857000000.0,2139317000000.0,
0,5380,Hyundai_Motor,Transportation,2015,Q4,22098375000000.0,44879849000000.0,66978224000000.0,12173086000000.0,5402092000000.0,17575178000000.0,45112080000000.0,49403046000000.0,44439694000000.0,4267256000000.0,6680063000000.0,,,,,
1,5380,Hyundai_Motor,Transportation,2016,Q1,22614012000000.0,44836108000000.0,67450120000000.0,11172772000000.0,5615205000000.0,16787977000000.0,46534754000000.0,50662143000000.0,11542128000000.0,11542128000000.0,11542128000000.0,11542128000000.0,11542128000000.0,,,
2,5380,Hyundai_Motor,Transportation,2016,Q2,22908267000000.0,44844895000000.0,67753162000000.0,10319710000000.0,5490605000000.0,15810315000000.0,47907719000000.0,51942847000000.0,11542128000000.0,1102940000000.0,1708001000000.0,1372965000000.0,1372965000000.0,,,
3,5380,Hyundai_Motor,Transportation,2016,Q3,20813974000000.0,44889781000000.0,65703755000000.0,8335107000000.0,5347966000000.0,13683073000000.0,47815899000000.0,52020682000000.0,7996646000000.0,23867000000.0,208598000000.0,,,,,
4,5380,Hyundai_Motor,Transportation,2016,Q4,24175403000000.0,45562266000000.0,69737669000000.0,11209671000000.0,6242005000000.0,17451676000000.0,48111726000000.0,52285993000000.0,10632730000000.0,-9969453000000.0,-8515483000000.0,,,,,
5,5380,Hyundai_Motor,Transportation,2017,Q1,23980715000000.0,45728560000000.0,69709275000000.0,10851839000000.0,6104260000000.0,16956099000000.0,48561967000000.0,52753176000000.0,10317549000000.0,758908000000.0,1207696000000.0,967374000000.0,967374000000.0,,,
6,5380,Hyundai_Motor,Transportation,2017,Q2,24509450000000.0,46084817000000.0,70594267000000.0,10910697000000.0,5941100000000.0,16851797000000.0,49236467000000.0,53742470000000.0,11726321000000.0,1055269000000.0,868433000000.0,674500000000.0,674500000000.0,,,
7,5380,Hyundai_Motor,Transportation,2017,Q3,23090731000000.0,46713524000000.0,69804255000000.0,9514322000000.0,5947138000000.0,15461460000000.0,49952254000000.0,54342795000000.0,9742388000000.0,341581000000.0,1056770000000.0,984441000000.0,984441000000.0,,1488993000000.0,
8,5380,Hyundai_Motor,Transportation,2017,Q4,23299445000000.0,46775829000000.0,70075274000000.0,10360637000000.0,5783937000000.0,16144574000000.0,49591840000000.0,53930700000000.0,9818611000000.0,7689000000.0,-55839000000.0,,,,1488993000000.0,
9,5380,Hyundai_Motor,Transportation,2018,Q1,23084566000000.0,46818532000000.0,69903098000000.0,10914902000000.0,5157419000000.0,16072321000000.0,49795875000000.0,53830777000000.0,9672471000000.0,185324000000.0,487712000000.0,,,,1488993000000.0,
10,5380,Hyundai_Motor,Transportation,2018,Q2,23265407000000.0,46688711000000.0,69954118000000.0,10618646000000.0,5315767000000.0,15934413000000.0,50461087000000.0,54019705000000.0,10987295000000.0,304421000000.0,862111000000.0,,,,1488993000000.0,
11,5380,Hyundai_Motor,Transportation,2018,Q3,21962177000000.0,47041024000000.0,69003201000000.0,9732907000000.0,5667984000000.0,15400891000000.0,49019740000000.0,53602310000000.0,10085005000000.0,-461819000000.0,-336761000000.0,-235859000000.0,-235859000000.0,,1488993000000.0,
12,5380,Hyundai_Motor,Transportation,2018,Q4,22325069000000.0,47083668000000.0,69408737000000.0,12737313000000.0,4429408000000.0,17166721000000.0,47803780000000.0,52242016000000.0,12415337000000.0,-87248000000.0,-303114000000.0,610747000000.0,610747000000.0,,1488993000000.0,
13,5380,Hyundai_Motor,Transportation,2019,Q1,22073353000000.0,47994597000000.0,70067950000000.0,13080655000000.0,4661080000000.0,17741735000000.0,48132067000000.0,52326215000000.0,11276932000000.0,235271000000.0,902734000000.0,794849000000.0,794849000000.0,,1488993000000.0,
14,5380,Hyundai_Motor,Transportation,2019,Q2,23929191000000.0,48295638000000.0,72224829000000.0,14195159000000.0,4668572000000.0,18863731000000.0,49148003000000.0,53361098000000.0,12952915000000.0,673872000000.0,1253852000000.0,1017689000000.0,1017689000000.0,,1488993000000.0,
15,5380,Hyundai_Motor,Transportation,2019,Q3,21628713000000.0,49616050000000.0,71244763000000.0,12933355000000.0,4743336000000.0,17676691000000.0,49375772000000.0,53568072000000.0,11334037000000.0,12174000000.0,324758000000.0,490799000000.0,490799000000.0,,1488993000000.0,
16,5380,Hyundai_Motor,Transportation,2019,Q4,22346792000000.0,51412033000000.0,73758825000000.0,15148868000000.0,5089342000000.0,20238210000000.0,49471930000000.0,53520615000000.0,13591809000000.0,658847000000.0,708549000000.0,464329000000.0,464329000000.0,,1488993000000.0,
17,5380,Hyundai_Motor,Transportation,2020,Q1,20840752000000.0,52605608000000.0,73446360000000.0,15409856000000.0,4860296000000.0,20270152000000.0,49694208000000.0,53176208000000.0,11274965000000.0,399673000000.0,705277000000.0,614159000000.0,614159000000.0,,1488993000000.0,
18,5380,Hyundai_Motor,Transportation,2020,Q2,21464025000000.0,53002258000000.0,74466283000000.0,14648064000000.0,6046491000000.0,20694555000000.0,50171398000000.0,53771728000000.0,12131110000000.0,651424000000.0,646633000000.0,482965000000.0,482965000000.0,,1488993000000.0,
19,5380,Hyundai_Motor,Transportation,2020,Q3,22969659000000.0,53652949000000.0,76622608000000.0,16009664000000.0,6988242000000.0,22997906000000.0,49925195000000.0,53624702000000.0,12681923000000.0,-326496000000.0,-380040000000.0,-246203000000.0,-246203000000.0,,1488993000000.0,
20,5380,Hyundai_Motor,Transportation,2020,Q4,24612104000000.0,53640185000000.0,78252289000000.0,17709438000000.0,7354342000000.0,25063780000000.0,49232719000000.0,53188509000000.0,14573004000000.0,44025000000.0,-445027000000.0,-323946000000.0,-323946000000.0,,1488993000000.0,
