,code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,영업비용,이자비용
0,68270,Celltrion,Medicine_Production,2015,Q4,945520442069.0,1572197031724.0,2517717473793.0,607475186435.0,158497611287.0,765972797722.0,112431663000.0,1058486112455.0,1751744676071.0,528784432676.0,254129599657.0,223177638969.0,202004863992.0,202004863992.0,,,
1,68270,Celltrion,Medicine_Production,2016,Q1,916423994343.0,1582378531447.0,2498802525790.0,523917316225.0,73517289968.0,597434606193.0,116429228000.0,1063014318163.0,1901367919597.0,90920168292.0,25466006499.0,6426885584.0,7856555708.0,7856555708.0,,,
2,68270,Celltrion,Medicine_Production,2016,Q2,1002473171818.0,1647453150682.0,2649926322500.0,549319856491.0,99493603211.0,648813459702.0,116589842000.0,1153624520450.0,2001112862798.0,159927263204.0,75231884679.0,109288802340.0,90610202287.0,90610202287.0,,,
3,68270,Celltrion,Medicine_Production,2016,Q3,1038612800790.0,1673596213962.0,2712209014752.0,549056498949.0,102516710072.0,651573209021.0,116589842000.0,1212839667141.0,2060635805731.0,146495557572.0,72192244352.0,76800114904.0,59215146691.0,59215146691.0,,,
4,68270,Celltrion,Medicine_Production,2016,Q4,1076603083554.0,1646143636158.0,2722746719712.0,524271608642.0,125584949957.0,649856558599.0,116598327000.0,1200532713975.0,2072890161113.0,180231972706.0,73327204680.0,68929092963.0,55553856043.0,55553856043.0,,,
5,68270,Celltrion,Medicine_Production,2017,Q1,1128307463434.0,1731690404179.0,2859997867613.0,539407727476.0,136655666310.0,676063393786.0,122426543000.0,1338991325172.0,2183934473827.0,175832739170.0,90788301357.0,82158139272.0,68249096544.0,68249096544.0,,,
6,68270,Celltrion,Medicine_Production,2017,Q2,1193507384208.0,1768545863448.0,2962053247656.0,449321914113.0,216371148017.0,665693062130.0,122604401000.0,1452981506410.0,2296360185526.0,216253930240.0,133979546495.0,138975228972.0,113990181238.0,113990181238.0,,,
7,68270,Celltrion,Medicine_Production,2017,Q3,1299557299001.0,1778582787748.0,3078140086749.0,455124930235.0,214482154144.0,669607084379.0,122635222000.0,1563240425439.0,2408533002370.0,200700962214.0,133628410171.0,135021467250.0,110258919029.0,110258919029.0,,,
8,68270,Celltrion,Medicine_Production,2017,Q4,1421211524496.0,1716972980244.0,3138184504740.0,491067961229.0,242174301750.0,733242262979.0,122666424000.0,1556788491161.0,2404942241761.0,236129570125.0,119495361417.0,112372707197.0,69585796375.0,69585796375.0,,,
9,68270,Celltrion,Medicine_Production,2018,Q1,1443237595877.0,1897783594190.0,3341021190067.0,478585948906.0,251910107105.0,730496056011.0,125108377000.0,1757101141006.0,2610525134056.0,220474273289.0,116681248683.0,117769805945.0,84910100326.0,84910100326.0,,,
