,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,증자주식수 변화율,소비자물가지수 변화율,국제유가 변화율,1인평균급여 변화율,금리 변화율,Label,Code
10,유한양행,2022,Q2,헬스케어,0.055315837352818226,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.018610835921721084,000100
10,일동제약,2022,Q2,헬스케어,-0.24931722124724742,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.22730846938527113,000230
10,동아쏘시오홀딩스,2022,Q2,헬스케어,0.09800961785699948,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.04422912612361249,000640
10,한화,2022,Q2,에너지_화학,0.14146888500578209,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.034910876485036345,000880
10,한국쉘석유,2022,Q2,에너지_화학,0.046177535082498944,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.034814523891978075,002960
10,부광약품,2022,Q2,헬스케어,-0.04615921172427973,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.12129372322350558,003000
10,태광산업,2022,Q2,에너지_화학,-0.04799590552283823,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.15702609939161882,003240
10,영진약품,2022,Q2,헬스케어,-0.16226462242994275,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.19216797519823928,003520
10,삼성정밀화학,2022,Q2,에너지_화학,-0.07625433178886362,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.10260207148868916,004000
10,효성,2022,Q2,에너지_화학,-0.02622894125537778,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.0164169322954114,004800
10,SK케미칼,2022,Q2,에너지_화학,-0.031607328065656144,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.1307915082456566,006120
10,녹십자,2022,Q2,헬스케어,-0.004640842324293175,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.21901211677481514,006280
10,대한유화,2022,Q2,에너지_화학,-0.06255681901992194,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.08328835955401884,006650
10,일양약품,2022,Q2,헬스케어,0.06814209831938839,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.19433139479695985,007570
10,국도화학,2022,Q2,에너지_화학,0.03269435282292643,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.11457694174271812,007690
10,서흥,2022,Q2,헬스케어,0.06490181462800876,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.007213375163110887,008490
10,광동제약,2022,Q2,헬스케어,0.04427132528247556,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.07497466965076101,009290
10,한화케미칼,2022,Q2,에너지_화학,0.5523209740931654,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.11937637178730293,009830
10,OCI,2022,Q2,에너지_화학,0.29575264424722736,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.15596350108731077,010060
10,S-Oil,2022,Q2,에너지_화학,-0.1417745728974242,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.04011318165545789,010950
10,롯데케미칼,2022,Q2,에너지_화학,0.021660426195996493,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.0429830057868965,011170
10,금호석유,2022,Q2,에너지_화학,-0.04716175801795871,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.12512279623617856,011780
10,SKC,2022,Q2,에너지_화학,0.001877816154686511,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.17547457532893496,011790
10,한솔케미칼,2022,Q2,에너지_화학,-0.03313437642554728,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.02660831762067973,014680
10,동원시스템즈,2022,Q2,에너지_화학,0.08766369903446392,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.1626975739750105,014820
10,유니드,2022,Q2,에너지_화학,-0.14850415840676978,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.1632928890878599,014830
10,남해화학,2022,Q2,에너지_화학,-0.19611497849276588,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.08784016672678441,025860
10,LG화학,2022,Q2,에너지_화학,0.3414158141459821,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.12067835179173411,051910
10,휴켐스,2022,Q2,에너지_화학,-0.07538744731747352,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.052749944915958816,069260
10,대웅제약,2022,Q2,헬스케어,0.10015367822365204,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.10600496073427504,069620
10,GS,2022,Q2,에너지_화학,-0.03789663624175677,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.13323485260809573,078930
10,휴비스,2022,Q2,에너지_화학,-0.09360819131611647,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.15973609665980862,079980
10,후성,2022,Q2,에너지_화학,-0.11566837914012207,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.15461434680653222,093370
10,SK이노베이션,2022,Q2,에너지_화학,0.03610704782834237,0.0,0.05655067811072367,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.06195396468074852,096770
10,코오롱인더,2022,Q2,에너지_화학,-0.101920054495242,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.1279302568168745,120110
10,한미약품,2022,Q2,헬스케어,0.10682624900382529,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.13993765977515552,128940
10,동아에스티,2022,Q2,헬스케어,-0.045443421874404526,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,0.038819261367116956,170900
10,종근당,2022,Q2,헬스케어,0.0404391585526802,0.0,0.0,0.38636857995042173,0.13207484462760455,0.0,0.2746673361787626,-0.043965937339236594,185750
