종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
003550,LG,"67,100","-1,400","2.04","36,885,436,369","11,578,583,490,100"
034220,LG디스플레이,"26,350","-250","0.94","22,429,581,150","9,428,443,695,000"
011070,LG이노텍,"78,200","-1,100","1.39","9,244,804,600","1,850,767,767,400"
066570,LG전자,"60,900","-700","1.14","73,243,345,208","9,966,151,872,600"
035420,NAVER,"628,000","-9,000","1.41","39,563,723,884","20,700,562,412,000"
034730,SK,"223,000","0","0.00","37,729,086,694","15,690,346,231,000"
000660,SK하이닉스,"28,200","50","0.18","84,427,116,250","20,529,666,693,000"
008060,대덕전자,"8,330","30","0.36","1,046,946,070","406,473,179,000"
006400,삼성SDI,"97,700","-1,300","1.31","23,250,021,138","6,718,294,581,000"
018260,삼성에스디에스,"174,000","-1,000","0.57","18,946,607,000","13,463,737,200,000"
009150,삼성전기,"56,200","-2,600","4.42","37,264,532,200","4,197,785,715,200"
005930,삼성전자,"1,279,000","-33,000","2.52","349,861,239,136","185,543,682,023,000"
029530,신도리코,"50,600","200","0.40","471,298,300","510,049,467,400"
036570,엔씨소프트,"256,000","2,500","0.99","39,544,348,265","5,613,829,632,000"
020150,일진머티리얼즈,"12,350","-400","3.14","4,437,571,000","484,120,000,000"
042700,한미반도체,"15,000","300","2.04","2,899,078,700","381,492,615,000"
004710,한솔테크닉스,"19,600","-550","2.73","8,539,624,700","433,353,608,800"
