종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
114090,GKL,"22,200","-650","2.84","5,426,793,950","1,373,195,874,000"
093050,LF,"25,100","-800","3.09","2,881,312,650","733,924,000,000"
064960,S&T모티브,"69,500","400","0.58","7,558,250,500","1,001,035,327,000"
034120,SBS,"29,000","-100","0.34","2,025,162,900","529,324,878,000"
001740,SK네트웍스,"6,230","-170","2.66","8,023,521,002","1,546,209,040,810"
035250,강원랜드,"41,100","200","0.49","18,848,912,421","8,792,954,550,000"
000050,경방,"193,000","-3,500","1.78","3,332,308,000","529,114,711,000"
073240,금호타이어,"8,370","-30","0.36","5,106,262,560","1,322,402,732,460"
000270,기아차,"47,050","-1,250","2.59","63,188,781,610","19,072,345,476,350"
002350,넥센타이어,"14,450","-100","0.69","2,986,334,350","1,393,209,422,650"
019680,대교,"10,650","0","0.00","1,433,915,650","902,085,352,500"
007340,동아타이어,"27,150","-150","0.55","557,446,800","644,188,593,000"
023530,롯데쇼핑,"256,500","5,500","2.19","14,632,304,394","8,077,413,798,000"
009680,모토닉,"10,650","-100","0.93","84,532,850","351,450,000,000"
084870,베이직하우스,"10,600","-50","0.47","3,148,247,150","221,082,281,400"
028260,삼성물산,"140,000","-3,000","2.10","74,123,346,212","26,556,606,020,000"
007860,서연,"12,400","-150","1.20","1,085,609,600","278,814,049,600"
004490,세방전지,"42,650","100","0.24","1,735,597,200","597,100,000,000"
033530,세종공업,"9,950","150","1.53","770,155,890","199,541,578,500"
004170,신세계,"203,000","0","0.00","10,679,985,500","1,998,571,743,000"
003620,쌍용차,"8,190","-70","0.85","1,405,782,890","1,123,832,586,240"
005850,에스엘,"15,850","-300","1.86","1,096,289,000","536,761,676,500"
012750,에스원,"89,500","1,100","1.24","10,006,122,260","3,400,926,431,000"
111770,영원무역,"45,750","-2,350","4.89","8,877,979,650","2,027,249,661,000"
003200,일신방직,"147,500","3,500","2.43","184,614,500","354,000,000,000"
030000,제일기획,"16,950","-50","0.29","7,374,615,390","1,949,948,763,750"
004700,조광피혁,"38,050","-900","2.31","451,603,250","252,999,700,900"
021240,코웨이,"94,300","-2,200","2.28","17,991,466,000","7,272,868,262,800"
161390,한국타이어,"52,500","-1,900","3.49","24,452,979,200","6,503,441,122,500"
000240,한국타이어월드와이드,"22,000","-950","4.14","3,720,755,300","2,046,443,806,000"
060980,한라홀딩스,"53,100","-900","1.67","1,635,641,900","573,622,892,100"
009240,한샘,"228,000","4,500","2.01","13,241,603,500","5,365,735,584,000"
020000,한섬,"39,100","-1,050","2.62","4,617,818,500","963,033,000,000"
105630,한세실업,"55,100","-1,600","2.82","8,444,261,400","2,204,000,000,000"
004150,한솔홀딩스,"8,020","30","0.38","1,565,025,270","366,614,971,800"
018880,한온시스템,"9,200","0","0.00","13,538,797,546","4,910,960,000,000"
079430,현대리바트,"34,700","50","0.14","2,761,692,150","598,979,255,000"
012330,현대모비스,"239,000","-10,000","4.02","72,781,333,884","23,265,183,257,000"
069960,현대백화점,"135,500","-2,000","1.45","11,501,583,842","3,171,030,755,500"
011210,현대위아,"103,000","-2,000","1.90","16,121,516,500","2,801,093,549,000"
005380,현대차,"149,500","-3,000","1.97","90,258,604,858","32,931,333,610,500"
057050,현대홈쇼핑,"129,500","-1,000","0.77","5,156,255,000","1,554,000,000,000"
008770,호텔신라,"65,200","-1,300","1.95","41,329,374,700","2,558,977,489,200"
010690,화신,"6,550","-10","0.15","372,594,350","228,728,685,500"
