종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
000120,CJ대한통운,"187,000","-3,000","1.58","6,882,131,712","4,265,908,328,000"
001120,LG상사,"34,950","-850","2.37","6,004,671,900","1,354,662,000,000"
006260,LS,"44,050","-750","1.67","5,843,164,400","1,418,410,000,000"
010120,LS산전,"45,950","-1,700","3.57","10,919,838,050","1,378,500,000,000"
003570,S&T중공업,"14,300","450","3.25","2,008,702,850","464,370,177,700"
003490,대한항공,"31,100","100","0.32","17,841,913,750","2,265,316,038,400"
000150,두산,"85,700","-2,700","3.05","6,912,814,100","1,822,915,101,600"
047050,포스코대우,"21,450","-150","0.69","7,915,416,500","2,442,646,441,950"
025540,한국단자,"93,800","-1,100","1.16","1,408,460,300","976,927,000,000"
047810,한국항공우주,"65,300","100","0.15","36,429,840,090","6,365,124,487,100"
051600,한전KPS,"63,600","-500","0.78","14,469,741,700","2,862,000,000,000"
086280,현대글로비스,"186,000","-2,500","1.33","23,838,594,000","6,975,000,000,000"
