종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
042660,대우조선해양,"5,030","-40","0.79","3,779,427,340","1,375,279,301,040"
082740,두산엔진,"3,340","-110","3.19","1,070,966,010","232,130,000,000"
042670,두산인프라코어,"6,490","-20","0.31","20,054,912,270","1,346,384,987,860"
034020,두산중공업,"20,850","-750","3.47","9,937,141,800","2,213,399,637,600"
010140,삼성중공업,"11,000","-50","0.45","9,731,569,200","2,539,629,246,000"
097230,한진중공업,"3,580","-55","1.51","2,345,285,385","366,192,704,700"
012450,한화테크윈,"39,950","-400","0.99","25,645,363,200","2,122,543,500,000"
064350,현대로템,"17,150","-200","1.15","3,206,472,500","1,457,750,000,000"
010620,현대미포조선,"63,800","-400","0.62","6,014,582,100","1,276,000,000,000"
017800,현대엘리베이,"54,300","-500","0.91","14,445,877,600","1,337,545,455,900"
009540,현대중공업,"104,500","-2,000","1.88","18,132,444,500","7,942,000,000,000"
