종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
005490,POSCO,"213,500","-6,000","2.73","78,426,013,525","18,614,389,272,500"
010130,고려아연,"473,500","-8,000","1.66","29,625,497,660","8,934,945,000,000"
002240,고려제강,"44,500","100","0.23","711,505,400","801,000,000,000"
001230,동국제강,"6,970","120","1.75","2,734,063,610","664,649,037,740"
009580,무림P&P,"4,935","70","1.44","1,161,522,760","307,787,678,940"
005090,삼광글라스,"92,000","400","0.44","900,410,400","446,606,456,000"
001430,세아베스틸,"26,850","-650","2.36","1,591,059,600","962,897,895,150"
003030,세아제강,"68,600","-500","0.72","753,900,400","411,600,000,000"
000670,영풍,"1,058,000","-34,000","3.11","1,533,054,000","1,948,878,320,000"
000480,조선내화,"94,200","1,300","1.40","288,701,700","376,800,000,000"
103140,풍산,"28,750","-900","3.04","4,841,386,950","805,697,992,500"
104700,한국철강,"45,600","200","0.44","1,207,723,550","419,976,000,000"
004020,현대제철,"54,700","-800","1.44","26,149,731,035","7,299,484,439,500"
