종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
078930,GS,"57,700","-1,300","2.20","16,279,019,362","5,361,217,310,600"
051910,LG화학,"317,500","-10,000","3.05","85,174,803,000","21,041,074,250,000"
010060,OCI,"100,000","-6,000","5.66","31,670,597,165","2,384,937,100,000"
010950,S-Oil,"96,700","-1,200","1.23","31,619,478,200","10,886,755,986,400"
011790,SKC,"29,950","-1,850","5.82","19,994,083,650","1,103,151,914,050"
096770,SK이노베이션,"168,500","-3,500","2.03","60,377,151,000","15,580,447,534,000"
006120,SK케미칼,"81,000","1,100","1.38","11,051,499,500","1,968,563,655,000"
007690,국도화학,"67,500","-500","0.74","1,770,702,700","392,216,580,000"
011780,금호석유,"56,600","-1,600","2.75","15,797,350,025","1,724,471,310,600"
025860,남해화학,"9,790","70","0.72","1,554,861,610","486,355,872,970"
006650,대한유화,"258,000","2,000","0.78","12,891,668,500","1,677,000,000,000"
014820,동원시스템즈,"74,900","-600","0.79","1,983,524,600","1,803,558,594,600"
004000,롯데정밀화학,"40,150","-550","1.35","5,655,059,150","1,035,870,000,000"
011170,롯데케미칼,"336,000","-5,500","1.61","43,544,351,662","11,516,540,784,000"
014830,유니드,"51,000","1,200","2.41","853,515,650","453,381,993,000"
120110,코오롱인더,"70,300","-2,100","2.90","9,499,881,400","1,765,921,658,800"
003240,태광산업,"929,000","-1,000","0.11","802,725,000","1,034,348,600,000"
002960,한국쉘석유,"501,000","9,000","1.83","1,613,313,000","651,300,000,000"
014680,한솔케미칼,"67,000","-1,400","2.05","6,425,205,000","756,778,065,000"
000880,한화,"35,050","-450","1.27","8,820,647,152","2,627,303,661,750"
009830,한화케미칼,"24,100","-850","3.41","30,912,914,454","3,971,905,551,900"
004800,효성,"138,000","-6,000","4.17","36,849,548,890","4,846,208,790,000"
093370,후성,"4,365","-10","0.23","1,894,721,965","403,324,921,845"
079980,휴비스,"9,060","170","1.91","961,519,730","312,570,000,000"
069260,휴켐스,"18,850","-350","1.82","2,553,153,900","770,561,383,800"
