종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
138930,BNK금융지주,"9,420","-280","2.89","11,992,984,964","3,070,310,017,320"
105560,KB금융,"32,150","300","0.94","64,419,602,700","12,421,206,929,950"
005940,NH투자증권,"9,750","-180","1.81","16,654,663,016","2,743,736,648,250"
024110,기업은행,"12,050","-200","1.63","15,187,954,150","6,704,643,593,900"
006800,대우증권,"8,060","-210","2.54","16,161,967,142","2,633,209,181,460"
005830,동부화재,"75,900","0","0.00","22,760,219,900","5,373,720,000,000"
037620,미래에셋증권,"23,150","-200","0.86","15,135,429,750","2,645,717,913,650"
032830,삼성생명,"117,000","-500","0.43","28,122,941,540","23,400,000,000,000"
016360,삼성증권,"39,250","-700","1.75","18,786,784,706","3,000,080,226,250"
029780,삼성카드,"39,700","2,050","5.44","14,554,283,673","4,599,597,972,700"
000810,삼성화재,"290,500","-4,500","1.53","28,718,507,136","13,762,390,148,500"
055550,신한지주,"39,900","-600","1.48","47,850,762,750","18,920,563,521,300"
000030,우리은행,"9,420","-40","0.42","13,081,324,291","6,367,920,000,000"
086790,하나금융지주,"23,950","-850","3.43","25,348,190,840","7,089,273,334,900"
071050,한국금융지주,"44,250","300","0.68","12,010,215,750","2,465,875,146,000"
088350,한화생명,"6,700","0","0.00","3,057,216,170","5,819,151,000,000"
003450,현대증권,"6,640","-230","3.35","71,239,241,230","1,571,107,199,200"
