video_id,published_at,view_count
4ZYxiUxiYhs,2023-03-30T09:20:01Z,20778
YaT3fCPkAtg,2023-03-30T09:17:15Z,4570
4ax6WZhswK0,2023-03-30T09:15:24Z,4233
43y20TX_IYA,2023-03-30T09:12:41Z,1672
xEXGyRaKWuc,2023-03-30T08:14:20Z,4843
CPKfCstk3Gg,2023-03-30T07:36:30Z,6751
sXW3Kx99XW4,2023-03-30T07:03:34Z,4023
MhD-HwQyhNo,2023-03-30T03:57:02Z,8688
mmWNfjNgpkk,2023-03-30T03:52:44Z,3060
KvUl4_OeM_Y,2023-03-30T02:51:04Z,1634
n4jOusMjtcs,2023-03-29T07:35:13Z,7143
EfID3SwfBjE,2023-03-29T03:39:08Z,2713
MBupHOwX1V8,2023-03-29T03:37:12Z,3358
VVN3drG92wA,2023-03-29T01:28:51Z,4042
M3cw_xjjCEg,2023-03-29T01:29:44Z,2552
kbDK9aCuoPM,2023-03-29T00:52:52Z,9093
2WYRtoebYzM,2023-03-28T09:30:00Z,1268
ySUHUi5p5Qc,2023-03-28T07:35:08Z,1586
FVSqy0ip0qQ,2023-03-28T07:35:26Z,11454
JHZPkcSQFIA,2023-03-28T06:50:09Z,7256
NZ1VoBADqb8,2023-03-28T06:47:08Z,12134
UcFE0xewejw,2023-03-28T03:19:13Z,3236
5fE1De7HwfQ,2023-03-28T01:34:54Z,1321
v8ALzZLFrBo,2023-03-28T00:50:28Z,1013
LlNJfuaBa20,2023-03-27T08:45:18Z,3635
VNVkfWliXSo,2023-03-27T07:43:20Z,4687
cbQX-ZAEiDU,2023-03-27T06:54:43Z,3451
CcpsJYptPms,2023-03-27T03:27:14Z,4730
UsjMPAeUkpM,2023-03-27T03:24:09Z,5430
vfQc6-VuLnQ,2023-03-27T03:22:36Z,5516
18jvmTk-gcc,2023-03-27T03:23:25Z,7698
usZQk8d0zC0,2023-03-27T03:20:21Z,1476
x_0T42JZl0A,2023-03-27T01:15:15Z,4210
KUtVDsFoCrM,2023-03-27T01:09:19Z,1268
z-kxQah8TFo,2023-03-26T22:00:22Z,2346
3Jr-ZWCvFjE,2023-03-24T10:00:05Z,10538
mxJXQfJpTho,2023-03-24T07:37:49Z,5380
2Ltf4moXtkU,2023-03-24T06:50:44Z,14995
LTQf-T-01-M,2023-03-24T03:30:50Z,1125
mkx3d81i20A,2023-03-24T03:20:49Z,4389
QOwu52ePRaY,2023-03-24T01:19:04Z,1131
AX1vMJf-YUM,2023-03-24T01:17:42Z,4880
KNdI0yU4tEo,2023-03-24T00:23:39Z,2477
tx55fuK_WmQ,2023-03-23T23:48:07Z,1055
NG1W8dmqbU0,2023-03-23T03:15:11Z,5113
n04JnITseCs,2023-03-23T01:28:18Z,14677
deqVbOxF0Ho,2023-03-23T01:25:09Z,3967
SKLENpM7Fh8,2023-03-22T08:21:11Z,5150
f229uY5cNc0,2023-03-22T07:38:19Z,3012
1sq_rbR-d8Q,2023-03-22T07:04:10Z,4779
3HOoWyp7cbo,2023-03-22T06:53:54Z,4356
KxHg5ARQHaA,2023-03-22T03:28:51Z,2800
4KUnSMikg20,2023-03-22T03:27:13Z,2419
2U8oWI1UybY,2023-03-22T02:03:21Z,4135
oyZcXKdsJgc,2023-03-21T09:18:31Z,3614
b-AuKtGcAJw,2023-03-21T07:39:39Z,1999
xwwtDUXaNRQ,2023-03-21T07:08:17Z,10598
aUeRh9CkziM,2023-03-21T07:07:08Z,10326
O6bSOSZB2y8,2023-03-21T03:12:08Z,5556
7KvFRNx-kVA,2023-03-21T03:10:44Z,8492
qoozodyIpoU,2023-03-21T01:08:33Z,13898
OhvswU10tn4,2023-03-20T09:00:16Z,10520
GWDsGocSYgI,2023-03-20T08:18:34Z,1088
SznfAatyxlk,2023-03-20T07:37:09Z,2177
mkUJdJVyj_Y,2023-03-20T07:21:52Z,9846
vvK-iFcxDzo,2023-03-20T03:53:50Z,4165
R0YMCOnCguQ,2023-03-20T03:52:29Z,1631
9jwakUn44eQ,2023-03-20T01:22:19Z,3901
Ubf9hvS4G1E,2023-03-20T01:20:20Z,1626
SnRwXes1F4I,2023-03-20T01:21:35Z,2134
9HJbaXTcikA,2023-03-19T22:00:02Z,1138
GNnoEWQjbaI,2023-03-17T08:21:55Z,10806
0zaLrUq3jl8,2023-03-17T07:14:13Z,26291
AYQg3SVKt2k,2023-03-17T03:27:16Z,2629
Sle1352w7pg,2023-03-17T03:25:36Z,1744
yO-7fF8bLXA,2023-03-17T02:05:39Z,1456
5tesWuZJsw8,2023-03-17T02:03:37Z,1841
sq_bnu3HjTY,2023-03-17T00:11:47Z,1473
RoSKG3t6Ark,2023-03-16T08:38:12Z,5191
cScQPuYJxwg,2023-03-16T07:26:21Z,1405
gX_Ey7Ytd5k,2023-03-16T06:59:11Z,1683
aC4vxOAGc44,2023-03-16T06:57:16Z,1650
YilD5fYLC14,2023-03-16T01:13:13Z,3132
Mt4JwO4HN2Q,2023-03-15T08:22:46Z,2087
kxi0XkVW6Oc,2023-03-15T07:38:06Z,1416
IfjcSn10_6I,2023-03-15T07:39:20Z,3530
LVSb033NsQU,2023-03-15T07:04:30Z,6966
lOw1sNQ1d9w,2023-03-15T06:42:38Z,3387
_cxNJcBbHJ0,2023-03-15T03:27:48Z,1879
xCJtXJBAZ7Y,2023-03-15T01:20:37Z,1527
TsGWWhBsPj0,2023-03-15T01:19:30Z,1995
b5nwRv4_3Yg,2023-03-14T23:59:54Z,1128
4sGrmDg8OVY,2023-03-14T09:00:06Z,8225
OER-t_Q3_zI,2023-03-14T08:12:18Z,3022
blGFunR11G0,2023-03-14T07:40:04Z,4300
FCClYS9tg34,2023-03-14T07:01:09Z,2639
DzS45c_pA38,2023-03-14T06:34:09Z,2104
U9qoIqpDzRA,2023-03-14T03:34:13Z,5637
2YxnhNUxyEw,2023-03-14T03:33:28Z,3303
KvtgWrnvNhw,2023-03-14T01:42:59Z,2848
qDCqIKxnNfU,2023-03-14T01:10:24Z,1781
L8WXM8fqCl8,2023-03-14T00:15:52Z,1492
_yhiLeOigas,2023-03-13T09:01:13Z,1181
qGBMlDKviwM,2023-03-13T07:46:43Z,3427
zX2cMaCjcCY,2023-03-13T07:16:12Z,4492
5aun_eAwNvY,2023-03-13T07:14:46Z,6479
F-Z2JoyTjOM,2023-03-13T01:11:32Z,2884
W1bNIUASysM,2023-03-13T01:06:25Z,3232
K-0tAy3xe2c,2023-03-10T09:45:00Z,8436
eKI8fSbicyE,2023-03-10T09:00:23Z,2042
PKrI92eWrJ0,2023-03-10T07:40:56Z,1646
4a2vc05tL4Y,2023-03-10T07:00:12Z,6936
kmpK3MraIqs,2023-03-10T07:00:29Z,1045
nalKmuYP_m0,2023-03-10T05:00:18Z,1038
tDGPAmhtC10,2023-03-10T03:30:44Z,2146
YSWxWLFTLX0,2023-03-10T03:29:56Z,8891
9uoKxod2dNs,2023-03-10T00:57:33Z,2769
27rFpUxKVas,2023-03-10T00:47:32Z,1667
0eET6GAzsxw,2023-03-09T09:16:11Z,2077
RWTV_EDPS_4,2023-03-09T02:40:33Z,7098
qNDoYN1gzD4,2023-03-09T02:37:03Z,1511
plSkX1_B1Fo,2023-03-08T07:51:22Z,3433
2brigGqvG0E,2023-03-08T02:01:23Z,2625
7h6vMDDbETQ,2023-03-08T02:02:05Z,1775
y_3irC9qwDs,2023-03-07T07:43:56Z,5437
KwlTYuQOFnU,2023-03-07T07:43:06Z,1408
XXzU9UZzk4k,2023-03-07T07:07:34Z,4413
weQ_9Yqv_O0,2023-03-07T01:20:53Z,4549
0LfCzjhENDo,2023-03-07T01:17:35Z,1126
p7YlpijCB6o,2023-03-07T00:03:59Z,1643
Cz89P1ufFFI,2023-03-06T08:20:28Z,2906
9WQtqQ5ujXU,2023-03-06T07:48:56Z,6933
nVgqYcYCH4o,2023-03-06T03:16:58Z,11999
L8AMsoisOVQ,2023-03-06T01:13:35Z,1453
0UMcHnhlB1k,2023-03-05T23:39:19Z,1632
F5YjFVqjI6o,2023-03-05T22:00:04Z,2229
I29dFIzaczM,2023-03-04T01:30:08Z,3300
28OWxNFcfvM,2023-03-03T06:53:44Z,2265
ej7MeNDZG48,2023-03-03T02:38:01Z,1118
dorvReo-W5Y,2023-03-03T01:23:27Z,5229
-qqSoys7CHc,2023-03-03T01:22:05Z,1510
LRB7aCS2IsI,2023-03-03T00:24:53Z,3928
NXCSzHWqT0I,2023-03-03T00:26:14Z,2826
LEr5mfN1tLY,2023-03-02T06:48:05Z,4451
DaVfkawd7TI,2023-03-02T06:45:18Z,3458
N9p58wXW2j4,2023-03-02T06:37:00Z,3254
pqv3ASFFbis,2023-03-02T06:33:52Z,1347
FXMVJongR7M,2023-03-02T00:38:46Z,1632
TH2Xvd6NNJU,2023-02-28T08:11:40Z,1194
G9KJkyqHibY,2023-02-28T07:35:49Z,3513
bV5UMamTabo,2023-02-28T07:07:30Z,2711
NfrieZuAyRo,2023-02-28T03:10:46Z,2968
-oqF1jOwCHg,2023-02-28T01:06:12Z,1899
_CN8-8VgpQg,2023-02-28T01:07:05Z,1684
Yk7zCCN1Ypk,2023-02-28T00:27:09Z,3243
IMH6PmnRxLk,2023-02-28T00:02:30Z,1053
V1Xn9lq9XLk,2023-02-27T09:00:29Z,1259
stOdFE--qeE,2023-02-27T08:09:30Z,29958
vqBN1nwHUKo,2023-02-27T06:42:10Z,2848
TXKL8SYCVdU,2023-02-27T03:13:55Z,2546
qNLsD1TnFK0,2023-02-27T01:15:45Z,2140
_jOrib2Na5U,2023-02-27T00:03:20Z,1220
6HLhYlIyMes,2023-02-26T23:59:39Z,1619
-O6MSIRryKE,2023-02-26T22:00:00Z,1888
zAX_WR6w3lQ,2023-02-24T08:31:37Z,2610
Rnd8sbIjaGU,2023-02-24T08:00:11Z,1662
GblfSL-I7Bk,2023-02-24T07:36:17Z,11559
BsgJCiolt40,2023-02-24T06:53:27Z,3300
dX5fY3XfioQ,2023-02-24T06:45:23Z,3622
eIXjoigJdMM,2023-02-24T03:17:19Z,1313
9LSCj65i2_Q,2023-02-24T03:00:09Z,1038
xpVCpw-DkWE,2023-02-24T01:16:30Z,1431
yrcjtEp78OA,2023-02-24T01:14:48Z,2627
cipmo-b9C7A,2023-02-24T00:38:56Z,1486
2Vw3jlnmpI8,2023-02-23T06:47:00Z,1198
SF4Tw-AIxKg,2023-02-23T06:48:12Z,9400
MEfAl5lPA2E,2023-02-22T23:57:39Z,15195
l8Al5RZ8tKs,2023-02-22T08:10:14Z,1245
1GOlMT5VHMw,2023-02-22T07:39:45Z,3074
lk54w78LDQ8,2023-02-22T06:48:32Z,8524
rvp3PB0ru_8,2023-02-22T05:52:06Z,3055
PpErfXfyL5U,2023-02-22T03:15:39Z,1067
0jGYa_07nVk,2023-02-22T03:12:46Z,1175
fDSXK4rFeSg,2023-02-22T00:26:07Z,1024
A3JM0N928Ew,2023-02-22T00:11:13Z,2460
FQczQQX85qo,2023-02-21T06:51:37Z,3095
iodDKDiY_Gg,2023-02-21T06:50:08Z,7182
qfIJen4_fA4,2023-02-21T03:33:53Z,2423
