,name,year,quarter,sector,Relative Return,특정 증권 등 소유 증감 수 변화율,자본총계 변화율,비유동자산 변화율,비유동부채 변화율,총포괄손익 변화율,이익잉여금 변화율,자산총계 변화율,매출액 변화율,전체 주주 수 변화율,Label,Code
1,S_hynix,2024,Q2,정보기술,0.25888797303555333,0.8423903391937488,-0.06713922790504001,-0.004985846139632155,0.05209893716712133,-0.8874305774856428,-0.07474399103729734,-0.040820183541773414,-0.30875638193665944,-0.0,0.25193627962931453,000660
1,LG_Corp,2024,Q2,정보기술,-0.03005841900807404,0.0,-0.0014523091125289156,-0.028751681469092016,-0.11576744954330498,0.7352234365165646,-0.0056100959501161896,0.04605345517674653,0.7439310055529482,-0.0,-0.10507583852266733,003550
2,Hansol_Technics,2024,Q2,정보기술,-0.144721861954617,0.0,-0.008615836995824244,0.006435221034244987,0.10493122561335444,-0.3202846675934552,-0.029280916510241672,-0.02596421087716716,0.027072247562142104,-0.0,-0.14263672274896932,004710
2,Samsung_Electronics,2024,Q2,정보기술,0.0026465203061935977,0.3697470230761357,-0.02038124471672642,-0.008786167992265614,-0.010296754075380221,0.2673435967564798,-0.020445803106107885,-0.017790603385337223,-0.048683053193000925,-0.0,-0.037273236712712585,005930
2,Samsung_SDI,2024,Q2,정보기술,-0.04679752726741079,-1.255639097744361,-0.017273197707435184,-0.023964334780293806,-0.22620390163368942,0.6843814418986869,-0.032196615014541186,-0.0815170877898379,0.0033825261818407615,-0.0,-0.2620431030404147,006400
1,Daeduck_Electronics,2024,Q2,정보기술,-0.058886645726089905,-0.8446737118291798,-0.004775743703821389,-0.05370431036334766,-9.501946002759691,0.7170129386284056,-0.28149152182402637,0.021995788151599194,0.8177686880938759,-0.0,0.01155062278740875,008060
2,Samsung_Electro-Mechanics,2024,Q2,정보기술,-0.08043528773771871,0.8425247546405488,-0.022714454697080333,0.0018011829303584692,-0.2648236928207306,0.19093378485914847,-0.7863698974943563,-0.03904494325070962,-0.10123102105851722,-0.0,0.035791034542348145,009150
1,LG_Innotek,2024,Q2,정보기술,-0.22285139327571513,10.702663242186542,0.0062936280290416535,0.011471568447205094,-0.03931914077396925,1.5999747761382268,0.008970668949790817,0.04658275915384669,-0.03886058044335927,-0.0,0.35136871112817897,011070
2,Samsung_SDS,2024,Q2,정보기술,-0.0801593067649013,-0.0,-0.0177047061326725,-0.001954601033096637,0.06042362328264206,0.1754805840305399,-0.022461359493793243,0.014197085289652578,0.007549790125402023,-0.0,-0.11847393823442137,018260
1,Iljin_Materials,2024,Q2,정보기술,0.12399803244686469,-0.002170630426576059,-0.00039218523909667624,0.01883408306463996,-2.937165587077289,0.9872498468795071,-0.0017953329458606504,0.01627160972151598,0.11425078925612553,-0.0,0.06071047600314299,020150
2,Sindoh,2024,Q2,정보기술,0.17676682658586543,-0.0,-0.02379491187046967,0.006170629957431117,0.05666908811637028,-0.06761686122116117,-0.028801613597154718,0.001712479056010463,0.05533900634268152,-0.0,-0.06218059478285402,029530
1,LG_Display,2024,Q2,정보기술,-0.13811075186326682,-0.0,0.0878966190952527,0.058314935059422535,0.13774984175422011,0.39187178839762793,0.7015702066185645,0.011387966497073743,-0.19178538988962068,-0.0,0.047166876745258025,034220
1,SK_Holdings,2024,Q2,정보기술,-0.04145197046770586,1.0473997168475697,-0.0019750424984057435,0.0025055215402191022,0.021018877371066114,0.9351696928384045,0.00334639405142656,0.015791179324980198,0.35617555842299475,-0.0,-0.13690724812931154,034730
1,Hanmi_Semiconductor,2024,Q2,정보기술,1.1158748713323203,0.45271428571428574,0.060178383823695114,0.12312141403799282,0.3709942529921023,1.1748101850737716,0.05444577428475594,0.0420933609348324,-0.5898002990093718,-0.0,0.26802149884628473,042700
1,LG_Electronics,2024,Q2,정보기술,-0.11411610678362283,-0.0,-0.05473680958014038,-0.004651055179744068,-0.09208874811997081,0.3088167693297784,-0.09101756733020117,-0.026042755484681157,-0.05025826421620927,-0.0,0.14441600009759753,066570
