,name,year,quarter,sector,Relative Return,특정 증권 등 소유 증감 수 변화율,자본총계 변화율,비유동자산 변화율,비유동부채 변화율,총포괄손익 변화율,이익잉여금 변화율,자산총계 변화율,매출액 변화율,전체 주주 수 변화율,Label,Code
9,S_hynix,2022,Q2,정보기술,-0.026621589039758017,-0.04948886526817908,-0.051842287960773836,-0.047552601752104406,-0.15923209782299397,-0.07721635678578065,-0.057146376239387564,-0.046853304005245455,-0.13763873936646442,-0.0,-0.06624782872825283,000660
9,LG_Corp,2022,Q2,정보기술,0.023814789579562505,0.0,0.0016085775684849812,-0.05600704113831401,0.11162035499464928,-0.05604252242862162,-0.005753740370681326,0.04278060014321239,0.8118038222255337,-0.0,0.17427504708874061,003550
10,Hansol_Technics,2022,Q2,정보기술,-0.04635513799821167,0.0,-0.007160689956053901,0.005820190260367175,0.11336833616686659,-0.05654860102599257,-0.08654686089522978,0.06118888514591214,0.11387293657825681,-0.0,-0.08535508627481675,004710
10,Samsung_Electronics,2022,Q2,정보기술,-0.043986675674366066,-0.004804035213928248,-0.028438558074947773,-0.02748267149670247,-0.1092737699151447,-0.04879265029941937,-0.029587345116119934,0.0014756432666083175,-0.033795594117775885,-0.0,-0.02388172161394428,005930
10,Samsung_SDI,2022,Q2,정보기술,-0.021616789917311835,-0.05604839563147901,-0.001683167316154588,0.00452499736806089,-0.04219533814102294,-0.05604839563147901,-0.023668435889924178,-0.0343949275369102,-0.15127945958187805,-0.0,0.057669308748206666,006400
9,Daeduck_Electronics,2022,Q2,정보기술,0.04097747855930958,-0.05654921180984629,-0.0002655085462810458,-0.017071115088981514,-0.040092661506073046,-0.05654921180984629,-0.018045951996847664,0.018628184364676614,0.797665750019331,-0.0,-0.033390068244033205,008060
10,Samsung_Electro-Mechanics,2022,Q2,정보기술,-0.08932672605219982,-0.05659929071138081,-0.04515192019072001,-0.0315723042930629,-0.18168980246585287,-0.05659929071138081,-1.0704676024286939,-0.08196059483639617,-0.004697378060489754,-0.0,-0.04586046889135173,009150
9,LG_Innotek,2022,Q2,정보기술,0.13681606620117592,-0.056325986050377974,-0.06494507429684182,-0.18048958817951877,0.0026486021304990004,-0.056325986050377974,-0.10964247469773558,0.008212466578006339,0.06566695927201793,-0.0,0.04443094342911853,011070
10,Samsung_SDS,2022,Q2,정보기술,-0.03274047015863914,-0.05643990028545787,-0.017426769786942575,-0.10319743565780204,-0.6993268563696984,-0.056439900285457645,-0.02288003032947561,-0.025222464643486653,-0.022469698113209757,-0.0,0.09460255233873473,018260
9,Iljin_Materials,2022,Q2,정보기술,-0.21286867528684428,-0.05654930892854626,0.007219006034363429,-0.007818018723117381,-0.03307414469762415,-0.05654930892854626,0.017971194383797462,-0.019569351664534773,0.09972095970003914,-0.0,-0.11618410494190132,020150
10,Sindoh,2022,Q2,정보기술,0.056677256778055934,-0.05654608999200783,-0.009284519779140687,0.01819412814207022,-0.0645476053933165,-0.05654608999200783,-0.0246203428296925,0.017221771449777767,-0.06451264605747653,-0.0,0.12491849287285137,029530
9,LG_Display,2022,Q2,정보기술,-0.08791112694564701,-0.06252801507888583,0.037239932943242904,-0.052917389353114075,-0.05499806675924157,-0.05965381028831063,0.05526070666136851,-0.02465386520060453,0.2163827585411292,-0.0,-0.13252886030212604,034220
9,SK_Holdings,2022,Q2,정보기술,0.03785485860500646,-0.053631415921141956,0.01070546461997357,0.004561438042392507,0.020899951379797277,-0.053631415921141956,0.013422201002476708,0.008645050160947299,0.3864811720063037,-0.0,0.04994528746486335,034730
9,Hanmi_Semiconductor,2022,Q2,정보기술,-0.007914307620612182,-0.056551621843298205,-0.11404145132141252,-0.1451623572911216,-0.21521398316554952,-0.05655162184329798,-0.1425269131067297,-0.12820985734704515,-0.9364411352133091,-0.0,0.0,042700
9,LG_Electronics,2022,Q2,정보기술,-0.0567616998250301,-0.05407387323265489,-0.037096575820441346,-0.007405056744965277,-0.0180664664317296,-0.043579573431064,-0.060345230290869134,0.03167012641425648,0.1318821983900701,-0.0,-0.10511347261481721,066570
