,name,year,quarter,sector,Relative Return,자본금 변화율,1인평균급여 변화율,보유 주식 수 변화율,기초 소유주식 지분율 변화율,자기주식수 변화율,기말 소유주식 지분율 변화율,Label,Code
35,경방,2016,Q1,경기소비재,-0.10944646341062639,0.0015780848820674542,0.0,0.0,0.0,0.14235553898607756,0.0,-0.03362986153695546,000050
35,한국타이어월드와이드,2016,Q1,경기소비재,0.036796963458934795,-0.2093095993011248,0.0,0.0,0.0,0.0,0.0,-0.19615148859336112,000240
35,기아차,2016,Q1,경기소비재,-0.03604419632675698,-0.09198888034420794,0.0,0.0,0.0,0.0,0.0,-0.1652028683202031,000270
35,SK네트웍스,2016,Q1,경기소비재,-0.03570641036022851,0.0,0.0,0.0,0.0,0.0,0.0,-0.03633542185878209,001740
35,넥센타이어,2016,Q1,경기소비재,-0.03835713801095615,-0.018358187944979898,0.0,0.0,0.0,0.0,0.0,-0.07092765019682944,002350
35,일신방직,2016,Q1,경기소비재,0.015522772827717574,0.0,0.0,0.0,0.0,0.0,0.0,-0.17687116393707397,003200
35,쌍용차,2016,Q1,경기소비재,-0.09450365251802548,-0.22180191610523348,0.0,0.0,0.0,0.0,0.0,-0.09437374569527021,003620
35,한솔홀딩스,2016,Q1,경기소비재,0.004798380443542884,0.1226059786417637,0.0,0.0,0.0,0.0,0.0,-0.1427248246727712,004150
35,신세계,2016,Q1,경기소비재,0.06188974348592534,-0.02175259545725572,0.0,0.0,0.0,0.0,0.0,-0.19409109127495283,004170
35,세방전지,2016,Q1,경기소비재,0.030639743485925346,-0.08519575272969138,0.0,0.0,0.0,0.0,0.0,-0.14113277323642356,004490
35,조광피혁,2016,Q1,경기소비재,-0.01724888876954764,0.0,0.0668581294375119,0.0,0.0,0.0,0.0,0.22462035887204101,004700
35,현대차,2016,Q1,경기소비재,-0.10878333343715157,0.09767800766228918,0.0,0.0,0.0,0.0,0.0,-0.07099353155767482,005380
35,에스엘,2016,Q1,경기소비재,-0.018474761589751715,0.7223247214808122,-0.22658774139124505,0.0,0.0,0.7087814226330245,0.0,-0.08397489055776919,005850
35,동아타이어,2016,Q1,경기소비재,0.05249128167675797,0.0,0.0,0.0,0.0,0.0,0.0,-0.11504316027811913,007340
35,서연,2016,Q1,경기소비재,-0.0025080297934268816,0.01821020110805205,0.0,0.0,0.0,0.0,0.0,-0.13455741865097368,007860
35,호텔신라,2016,Q1,경기소비재,0.047890874707644804,0.0,0.0,0.0,0.0,0.0,0.0,-0.1644319771700335,008770
35,한샘,2016,Q1,경기소비재,-0.16688743490313743,-0.052400984787441374,0.0,0.0,0.0,0.0,0.0,-0.1103412805828432,009240
35,모토닉,2016,Q1,경기소비재,-0.08222482085968166,0.04601748932569216,0.0,0.0,0.0,0.0,0.0,-0.0662575665212806,009680
35,화신,2016,Q1,경기소비재,-0.032307944199506736,-0.03479302825248909,0.0,0.0,0.0,0.0,0.0,0.19175891665319145,010690
35,현대위아,2016,Q1,경기소비재,-0.09916794882176697,-0.041955760379234874,0.0,0.0,0.0,0.0,0.0,-0.16277061273030213,011210
35,현대모비스,2016,Q1,경기소비재,0.05776817892274401,0.3711689253130157,0.0,0.0,0.0,0.0,0.0,-0.04971800343283163,012330
35,에스원,2016,Q1,경기소비재,0.12805427340045528,0.0,0.0,0.0,0.0,0.0,0.0,0.008427047862904602,012750
35,한온시스템,2016,Q1,경기소비재,0.23366665400739517,-0.30326335393240933,0.0,0.18390085042811477,0.0,-0.09345097329926544,0.0,-0.026606545994218668,018880
35,대교,2016,Q1,경기소비재,-0.09702509167890982,-0.1995833635383819,-0.1980845025310044,0.0,0.0,0.0,0.0,-0.1631910943434729,019680
35,한섬,2016,Q1,경기소비재,0.07173775837426281,-0.004116382643612249,0.0,0.0,0.0,0.0,0.0,-0.12235445133964723,020000
35,코웨이,2016,Q1,경기소비재,0.06009996395081871,-0.05648987115195092,0.0,0.0,0.0,0.0,0.0,-0.12033052789467116,021240
35,롯데쇼핑,2016,Q1,경기소비재,-0.1180115698952878,0.013232047682770975,0.0,0.0,0.0,0.0,0.0,-0.21203928702907587,023530
35,삼성물산,2016,Q1,경기소비재,-0.1017541557183187,-0.05107797973995443,0.0,-0.046906837606635055,0.0,0.0,0.0,0.06310425471402449,028260
35,세종공업,2016,Q1,경기소비재,0.04666538451156637,-0.009779806738247854,0.0,0.0,0.0,0.0,0.0,0.12832164601837232,033530
35,강원랜드,2016,Q1,경기소비재,0.0185274130437845,1.8465882014871644,0.0,0.0,0.0,0.0,0.0,-0.06017062336006495,035250
35,한라홀딩스,2016,Q1,경기소비재,0.08531160508157876,0.06933764182223978,0.0,0.0,0.0,0.0,0.0,0.16139287636064797,060980
35,S&T모티브,2016,Q1,경기소비재,-0.16237510733222324,0.0,0.0,0.0,0.0,0.0,0.0,-0.12370645416157881,064960
35,현대백화점,2016,Q1,경기소비재,-0.002336962906274005,0.0,0.0,0.0,0.0,0.0,0.0,-0.1585714038070799,069960
35,금호타이어,2016,Q1,경기소비재,-0.03395692889210694,-0.06323607590539304,0.0,0.0,0.0,0.0,0.0,0.1494614520552035,073240
35,현대리바트,2016,Q1,경기소비재,-0.13945720502011408,-0.27827965778913155,0.0,0.0,0.0,0.0,0.0,-0.14017821001387645,079430
35,베이직하우스,2016,Q1,경기소비재,0.044611393901237736,-0.031434634211986556,0.0,0.0,0.0,0.0,0.0,-0.15869639373854103,084870
35,LF,2016,Q1,경기소비재,-0.027603063325583755,-0.10732310709262372,0.0,0.0,0.0,0.08394891700171803,0.0,-0.1681369795075744,093050
35,한세실업,2016,Q1,경기소비재,-0.21746734922120387,0.0,0.0,0.0,0.0,0.3318218208601946,0.0,-0.3461471143237057,105630
35,영원무역,2016,Q1,경기소비재,-0.0761110128722313,0.0,0.0,0.0,0.0,0.0,0.0,-0.2020008067694533,111770
35,GKL,2016,Q1,경기소비재,0.27006287179075544,0.0031911221989828764,0.0,0.0,0.0,0.0,0.0,-0.1769417944004608,114090
35,한국타이어,2016,Q1,경기소비재,-0.05367324917512385,-0.02856683145268679,0.0,0.0,0.0,0.0,0.0,-0.05182665192567891,161390
